"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0340868651359635
2.005,-0.0345045913554164
2.01,-0.0349269096266496
2.015,-0.0353538530966437
2.02,-0.0357854561424961
2.025,-0.0362217543880205
2.03,-0.0366627847208128
2.035,-0.0371085853097697
2.04,-0.0375591956230951
2.045,-0.0380146564467698
2.05,-0.0384750099035366
2.055,-0.0389402994723601
2.06,-0.0394105700084229
2.065,-0.0398858677636499
2.07,-0.0403662404077328
2.075,-0.0408517370497588
2.08,-0.0413424082603426
2.085,-0.0418383060943644
2.09,-0.0423394841142896
2.095,-0.0428459974140733
2.1,-0.0433579026437005
2.105,-0.0438752580343221
2.11,-0.0443981234240667
2.115,-0.04492656028448
2.12,-0.045460631747657
2.125,-0.0460004026340503
2.13,-0.0465459394809834
2.135,-0.0470973105719139
2.14,-0.0476545859663911
2.145,-0.0482178375308138
2.15,-0.048787138969939
2.155,-0.0493625658592169
2.16,-0.0499441956779017
2.165,-0.0505321078430573
2.17,-0.0511263837443786
2.175,-0.0517271067799115
2.18,-0.0523343623926859
2.185,-0.0529482381082838
2.19,-0.0535688235733342
2.195,-0.0541962105950325
2.2,-0.0548304931816304
2.205,-0.0554717675839733
2.21,-0.0561201323381281
2.215,-0.0567756883090535
2.22,-0.0574385387354233
2.225,-0.0581087892756283
2.23,-0.0587865480548976
2.235,-0.0594719257137083
2.24,-0.0601650354574204
2.245,-0.0608659931071909
2.25,-0.0615749171522415
2.255,-0.0622919288034737
2.26,-0.0630171520485075
2.265,-0.0637507137081391
2.27,-0.0644927434943205
2.275,-0.0652433740696539
2.28,-0.0660027411084664
2.285,-0.0667709833595138
2.29,-0.0675482427103576
2.295,-0.0683346642534763
2.3,-0.0691303963541397
2.305,-0.0699355907201306
2.31,-0.0707504024733399
2.315,-0.0715749902233284
2.32,-0.0724095161428735
2.325,-0.0732541460455912
2.33,-0.0741090494657218
2.335,-0.0749743997400672
2.34,-0.0758503740922371
2.345,-0.0767371537192302
2.35,-0.0776349238804253
2.355,-0.0785438739890714
2.36,-0.0794641977063701
2.365,-0.080396093038192
2.37,-0.0813397624345701
2.375,-0.0822954128919997
2.38,-0.0832632560586887
2.385,-0.0842435083428422
2.39,-0.0852363910240491
2.395,-0.0862421303679186
2.4,-0.0872609577440702
2.405,-0.0882931097475516
2.41,-0.0893388283238334
2.415,-0.0903983608975239
2.42,-0.0914719605048607
2.425,-0.0925598859301866
2.43,-0.0936624018464945
2.435,-0.0947797789602045
2.44,-0.0959122941603158
2.445,-0.0970602306721061
2.45,-0.0982238782154751
2.455,-0.0994035331681867
2.46,-0.100599498734124
2.465,-0.101812085116731
2.47,-0.103041609697875
2.475,-0.104288397222272
2.48,-0.105552779987713
2.485,-0.106835098041279
2.49,-0.108135699381787
2.495,-0.109454940168661
2.5,-0.110793184937496
2.505,-0.112150806822552
2.51,-0.113528187786426
2.515,-0.114925718857179
2.52,-0.116343800373196
2.525,-0.117782842236076
2.53,-0.119243264171833
2.535,-0.120725496000746
2.54,-0.122229977916183
2.545,-0.123757160772728
2.55,-0.125307506383998
2.555,-0.126881487830478
2.56,-0.128479589777814
2.565,-0.130102308805927
2.57,-0.131750153749396
2.575,-0.133423646049553
2.58,-0.135123320118722
2.585,-0.136849723717129
2.59,-0.138603418342935
2.595,-0.140384979635963
2.6,-0.142194997795625
2.605,-0.144034078013654
2.61,-0.145902840922213
2.615,-0.147801923058012
2.62,-0.149731977343107
2.625,-0.151693673583011
2.63,-0.153687698982877
2.635,-0.155714758682467
2.64,-0.157775576310697
2.645,-0.15987089456057
2.65,-0.162001475785306
2.655,-0.164168102616651
2.66,-0.166371578606165
2.665,-0.168612728890577
2.67,-0.170892400882134
2.675,-0.173211464985067
2.68,-0.175570815339233
2.685,-0.177971370592148
2.69,-0.18041407470058
2.695,-0.182899897762996
2.7,-0.185429836884196
2.705,-0.188004917073528
2.71,-0.19062619217814
2.715,-0.19329474585278
2.72,-0.196011692567799
2.725,-0.198778178656958
2.73,-0.201595383406873
2.735,-0.204464520189854
2.74,-0.207386837642153
2.745,-0.210363620889571
2.75,-0.213396192822576
2.755,-0.216485915423121
2.76,-0.219634191145525
2.765,-0.222842464353816
2.77,-0.226112222818106
2.775,-0.229444999272667
2.78,-0.232842373038515
2.785,-0.236305971713456
2.79,-0.239837472932653
2.795,-0.24343860620297
2.8,-0.247111154814473
2.805,-0.250856957832647
2.81,-0.254677912175077
2.815,-0.258575974776456
2.82,-0.262553164846091
2.825,-0.266611566222158
2.83,-0.270753329827248
2.835,-0.274980676229939
2.84,-0.279295898317345
2.845,-0.283701364083886
2.85,-0.288199519541708
2.855,-0.292792891758545
2.86,-0.297484092028964
2.865,-0.302275819185381
2.87,-0.307170863055436
2.875,-0.312172108072653
2.88,-0.31728253704773
2.885,-0.322505235108029
2.89,-0.327843393813341
2.895,-0.333300315456302
2.9,-0.338879417556262
2.905,-0.344584237555899
2.91,-0.350418437730192
2.915,-0.356385810317978
2.92,-0.362490282886681
2.925,-0.368735923941414
2.93,-0.375126948790089
2.935,-0.381667725676812
2.94,-0.388362782196378
2.945,-0.395216812003241
2.95,-0.402234681829076
2.955,-0.40942143882356
2.96,-0.416782318233805
2.965,-0.424322751438472
2.97,-0.432048374353376
2.975,-0.439965036226195
2.98,-0.448078808838522
2.985,-0.456395996134475
2.99,-0.464923144295789
2.995,-0.473667052284246
3,-0.482634782873071
