"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.10500697878003
2.005,-0.113785506065116
2.01,-0.123713477434131
2.015,-0.135000974077348
2.02,-0.14790747675697
2.025,-0.162756322810141
2.03,-0.179954293223739
2.035,-0.200018495547246
2.04,-0.223613780385867
2.045,-0.251605615992656
2.05,-0.28513605157063
2.055,-0.32573483241102
2.06,-0.375485153651914
2.065,-0.437276271249131
2.07,-0.515197580042855
2.075,-0.615169197959084
2.08,-0.745979086924116
2.085,-0.921039575515219
2.09,-1.16145477812105
2.095,-1.50154327636557
2.1,-1.99905878043515
2.105,-2.75445257689456
2.11,-3.94689813867173
2.115,-5.89458441150123
2.12,-9.06216881526003
2.125,-12.5952068650119
2.13,-10.6747258867701
2.135,-7.05796706631602
2.14,-4.71540610862714
2.145,-3.28568388291404
2.15,-2.38687834813532
2.155,-1.79891105615711
2.16,-1.39905327600676
2.165,-1.11737584954026
2.17,-0.91269536683318
2.175,-0.759888099837168
2.18,-0.64309607802246
2.185,-0.551987967507861
2.19,-0.479636187732046
2.195,-0.421273133859852
2.2,-0.37354009449133
2.205,-0.334020662158875
2.21,-0.300943182134088
2.215,-0.27298637560841
2.22,-0.249149530052023
2.225,-0.228664040700925
2.23,-0.210932005261156
2.235,-0.195482868778147
2.24,-0.181942331842205
2.245,-0.170009730977234
2.25,-0.159441363209544
2.255,-0.150038041230959
2.26,-0.141635699785392
2.265,-0.134098229993546
2.27,-0.127311959262313
2.275,-0.121181359739665
2.28,-0.115625683199262
2.285,-0.110576301117473
2.29,-0.105974586283074
2.295,-0.101770213715021
2.3,-0.0979197887871275
2.305,-0.0943857325694062
2.31,-0.0911353707726762
2.315,-0.0881401849176767
2.32,-0.0853751935637466
2.325,-0.0828184384248575
2.33,-0.0804505555464288
2.335,-0.0782544158312862
2.34,-0.0762148223915906
2.345,-0.0743182546896731
2.35,-0.0725526513808101
2.355,-0.070907225309303
2.36,-0.0693723053294436
2.365,-0.0679392005958416
2.37,-0.0666000837470853
2.375,-0.0653478900344149
2.38,-0.06417622995464
2.385,-0.0630793133590481
2.39,-0.0620518833463232
2.395,-0.0610891585231806
2.4,-0.0601867824429298
2.405,-0.0593407792192972
2.41,-0.0585475144676145
2.415,-0.0578036608544725
2.42,-0.0571061676441098
2.425,-0.0564522337198685
2.43,-0.0558392836343732
2.435,-0.0552649463056121
2.44,-0.054727036029775
2.445,-0.0542235355270196
2.45,-0.0537525807749396
2.455,-0.0533124474173273
2.46,-0.0529015385637783
2.465,-0.0525183738197078
2.47,-0.0521615794068781
2.475,-0.0518298792521375
2.48,-0.051522086937427
2.485,-0.0512370984171253
2.49,-0.0509738854202355
2.495,-0.0507314894647744
2.5,-0.0505090164202844
2.505,-0.0503056315618524
2.51,-0.0501205550655117
2.515,-0.0499530579006277
2.52,-0.049802458079774
2.525,-0.0496681172310861
2.53,-0.0495494374617414
2.535,-0.0494458584848028
2.54,-0.0493568549844406
2.545,-0.0492819341972844
2.55,-0.0492206336899678
2.555,-0.0491725193149291
2.56,-0.0491371833284277
2.565,-0.0491142426562946
2.57,-0.0491033372944022
2.575,-0.0491041288321219
2.58,-0.0491162990881688
2.585,-0.0491395488492704
2.59,-0.049173596702983
2.595,-0.0492181779568227
2.6,-0.0492730436366104
2.605,-0.0493379595575496
2.61,-0.0494127054621788
2.615,-0.0494970742199069
2.62,-0.0495908710832062
2.625,-0.0496939129960948
2.63,-0.0498060279508586
2.635,-0.0499270543893134
2.64,-0.0500568406452489
2.645,-0.0501952444250005
2.65,-0.0503421323232954
2.655,-0.0504973793718114
2.66,-0.0506608686180647
2.665,-0.0508324907325102
2.67,-0.0510121436417671
2.675,-0.0511997321862232
2.68,-0.0513951678002895
2.685,-0.0515983682137756
2.69,-0.0518092571729279
2.695,-0.0520277641798473
2.7,-0.0522538242490656
2.705,-0.0524873776801473
2.71,-0.0527283698452925
2.715,-0.0529767509909979
2.72,-0.0532324760528636
2.725,-0.0534955044827647
2.73,-0.0537658000876124
2.735,-0.054043330879002
2.74,-0.0543280689331252
2.745,-0.0546199902603157
2.75,-0.0549190746836936
2.755,-0.0552253057263988
2.76,-0.0555386705069039
2.765,-0.0558591596420022
2.77,-0.0561867671570427
2.775,-0.0565214904030149
2.78,-0.0568633299801658
2.785,-0.0572122896677754
2.79,-0.0575683763598447
2.795,-0.0579316000063311
2.8,-0.0583019735597695
2.805,-0.0586795129269292
2.81,-0.0590642369253671
2.815,-0.0594561672446223
2.82,-0.0598553284118665
2.825,-0.0602617477618271
2.83,-0.060675455410829
2.835,-0.0610964842347859
2.84,-0.0615248698510044
2.845,-0.0619606506036688
2.85,-0.0624038675528856
2.855,-0.0628545644671752
2.86,-0.0633127878193133
2.865,-0.0637785867853967
2.87,-0.0642520132471163
2.875,-0.0647331217970753
2.88,-0.065221969747137
2.885,-0.0657186171397241
2.89,-0.0662231267619931
2.895,-0.0667355641628738
2.9,-0.0672559976728648
2.905,-0.0677844984266022
2.91,-0.0683211403881412
2.915,-0.0688660003789181
2.92,-0.0694191581083587
2.925,-0.0699806962071477
2.93,-0.0705507002630925
2.935,-0.071129258859609
2.94,-0.0717164636168097
2.945,-0.072312409235156
2.95,-0.0729171935417525
2.955,-0.0735309175391813
2.96,-0.0741536854569859
2.965,-0.0747856048057382
2.97,-0.075426786433738
2.975,-0.0760773445863653
2.98,-0.0767373969680726
2.985,-0.0774070648070883
2.99,-0.0780864729228126
2.995,-0.0787757497959571
3,-0.0794750276414767
