"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0329839647646938
2.005,-0.0333448941122877
2.01,-0.0337086350188903
2.015,-0.034075209540626
2.02,-0.0344446402742857
2.025,-0.0348169503637289
2.03,-0.0351921635064561
2.035,-0.0355703039602893
2.04,-0.0359513965502108
2.045,-0.03633546667533
2.05,-0.0367225403160095
2.055,-0.0371126440411019
2.06,-0.0375058050153742
2.065,-0.0379020510070517
2.07,-0.0383014103955203
2.075,-0.0387039121791902
2.08,-0.0391095859834932
2.085,-0.0395184620690502
2.09,-0.0399305713400112
2.095,-0.0403459453525183
2.1,-0.0407646163233735
2.105,-0.0411866171388427
2.11,-0.041611981363641
2.115,-0.0420407432500876
2.12,-0.0424729377474344
2.125,-0.0429086005113619
2.13,-0.0433477679136653
2.135,-0.0437904770521152
2.14,-0.0442367657605016
2.145,-0.0446866726188717
2.15,-0.0451402369639429
2.155,-0.0455974988997217
2.16,-0.0460584993083211
2.165,-0.0465232798609582
2.17,-0.0469918830291686
2.175,-0.0474643520962268
2.18,-0.0479407311687569
2.185,-0.0484210651885851
2.19,-0.0489053999447753
2.195,-0.0493937820859062
2.2,-0.049886259132556
2.205,-0.0503828794900264
2.21,-0.0508836924612751
2.215,-0.051388748260109
2.22,-0.0518980980245922
2.225,-0.0524117938306953
2.23,-0.052929888706219
2.235,-0.0534524366449184
2.24,-0.0539794926209189
2.245,-0.0545111126033797
2.25,-0.0550473535714067
2.255,-0.0555882735292558
2.26,-0.0561339315217757
2.265,-0.0566843876501501
2.27,-0.0572397030879186
2.275,-0.0577999400972678
2.28,-0.058365162045625
2.285,-0.0589354334225419
2.29,-0.0595108198568719
2.295,-0.0600913881342767
2.3,-0.0606772062150111
2.305,-0.0612683432520407
2.31,-0.0618648696094889
2.315,-0.0624668568813872
2.32,-0.0630743779107892
2.325,-0.0636875068091864
2.33,-0.0643063189763098
2.335,-0.0649308911202528
2.34,-0.0655613012779487
2.345,-0.0661976288360491
2.35,-0.0668399545521229
2.355,-0.0674883605762696
2.36,-0.0681429304731055
2.365,-0.0688037492441169
2.37,-0.0694709033504586
2.375,-0.0701444807361114
2.38,-0.0708245708514875
2.385,-0.0715112646774183
2.39,-0.0722046547496117
2.395,-0.0729048351835134
2.4,-0.0736119016996223
2.405,-0.0743259516492593
2.41,-0.0750470840408062
2.415,-0.0757753995663786
2.42,-0.0765110006290188
2.425,-0.0772539913703519
2.43,-0.0780044776987355
2.435,-0.0787625673179312
2.44,-0.0795283697562674
2.445,-0.0803019963963563
2.45,-0.0810835605053006
2.455,-0.081873177265508
2.46,-0.0826709638059975
2.465,-0.0834770392343027
2.47,-0.0842915246689595
2.475,-0.085114543272561
2.48,-0.0859462202854197
2.485,-0.0867866830598405
2.49,-0.0876360610950241
2.495,-0.0884944860725924
2.5,-0.089362091892768
2.505,-0.0902390147112114
2.51,-0.0911253929765483
2.515,-0.0920213674685412
2.52,-0.0929270813370265
2.525,-0.0938426801414975
2.53,-0.0947683118914675
2.535,-0.0957041270875585
2.54,-0.0966502787633425
2.545,-0.097606922527972
2.55,-0.0985742166095886
2.555,-0.0995523218995563
2.56,-0.100541401997489
2.565,-0.101541623257163
2.57,-0.102553154833235
2.575,-0.103576168728894
2.58,-0.104610839844363
2.585,-0.105657346026339
2.59,-0.10671586811837
2.595,-0.107786590012162
2.6,-0.108869698699902
2.605,-0.109965384327544
2.61,-0.111073840249126
2.615,-0.112195263082132
2.62,-0.113329852763918
2.625,-0.114477812609223
2.63,-0.115639349368797
2.635,-0.116814673289171
2.64,-0.118003998173583
2.645,-0.119207541444121
2.65,-0.120425524205036
2.655,-0.121658171307374
2.66,-0.122905711414826
2.665,-0.124168377070922
2.67,-0.125446404767556
2.675,-0.126740035014882
2.68,-0.12804951241262
2.685,-0.129375085722816
2.69,-0.130717007944062
2.695,-0.132075536387243
2.7,-0.133450932752845
2.705,-0.13484346320984
2.71,-0.136253398476242
2.715,-0.137681013901293
2.72,-0.139126589549419
2.725,-0.14059041028594
2.73,-0.142072765864603
2.735,-0.143573951016976
2.74,-0.145094265543769
2.745,-0.146634014408138
2.75,-0.148193507831024
2.755,-0.149773061388559
2.76,-0.151372996111654
2.765,-0.152993638587779
2.77,-0.154635321065046
2.775,-0.156298381558626
2.78,-0.157983163959588
2.785,-0.159690018146267
2.79,-0.161419300098166
2.795,-0.163171372012543
2.8,-0.164946602423746
2.805,-0.166745366325362
2.81,-0.168568045295321
2.815,-0.170415027624013
2.82,-0.17228670844553
2.825,-0.17418348987216
2.83,-0.176105781132234
2.835,-0.17805399871142
2.84,-0.180028566497656
2.845,-0.18202991592977
2.85,-0.18405848614997
2.855,-0.186114724160386
2.86,-0.188199084983702
2.865,-0.190312031828185
2.87,-0.19245403625715
2.875,-0.194625578363113
2.88,-0.196827146946804
2.885,-0.199059239701239
2.89,-0.201322363401021
2.895,-0.203617034097159
2.9,-0.205943777317581
2.905,-0.208303128273606
2.91,-0.210695632072626
2.915,-0.213121843937289
2.92,-0.215582329431453
2.925,-0.21807766469322
2.93,-0.220608436675374
2.935,-0.223175243393585
2.94,-0.225778694182698
2.945,-0.228419409961517
2.95,-0.231098023506527
2.955,-0.233815179734898
2.96,-0.236571535997307
2.965,-0.23936776238102
2.97,-0.242204542023757
2.975,-0.245082571438914
2.98,-0.248002560852663
2.985,-0.250965234553594
2.99,-0.253971331255529
2.995,-0.25702160447423
3,-0.260116822918684
