"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.372158736538053
2.005,-0.412338179287648
2.01,-0.459171913708028
2.015,-0.514135712312505
2.02,-0.579123964024793
2.025,-0.656594889088793
2.03,-0.749775355940486
2.035,-0.862953367774971
2.04,-1.00190093752178
2.045,-1.17449278284737
2.05,-1.3916212566437
2.055,-1.66856071972212
2.06,-2.02701037663775
2.065,-2.49814060667021
2.07,-3.12704322816963
2.075,-3.97884155441422
2.08,-5.145431619317
2.085,-6.74467238908812
2.09,-8.86389982088845
2.095,-11.2016523147121
2.1,-12.1127941446773
2.105,-10.4749624739906
2.11,-8.17163500779268
2.115,-6.27980868825713
2.12,-4.87645332191106
2.125,-3.84971818228243
2.13,-3.09256605236261
2.135,-2.52620847903528
2.14,-2.09572409663479
2.145,-1.76320078355236
2.15,-1.50234230498086
2.155,-1.29471397399568
2.16,-1.12722084981501
2.165,-0.99042852235794
2.17,-0.877442081397584
2.175,-0.783151685962575
2.18,-0.703719321579573
2.185,-0.636225355055383
2.19,-0.578422011746256
2.195,-0.528559212284747
2.2,-0.485259970908307
2.205,-0.447430157868867
2.21,-0.414192379171191
2.215,-0.384836983853794
2.22,-0.358785374849872
2.225,-0.33556225581494
2.23,-0.314774436622754
2.235,-0.296094501149491
2.24,-0.279248114254344
2.245,-0.264004077316435
2.25,-0.250166477597324
2.255,-0.23756844574651
2.26,-0.226067158045714
2.265,-0.215539809235578
2.27,-0.205880347470391
2.275,-0.196996811714764
2.28,-0.18880914838087
2.285,-0.181247411506072
2.29,-0.174250271650005
2.295,-0.167763774651181
2.3,-0.161740303665203
2.305,-0.156137707417141
2.31,-0.150918565009491
2.315,-0.146049563432392
2.32,-0.141500968496449
2.325,-0.137246173531246
2.33,-0.133261313076741
2.335,-0.129524931101922
2.34,-0.126017695139674
2.345,-0.122722149224042
2.35,-0.119622499730319
2.355,-0.116704429207036
2.36,-0.113954934097239
2.365,-0.11136218290998
2.37,-0.108915391949311
2.375,-0.106604716160096
2.38,-0.104421153024773
2.385,-0.102356457757263
2.39,-0.100403068300876
2.395,-0.0985540388554253
2.4,-0.0968029808421635
2.405,-0.0951440103698434
2.41,-0.0935717013958647
2.415,-0.0920810438871752
2.42,-0.0906674063798014
2.425,-0.0893265024159026
2.43,-0.0880543604058957
2.435,-0.086847296521628
2.44,-0.0857018902770505
2.445,-0.0846149624959964
2.45,-0.0835835554039968
2.455,-0.0826049146133377
2.46,-0.0816764727983726
2.465,-0.0807958348823568
2.47,-0.0799607645781192
2.475,-0.0791691721431138
2.48,-0.0784191032254905
2.485,-0.077708728691707
2.49,-0.0770363353384706
2.495,-0.0764003174025508
2.5,-0.0757991687913491
2.505,-0.0752314759655707
2.51,-0.0746959114124293
2.515,-0.0741912276545423
2.52,-0.073716251745129
2.525,-0.0732698802054078
2.53,-0.0728510743643955
2.535,-0.0724588560654327
2.54,-0.0720923037072136
2.545,-0.071750548590321
2.55,-0.071432771543035
2.555,-0.0711381998027307
2.56,-0.070866104131427
2.565,-0.0706157961460493
2.57,-0.0703866258457748
2.575,-0.0701779793204964
2.58,-0.0699892766258009
2.585,-0.0698199698112668
2.59,-0.0696695410900488
2.595,-0.0695375011386868
2.6,-0.0694233875171753
2.605,-0.069326763200125
2.61,-0.0692472152106057
2.615,-0.0691843533490557
2.62,-0.0691378090101933
2.625,-0.069107234081546
2.63,-0.0690922999176473
2.635,-0.0690926963845271
2.64,-0.0691081309695002
2.645,-0.0691383279516534
2.65,-0.0691830276288741
2.655,-0.0692419855974789
2.66,-0.069314972080931
2.665,-0.0694017713042953
2.67,-0.0695021809114309
2.675,-0.0696160114220957
2.68,-0.0697430857263842
2.685,-0.0698832386140719
2.69,-0.0700363163366885
2.695,-0.0702021762002489
2.7,-0.070380686186736
2.705,-0.0705717246025802
2.71,-0.0707751797525417
2.715,-0.0709909496374017
2.72,-0.0712189416741586
2.725,-0.0714590724373712
2.73,-0.0717112674204283
2.735,-0.0719754608156789
2.74,-0.072251595312354
2.745,-0.0725396219112807
2.75,-0.0728394997555642
2.755,-0.0731511959763382
2.76,-0.0734746855528401
2.765,-0.0738099511860901
2.77,-0.0741569831854709
2.775,-0.0745157793676715
2.78,-0.0748863449672901
2.785,-0.0752686925586867
2.79,-0.0756628419884906
2.795,-0.0760688203183576
2.8,-0.0764866617775391
2.805,-0.0769164077248093
2.81,-0.0773581066194902
2.815,-0.0778118140010956
2.82,-0.0782775924774315
2.825,-0.0787555117206912
2.83,-0.0792456484714462
2.835,-0.0797480865501219
2.84,-0.0802629168758787
2.845,-0.0807902374925569
2.85,-0.0813301536015832
2.855,-0.0818827776016256
2.86,-0.0824482291348244
2.865,-0.0830266351394896
2.87,-0.0836181299090858
2.875,-0.0842228551574412
2.88,-0.0848409600899973
2.885,-0.0854726014810987
2.89,-0.08611794375715
2.895,-0.0867771590856156
2.9,-0.0874504274698112
2.905,-0.0881379368493789
2.91,-0.0888398832064452
2.915,-0.08955647067743
2.92,-0.0902879116704461
2.925,-0.0910344269882981
2.93,-0.0917962459570498
2.935,-0.0925736065601894
2.94,-0.0933667555783475
2.945,-0.0941759487346278
2.95,-0.095001450845518
2.955,-0.0958435359774664
2.96,-0.0967024876090795
2.965,-0.0975785987990484
2.97,-0.0984721723597912
2.975,-0.0993835210369005
2.98,-0.100312967694398
2.985,-0.101260845505935
2.99,-0.102227498151905
2.995,-0.103213280022621
3,-0.104218556427583
