"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.217793082556543
2.005,-0.229100657060415
2.01,-0.241238723821207
2.015,-0.254287099420787
2.02,-0.268335197548692
2.025,-0.283483418228764
2.03,-0.299844772627307
2.035,-0.31754678926516
2.04,-0.33673375750393
2.045,-0.357569376672339
2.05,-0.380239894794582
2.055,-0.404957840420679
2.06,-0.431966475625939
2.065,-0.461545129254206
2.07,-0.494015608759251
2.075,-0.529749938943825
2.08,-0.569179739628597
2.085,-0.612807635896178
2.09,-0.66122119941316
2.095,-0.715110054473862
2.1,-0.775286957070241
2.105,-0.84271388157381
2.11,-0.918534443333187
2.115,-1.00411436722521
2.12,-1.10109220854204
2.125,-1.21144317759404
2.13,-1.33755975602706
2.135,-1.48235387426713
2.14,-1.64938680963295
2.145,-1.84303473674625
2.15,-2.06870009254406
2.155,-2.33308166974551
2.16,-2.64451962268275
2.165,-3.01343514124293
2.17,-3.45288752323258
2.175,-3.9792706543193
2.18,-4.6131561497746
2.185,-5.38022693719197
2.19,-6.31201431212287
2.195,-7.44533845598997
2.2,-8.81647847202804
2.205,-10.4360744731926
2.21,-12.2006948364499
2.215,-13.6699628844662
2.22,-14.000144508404
2.225,-12.9394511465982
2.23,-11.2615918726608
2.235,-9.60355215564018
2.24,-8.16903106221621
2.245,-6.97589342891627
2.25,-5.99310474613298
2.255,-5.18319861719788
2.26,-4.51297228189732
2.265,-3.95524103484657
2.27,-3.48829856305289
2.275,-3.09493623771926
2.28,-2.76151461152758
2.285,-2.47719428823692
2.29,-2.23332644389638
2.295,-2.02297768552294
2.3,-1.84056169072985
2.305,-1.68155388030335
2.31,-1.54227009811866
2.315,-1.41969448775501
2.32,-1.31134517781371
2.325,-1.21516906571344
2.33,-1.12945904996248
2.335,-1.05278863332491
2.34,-0.9839600148769
2.345,-0.921962696709579
2.35,-0.865940320309963
2.355,-0.815163971602819
2.36,-0.769010592657796
2.365,-0.726945442690569
2.37,-0.688507784219564
2.375,-0.653299149393539
2.38,-0.620973679603217
2.385,-0.591230138336734
2.39,-0.5638052802251
2.395,-0.538468323933842
2.4,-0.515016327217829
2.405,-0.493270302279064
2.41,-0.473071940996715
2.415,-0.454280844504282
2.42,-0.436772171403081
2.425,-0.420434634727451
2.43,-0.405168790467
2.435,-0.390885570665097
2.44,-0.377505022364867
2.445,-0.36495522036522
2.45,-0.353171327194872
2.455,-0.342094778159261
2.46,-0.331672572959355
2.465,-0.321856658377628
2.47,-0.312603388997951
2.475,-0.303873054971367
2.48,-0.29562946753754
2.485,-0.287839594425111
2.49,-0.280473238434705
2.495,-0.2735027534967
2.5,-0.26690279332628
2.505,-0.260650088497182
2.51,-0.254723248345967
2.515,-0.249102584618374
2.52,-0.24376995419331
2.525,-0.238708618581041
2.53,-0.233903118199751
2.535,-0.229339159697905
2.54,-0.225003514815242
2.545,-0.220883929468987
2.55,-0.216969041918636
2.555,-0.213248309006578
2.56,-0.209711939596393
2.565,-0.206350834438684
2.57,-0.203156531788169
2.575,-0.20012115817775
2.58,-0.197237383826942
2.585,-0.194498382224964
2.59,-0.191897793484353
2.595,-0.189429691110165
2.6,-0.187088551873786
2.605,-0.184869228519889
2.61,-0.182766925070961
2.615,-0.18077717452706
2.62,-0.178895818789264
2.625,-0.177118990665058
2.63,-0.175443097842858
2.635,-0.173864808752085
2.64,-0.172381040255651
2.645,-0.170988947154463
2.65,-0.169685913519916
2.655,-0.168469545912086
2.66,-0.167337668590939
2.665,-0.1662883208876
2.67,-0.165319756977322
2.675,-0.164430448389532
2.68,-0.163619089711106
2.685,-0.162884608095798
2.69,-0.16222617739938
2.695,-0.161643238035118
2.7,-0.161135524013751
2.705,-0.16070309913402
2.71,-0.160346404976853
2.715,-0.160066324306097
2.72,-0.159864264802825
2.725,-0.159742269923008
2.73,-0.159703166310723
2.735,-0.159750760979136
2.74,-0.159890106919179
2.745,-0.160127863698125
2.75,-0.160472791124923
2.755,-0.160936430858033
2.76,-0.161534055234144
2.765,-0.162285997535956
2.77,-0.16321952627686
2.775,-0.164371488038352
2.78,-0.165792008101045
2.785,-0.167549559913533
2.79,-0.169737548922083
2.795,-0.172481797988005
2.8,-0.175945931387427
2.805,-0.180325284672389
2.81,-0.185805628469682
2.815,-0.192439669293132
2.82,-0.199889116622334
2.825,-0.207102268806211
2.83,-0.21235430248142
2.835,-0.214175757884772
2.84,-0.212547046531254
2.845,-0.208825496128289
2.85,-0.204575133623311
2.855,-0.200780017351972
2.86,-0.197822934103079
2.865,-0.195742445770082
2.87,-0.194440089333456
2.875,-0.193786329417448
2.88,-0.193662047280764
2.885,-0.193970001140009
2.89,-0.194634748852374
2.895,-0.195599096176766
2.9,-0.196820129851691
2.905,-0.198265805296011
2.91,-0.199912270897693
2.915,-0.201741851971381
2.92,-0.20374155777003
2.925,-0.205901982548407
2.93,-0.208216496833556
2.935,-0.210680650549923
2.94,-0.213291730601406
2.945,-0.216048431407217
2.95,-0.218950608511436
2.955,-0.221999093741823
2.96,-0.225195556360367
2.965,-0.228542398904654
2.97,-0.232042679463378
2.975,-0.23570005431649
2.98,-0.239518736451054
2.985,-0.243503466614055
2.99,-0.247659494406166
2.995,-0.251992567543116
3,-0.256508927874524
