"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0335627548885507
2.005,-0.0340645729688234
2.01,-0.0345769123588935
2.015,-0.0350999403042999
2.02,-0.035633830485179
2.025,-0.0361787632251726
2.03,-0.0367349257091449
2.035,-0.0373025122101223
2.04,-0.0378817243259125
2.045,-0.0384727712258024
2.05,-0.0390758699078612
2.055,-0.0396912454673353
2.06,-0.0403191313766463
2.065,-0.0409597697775901
2.07,-0.0416134117863101
2.075,-0.0422803178116441
2.08,-0.042960757887541
2.085,-0.0436550120202423
2.09,-0.0443633705509071
2.095,-0.0450861345345424
2.1,-0.0458236161359854
2.105,-0.0465761390438417
2.11,-0.0473440389032938
2.115,-0.0481276637687366
2.12,-0.0489273745772853
2.125,-0.0497435456442294
2.13,-0.0505765651815881
2.135,-0.0514268358410027
2.14,-0.0522947752822228
2.145,-0.0531808167686033
2.15,-0.054085409791036
2.155,-0.0550090207218753
2.16,-0.0559521335004729
2.165,-0.0569152503520995
2.17,-0.05789889254207
2.175,-0.0589036011670434
2.18,-0.0599299379855866
2.185,-0.0609784862902363
2.19,-0.0620498518233947
2.195,-0.0631446637395904
2.2,-0.0642635756167738
2.205,-0.0654072665195083
2.21,-0.0665764421170892
2.215,-0.0677718358598142
2.22,-0.0689942102169173
2.225,-0.0702443579797613
2.23,-0.0715231036343213
2.235,-0.0728313048070983
2.24,-0.0741698537889875
2.245,-0.0755396791418934
2.25,-0.0769417473932331
2.255,-0.0783770648238057
2.26,-0.0798466793549701
2.265,-0.0813516825413367
2.27,-0.0828932116758529
2.275,-0.0844724520143964
2.28,-0.0860906391277551
2.285,-0.0877490613892647
2.29,-0.0894490626070918
2.295,-0.0911920448107738
2.3,-0.0929794712023697
2.305,-0.0948128692833289
2.31,-0.0966938341690897
2.315,-0.0986240321042691
2.32,-0.100605204192371
2.325,-0.102639170354939
2.33,-0.104727833536427
2.335,-0.106873184172078
2.34,-0.109077304937808
2.345,-0.111342375802337
2.35,-0.113670679403675
2.355,-0.11606460677374
2.36,-0.118526663436945
2.365,-0.121059475910698
2.37,-0.123665798638137
2.375,-0.126348521386033
2.38,-0.12911067714349
2.385,-0.131955450560367
2.39,-0.134886186967541
2.395,-0.137906402024966
2.4,-0.141019792047509
2.405,-0.144230245063096
2.41,-0.147541852662557
2.415,-0.150958922706026
2.42,-0.154485992956816
2.425,-0.158127845720118
2.43,-0.161889523571363
2.435,-0.165776346266958
2.44,-0.169793928939132
2.445,-0.173948201686405
2.45,-0.178245430682131
2.455,-0.182692240935675
2.46,-0.187295640854157
2.465,-0.192063048767696
2.47,-0.197002321597572
2.475,-0.202121785865293
2.48,-0.207430271261032
2.485,-0.212937147012918
2.49,-0.218652361324274
2.495,-0.224586484174529
2.5,-0.230750753811627
2.505,-0.237157127299644
2.51,-0.243818335525692
2.515,-0.250747943115323
2.52,-0.257960413756661
2.525,-0.265471181490659
2.53,-0.273296728589463
2.535,-0.281454670717706
2.54,-0.289963850153801
2.545,-0.298844437941442
2.55,-0.308118045946953
2.555,-0.317807849917647
2.56,-0.327938724772343
2.565,-0.338537393509489
2.57,-0.349632591294399
2.575,-0.361255246487666
2.58,-0.373438680605961
2.585,-0.386218829468486
2.59,-0.399634488082523
2.595,-0.413727582165702
2.6,-0.428543469598283
2.605,-0.444131275553605
2.61,-0.460544265579391
2.615,-0.477840261507515
2.62,-0.496082105769597
2.625,-0.515338180505365
2.63,-0.535682988790132
2.635,-0.557197806398372
2.64,-0.579971413789701
2.645,-0.604100919482653
2.65,-0.62969268770842
2.655,-0.656863385256058
2.66,-0.685741164786322
2.665,-0.716467004667452
2.67,-0.749196228650357
2.675,-0.784100232545264
2.68,-0.821368449599352
2.685,-0.861210591640184
2.69,-0.903859209407421
2.695,-0.94957262304482
2.7,-0.998638282710507
2.705,-1.05137662998493
2.71,-1.10814554358358
2.715,-1.16934546827387
2.72,-1.23542534442897
2.725,-1.30688947805054
2.73,-1.38430551828665
2.735,-1.46831374265598
2.74,-1.55963789093709
2.745,-1.65909783907881
2.75,-1.76762446736409
2.755,-1.88627715631338
2.76,-2.01626444492356
2.765,-2.15896851665009
2.77,-2.31597435050519
2.775,-2.48910460478194
2.78,-2.68046161496119
2.785,-2.89247832488678
2.79,-3.12798059311286
2.795,-3.39026422249309
2.8,-3.68319140864243
2.805,-4.01131335089741
2.81,-4.38002895036196
2.815,-4.79579457118698
2.82,-5.2664080527153
2.825,-5.80140385104566
2.83,-6.41261967440619
2.835,-7.11503660305327
2.84,-7.92807131050757
2.845,-8.87764635598035
2.85,-9.99966216330259
2.855,-11.3461274158501
2.86,-12.9966091958746
2.865,-15.0807148869095
2.87,-17.8211404585191
2.875,-21.5592882995835
2.88,-25.6880671674036
2.885,-24.2601214387491
2.89,-19.9775952523803
2.895,-16.7044845405103
2.9,-14.2857273651811
2.905,-12.4183526463231
2.91,-10.9231865662277
2.915,-9.69413831440423
2.92,-8.66439520252126
2.925,-7.78930405317488
2.93,-7.03749433995439
2.935,-6.38601092040124
2.94,-5.81749332393733
2.945,-5.31845782099883
2.95,-4.87820418126731
2.955,-4.48809232693497
2.96,-4.14104678222862
2.965,-3.83120644338092
2.97,-3.55367008178368
2.975,-3.3043068092463
2.98,-3.07961185022263
2.985,-2.87659472306249
2.99,-2.69269114800116
2.995,-2.52569269396286
3,-2.37368993829028
