"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0223196717918404
2.005,-0.0225320398783524
2.01,-0.022746663531501
2.015,-0.0229635652832916
2.02,-0.0231827682468981
2.025,-0.0234042961291882
2.03,-0.0236281732437526
2.035,-0.0238544245244759
2.04,-0.0240830755397065
2.045,-0.0243141525070398
2.05,-0.0245476823087573
2.055,-0.0247836925079858
2.06,-0.0250222113655937
2.065,-0.0252632678578939
2.07,-0.0255068916952194
2.075,-0.0257531133414178
2.08,-0.0260019640343423
2.085,-0.0262534758074138
2.09,-0.0265076815123424
2.095,-0.026764614843104
2.1,-0.0270243103612657
2.105,-0.0272868035227831
2.11,-0.0275521307064018
2.115,-0.0278203292437867
2.12,-0.0280914374515734
2.125,-0.0283654946654748
2.13,-0.0286425412766817
2.135,-0.0289226187707463
2.14,-0.029205769769243
2.145,-0.0294920380744404
2.15,-0.0297814687173205
2.155,-0.0300741080093368
2.16,-0.0303700035982597
2.165,-0.0306692045286087
2.17,-0.0309717613072178
2.175,-0.0312777259744539
2.18,-0.0315871521818644
2.185,-0.0319000952769655
2.19,-0.0322166123961182
2.195,-0.0325367625664652
2.2,-0.0328606068181997
2.205,-0.0331882083084515
2.21,-0.0335196324584221
2.215,-0.0338549471056391
2.22,-0.0341942226734444
2.225,-0.0345375323602088
2.23,-0.0348849523512867
2.235,-0.0352365620570868
2.24,-0.0355924443813775
2.245,-0.0359526860246028
2.25,-0.0363173778279205
2.255,-0.0366866151647589
2.26,-0.0370604983879376
2.265,-0.0374391333421018
2.27,-0.0378226319530636
2.275,-0.0382111129081852
2.28,-0.0386047024447885
2.285,-0.0390035352673787
2.29,-0.0394077556190452
2.295,-0.0398175185381375
2.3,-0.0402329913386923
2.305,-0.0406543553621642
2.31,-0.0410818080598905
2.315,-0.0415155654805386
2.32,-0.0419558652563229
2.325,-0.0424029702065697
2.33,-0.0428571727101508
2.335,-0.0433188000408865
2.34,-0.0437882209170468
2.345,-0.0442658535914375
2.35,-0.044752175910255
2.355,-0.0452477379062944
2.36,-0.0457531776798829
2.365,-0.0462692415795743
2.37,-0.0467968100544558
2.375,-0.047336931054868
2.38,-0.0478908635746007
2.385,-0.0484601349532026
2.39,-0.0490466170411567
2.395,-0.0496526284997857
2.4,-0.0502810737087848
2.405,-0.0509356335199258
2.41,-0.0516210302389577
2.415,-0.0523433999643059
2.42,-0.0531108215355369
2.425,-0.0539340751958549
2.43,-0.0548277380283436
2.435,-0.0558117671165688
2.44,-0.0569137634067359
2.445,-0.0581720970748716
2.45,-0.0596398293046523
2.455,-0.061388335716992
2.46,-0.0635062030858607
2.465,-0.0660798618267199
2.47,-0.0691234625720381
2.475,-0.0724118897464873
2.48,-0.0752651363578757
2.485,-0.076671881561287
2.49,-0.0761274874561362
2.495,-0.0742393497755307
2.5,-0.0720567653471234
2.505,-0.0702367072285253
2.51,-0.0689621836806412
2.515,-0.0681846689216342
2.52,-0.0677963454550846
2.525,-0.0676970472813982
2.53,-0.0678097348604253
2.535,-0.0680789230549863
2.54,-0.0684655052614822
2.545,-0.0689419905325811
2.55,-0.069488936626792
2.555,-0.0700924586194592
2.56,-0.070742530790067
2.565,-0.071431834988138
2.57,-0.0721549762635665
2.575,-0.072907943875169
2.58,-0.0736877367854695
2.585,-0.0744921003000093
2.59,-0.0753193385884684
2.595,-0.0761681796089167
2.6,-0.0770376766520484
2.605,-0.0779271357803394
2.61,-0.0788360617915375
2.615,-0.079764117583056
2.62,-0.0807110933161063
2.625,-0.0816768828203013
2.63,-0.0826614654009286
2.635,-0.083664891715811
2.64,-0.0846872727452387
2.645,-0.0857287711334479
2.65,-0.086789594363413
2.655,-0.0878699893605549
2.66,-0.088970238218854
2.665,-0.0900906548154118
2.67,-0.091231582133791
2.675,-0.0923933901569354
2.68,-0.0935764742215271
2.685,-0.094781253749023
2.69,-0.0960081712867122
2.695,-0.0972576918061375
2.7,-0.0985303022170665
2.705,-0.0998265110636772
2.71,-0.101146848376429
2.715,-0.102491865658265
2.72,-0.103862135988162
2.725,-0.105258254228333
2.73,-0.106680837324225
2.735,-0.108130524688597
2.74,-0.109607978662844
2.745,-0.111113885050227
2.75,-0.112648953716842
2.755,-0.114213919257366
2.76,-0.115809541723244
2.765,-0.117436607412023
2.77,-0.119095929716933
2.775,-0.120788350036514
2.78,-0.12251473874459
2.785,-0.124275996221215
2.79,-0.126073053945811
2.795,-0.127906875653848
2.8,-0.12977845855907
2.805,-0.13168883464326
2.81,-0.133639072016165
2.815,-0.135630276348309
2.82,-0.13766359237984
2.825,-0.139740205508809
2.83,-0.141861343462641
2.835,-0.144028278056872
2.84,-0.146242327045503
2.845,-0.148504856067761
2.85,-0.150817280696335
2.855,-0.15318106859261
2.86,-0.155597741774721
2.865,-0.158068879004785
2.87,-0.160596118302032
2.875,-0.163181159589063
2.88,-0.16582576747898
2.885,-0.168531774211638
2.89,-0.171301082747899
2.895,-0.174135670031334
2.9,-0.177037590427521
2.905,-0.180008979351758
2.91,-0.183052057096857
2.915,-0.186169132873367
2.92,-0.18936260907561
2.925,-0.192634985787762
2.93,-0.195988865545273
2.935,-0.199426958368029
2.94,-0.202952087082815
2.945,-0.206567192954004
2.95,-0.210275341642698
2.955,-0.214079729516074
2.96,-0.217983690330393
2.965,-0.221990702312734
2.97,-0.226104395668587
2.975,-0.230328560544393
2.98,-0.234667155476347
2.985,-0.239124316359345
2.99,-0.24370436597238
2.995,-0.248411824099751
3,-0.25325141829043
