"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0259515113579556
2.005,-0.0262413695742562
2.01,-0.0265343295106401
2.015,-0.0268304234892875
2.02,-0.0271296848330722
2.025,-0.0274321478825189
2.03,-0.0277378480132641
2.035,-0.0280468216539394
2.04,-0.0283591063046017
2.045,-0.0286747405556214
2.05,-0.0289937641070996
2.055,-0.0293162177888259
2.06,-0.0296421435807569
2.065,-0.0299715846340683
2.07,-0.0303045852927786
2.075,-0.0306411911159433
2.08,-0.0309814489004779
2.085,-0.0313254067045719
2.09,-0.0316731138717752
2.095,-0.0320246210557072
2.1,-0.0323799802454572
2.105,-0.0327392447916828
2.11,-0.0331024694333965
2.115,-0.0334697103255185
2.12,-0.0338410250671587
2.125,-0.034216472730687
2.13,-0.0345961138915969
2.135,-0.034980010659206
2.14,-0.0353682267081842
2.145,-0.0357608273109598
2.15,-0.0361578793710515
2.155,-0.0365594514572807
2.16,-0.0369656138389766
2.165,-0.0373764385221513
2.17,-0.0377919992866828
2.175,-0.0382123717245566
2.18,-0.0386376332791825
2.185,-0.0390678632858103
2.19,-0.0395031430131202
2.195,-0.0399435557059632
2.2,-0.0403891866293584
2.205,-0.0408401231137178
2.21,-0.0412964546014052
2.215,-0.0417582726946097
2.22,-0.0422256712046263
2.225,-0.0426987462025677
2.23,-0.0431775960715453
2.235,-0.0436623215603952
2.24,-0.0441530258389765
2.245,-0.0446498145551071
2.25,-0.0451527958931786
2.255,-0.045662080634543
2.26,-0.0461777822196788
2.265,-0.0467000168122379
2.27,-0.047228903365022
2.275,-0.0477645636879628
2.28,-0.0483071225181758
2.285,-0.0488567075921243
2.29,-0.049413449720058
2.295,-0.0499774828626896
2.3,-0.0505489442102881
2.305,-0.0511279742642109
2.31,-0.0517147169210054
2.315,-0.0523093195591409
2.32,-0.0529119331284867
2.325,-0.0535227122426245
2.33,-0.0541418152741139
2.335,-0.054769404452809
2.34,-0.0554056459673204
2.345,-0.0560507100698019
2.35,-0.0567047711841057
2.355,-0.0573680080174984
2.36,-0.0580406036760375
2.365,-0.058722745783763
2.37,-0.0594146266058326
2.375,-0.0601164431758008
2.38,-0.0608283974271125
2.385,-0.0615506963290758
2.39,-0.0622835520274361
2.395,-0.0630271819897166
2.4,-0.0637818091555565
2.405,-0.0645476620922271
2.41,-0.0653249751555304
2.415,-0.066113988656289
2.42,-0.0669149490326784
2.425,-0.0677281090286149
2.43,-0.0685537278784564
2.435,-0.0693920714982748
2.44,-0.0702434126839812
2.445,-0.0711080313165725
2.45,-0.0719862145747893
2.455,-0.0728782571555346
2.46,-0.0737844615023482
2.465,-0.074705138042288
2.47,-0.0756406054315674
2.475,-0.0765911908103526
2.48,-0.077557230067083
2.485,-0.0785390681127571
2.49,-0.0795370591655805
2.495,-0.0805515670464784
2.5,-0.0815829654859266
2.505,-0.0826316384425845
2.51,-0.0836979804343018
2.515,-0.0847823968820292
2.52,-0.0858853044671895
2.525,-0.0870071315031952
2.53,-0.0881483183216732
2.535,-0.0893093176741259
2.54,-0.0904905951497273
2.545,-0.0916926296100111
2.55,-0.0929159136412094
2.555,-0.094160954025132
2.56,-0.09542827222938
2.565,-0.0967184049179118
2.57,-0.0980319044828341
2.575,-0.0993693395985334
2.58,-0.100731295799139
2.585,-0.102118376080538
2.59,-0.103531201528087
2.595,-0.104970411971311
2.6,-0.106436666666908
2.605,-0.107930645011524
2.61,-0.109453047285698
2.615,-0.11100459543066
2.62,-0.112586033859567
2.625,-0.114198130304967
2.63,-0.11584167670437
2.635,-0.117517490125861
2.64,-0.119226413735882
2.645,-0.120969317811345
2.65,-0.122747100798462
2.655,-0.124560690420726
2.66,-0.126411044838688
2.665,-0.128299153864336
2.67,-0.130226040232952
2.675,-0.132192760935676
2.68,-0.134200408616003
2.685,-0.136250113033832
2.69,-0.138343042600709
2.695,-0.140480405990329
2.7,-0.142663453828493
2.705,-0.144893480466972
2.71,-0.147171825846148
2.715,-0.149499877451431
2.72,-0.151879072368903
2.725,-0.154310899445961
2.73,-0.156796901563084
2.735,-0.159338678023243
2.74,-0.161937887066002
2.745,-0.16459624851364
2.75,-0.16731554655735
2.755,-0.170097632691885
2.76,-0.172944428807758
2.765,-0.175857930450637
2.77,-0.178840210258272
2.775,-0.181893421586002
2.78,-0.185019802332649
2.785,-0.188221678979444
2.79,-0.191501470855526
2.795,-0.194861694644549
2.8,-0.198304969147852
2.805,-0.20183402032099
2.81,-0.205451686601372
2.815,-0.209160924546272
2.82,-0.212964814801819
2.825,-0.216866568425041
2.83,-0.220869533582808
2.835,-0.22497720265324
2.84,-0.2291932197571
2.845,-0.233521388748805
2.85,-0.237965681698983
2.855,-0.242530247902946
2.86,-0.247219423452198
2.865,-0.252037741408913
2.87,-0.256989942626651
2.875,-0.262080987263875
2.88,-0.267316067040693
2.885,-0.272700618293294
2.89,-0.278240335885016
2.895,-0.283941188037861
2.9,-0.289809432153542
2.905,-0.295851631698961
2.91,-0.302074674237283
2.915,-0.308485790692784
2.92,-0.315092575945075
2.925,-0.321903010856623
2.93,-0.328925485846611
2.935,-0.336168826133895
2.94,-0.343642318782941
2.945,-0.351355741698306
2.95,-0.359319394726465
2.955,-0.36754413303815
2.96,-0.376041402980059
2.965,-0.384823280602367
2.97,-0.393902513087407
2.975,-0.403292563326176
2.98,-0.413007657912352
2.985,-0.423062838849329
2.99,-0.433474019293965
2.995,-0.44425804369203
3,-0.455432752694882
