"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0152257106297889
2.005,-0.0153195636026634
2.01,-0.0154150145786275
2.015,-0.0155120897044293
2.02,-0.0156108160348551
2.025,-0.0157112215661502
2.03,-0.0158133352709873
2.035,-0.0159171871350839
2.04,-0.0160228081955465
2.045,-0.0161302305810157
2.05,-0.0162394875537244
2.055,-0.016350613553586
2.06,-0.0164636442443941
2.065,-0.0165786165622657
2.07,-0.0166955687664565
2.075,-0.0168145404926577
2.08,-0.0169355728089412
2.085,-0.0170587082744848
2.09,-0.017183991001236
2.095,-0.0173114667186849
2.1,-0.0174411828419302
2.105,-0.0175731885432273
2.11,-0.0177075348272026
2.115,-0.0178442746099774
2.12,-0.017983462802428
2.125,-0.0181251563978011
2.13,-0.0182694145639913
2.135,-0.0184162987407158
2.14,-0.0185658727419215
2.145,-0.0187182028637373
2.15,-0.0188733579982917
2.155,-0.0190314097537949
2.16,-0.0191924325812687
2.165,-0.0193565039083306
2.17,-0.0195237042804922
2.175,-0.0196941175104805
2.18,-0.0198678308360634
2.185,-0.0200449350869375
2.19,-0.0202255248613395
2.195,-0.0204096987129285
2.2,-0.0205975593487112
2.205,-0.0207892138387271
2.21,-0.0209847738382691
2.215,-0.0211843558235549
2.22,-0.0213880813417346
2.225,-0.0215960772762702
2.23,-0.0218084761287494
2.235,-0.0220254163183153
2.24,-0.0222470424999658
2.245,-0.0224735059031173
2.25,-0.0227049646918717
2.255,-0.0229415843486179
2.26,-0.0231835380827041
2.265,-0.0234310072660295
2.27,-0.0236841818976619
2.275,-0.0239432610996211
2.28,-0.0242084536462978
2.285,-0.0244799785301068
2.29,-0.0247580655662177
2.295,-0.0250429560394949
2.3,-0.02533490339701
2.305,-0.0256341739898319
2.31,-0.0259410478681334
2.315,-0.0262558196340164
2.32,-0.0265787993568711
2.325,-0.0269103135565812
2.33,-0.027250706260311
2.335,-0.0276003401392654
2.34,-0.0279595977323633
2.345,-0.0283288827644757
2.35,-0.0287086215676603
2.355,-0.0290992646146559
2.36,-0.0295012881748477
2.365,-0.0299151961039796
2.37,-0.0303415217800468
2.375,-0.0307808301991668
2.38,-0.0312337202466098
2.385,-0.0317008271599153
2.39,-0.0321828252028019
2.395,-0.0326804305706831
2.4,-0.0331944045509123
2.405,-0.0337255569635235
2.41,-0.0342747499112164
2.415,-0.0348429018705892
2.42,-0.0354309921605379
2.425,-0.0360400658278862
2.43,-0.0366712389952647
2.435,-0.0373257047217016
2.44,-0.0380047394327315
2.445,-0.0387097099838882
2.45,-0.0394420814297162
2.455,-0.0402034255796691
2.46,-0.0409954304330408
2.465,-0.0418199105972976
2.47,-0.0426788188082971
2.475,-0.0435742586871959
2.48,-0.0445084988875356
2.485,-0.0454839888078174
2.49,-0.0465033760699278
2.495,-0.0475695259931927
2.5,-0.0486855433277165
2.505,-0.0498547965505665
2.51,-0.051080945074784
2.515,-0.0523679697757277
2.52,-0.0537202073034585
2.525,-0.0551423887252894
2.53,-0.0566396831321221
2.535,-0.0582177469478819
2.54,-0.0598827798072837
2.545,-0.0616415880170669
2.55,-0.0635016567952166
2.555,-0.065471232697789
2.56,-0.0675594179017687
2.565,-0.0697762783251065
2.57,-0.0721329679437543
2.575,-0.074641872126318
2.58,-0.0773167733693414
2.585,-0.080173043505599
2.59,-0.0832278673060434
2.595,-0.086500503444555
2.6,-0.0900125900959581
2.605,-0.0937885040607068
2.61,-0.0978557843431499
2.615,-0.102245633670957
2.62,-0.106993514684666
2.625,-0.112139861651638
2.63,-0.117730933838766
2.635,-0.123819843476452
2.64,-0.130467800053603
2.645,-0.13774562416717
2.65,-0.145735599225888
2.655,-0.154533749240787
2.66,-0.164252657486548
2.665,-0.175024976463043
2.67,-0.187007827833793
2.675,-0.200388356887029
2.68,-0.215390796807718
2.685,-0.232285524247847
2.69,-0.251400764944567
2.695,-0.273137859727882
2.7,-0.297991362258586
2.705,-0.326575763732806
2.71,-0.359661409103444
2.715,-0.398223312893716
2.72,-0.443508303701401
2.725,-0.497128549274878
2.73,-0.561193560486126
2.735,-0.63849908791999
2.74,-0.732801280035693
2.745,-0.849220273210814
2.75,-0.994842493159567
2.755,-1.17963045518851
2.76,-1.41780902001328
2.765,-1.72998100146573
2.77,-2.14631356335267
2.775,-2.71111509742419
2.78,-3.4885001776505
2.785,-4.5656203002768
2.79,-6.03564382789421
2.795,-7.88282249048754
2.8,-9.54632192238513
2.805,-9.62721064363697
2.81,-8.0479477769585
2.815,-6.20996804753703
2.82,-4.72925086123929
2.825,-3.63879699708724
2.83,-2.84891296633766
2.835,-2.27299986997032
2.84,-1.84692348580683
2.845,-1.5262426537957
2.85,-1.28063958897131
2.855,-1.08936714460581
2.86,-0.938070078260126
2.865,-0.816671665401192
2.87,-0.717987244063606
2.875,-0.636813082353502
2.88,-0.569322304234506
2.885,-0.512659462101055
2.89,-0.464664663662369
2.895,-0.423683160346686
2.9,-0.388432046567561
2.905,-0.357905645243679
2.91,-0.331307458044657
2.915,-0.30800060186528
2.92,-0.287471276732671
2.925,-0.269301534138008
2.93,-0.253148761626888
2.935,-0.238730072044141
2.94,-0.225810312635424
2.945,-0.214192772696596
2.95,-0.20371192212677
2.955,-0.194227692200562
2.96,-0.185620937450579
2.965,-0.177789809403712
2.97,-0.170646839675981
2.975,-0.164116578894579
2.98,-0.158133674136351
2.985,-0.152641294586272
2.99,-0.147589835425082
2.995,-0.142935845332294
3,-0.138641134718262
