"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.251344526225946
2.005,-0.27385078335294
2.01,-0.299929454924218
2.015,-0.330470764355191
2.02,-0.366647549372045
2.025,-0.409974638734836
2.03,-0.462294694507306
2.035,-0.525521441481529
2.04,-0.600816265383819
2.045,-0.686913254890654
2.05,-0.778328655902778
2.055,-0.866421346921537
2.06,-0.94552682196523
2.065,-1.01881039122297
2.07,-1.09655241424226
2.075,-1.19027937924043
2.08,-1.30978861364968
2.085,-1.46373569006692
2.09,-1.66144387262866
2.095,-1.91471914528942
2.1,-2.23962760712813
2.105,-2.65856943883616
2.11,-3.20303292238322
2.115,-3.91739396627926
2.12,-4.86395980486677
2.125,-6.1283624227103
2.13,-7.81804139845035
2.135,-10.0094031199915
2.14,-12.4095962110194
2.145,-13.4064485071768
2.15,-11.7830319428123
2.155,-9.39363543157765
2.16,-7.3792404239344
2.165,-5.84656178406476
2.17,-4.69657301570937
2.175,-3.82821220223009
2.18,-3.16474918362474
2.185,-2.6510827860353
2.19,-2.24802650753582
2.195,-1.92761519539229
2.2,-1.66972543780404
2.205,-1.45972548435179
2.21,-1.28685555369979
2.215,-1.14311064495926
2.22,-1.02246582894785
2.225,-0.92033482889462
2.23,-0.833188150493199
2.235,-0.758281055124872
2.24,-0.693457778141311
2.245,-0.637009155807839
2.25,-0.587568025748668
2.255,-0.544031606389277
2.26,-0.505503335729795
2.265,-0.471248882248808
2.27,-0.440662575376463
2.275,-0.413241567200319
2.28,-0.388565781706306
2.285,-0.366282233579934
2.29,-0.346092673073512
2.295,-0.327743782534821
2.3,-0.311019345207318
2.305,-0.295733949418764
2.31,-0.281727896250858
2.315,-0.268863056712912
2.32,-0.257019482729312
2.325,-0.246092620160024
2.33,-0.235991005381642
2.335,-0.226634352391706
2.34,-0.217951956946886
2.345,-0.209881359361292
2.35,-0.202367219349019
2.355,-0.195360365492893
2.36,-0.188816989156028
2.365,-0.182697958373206
2.37,-0.176968231805121
2.375,-0.17159635646859
2.38,-0.166554035868525
2.385,-0.161815757504505
2.39,-0.15735847062479
2.395,-0.153161306644731
2.4,-0.149205335906704
2.405,-0.145473355491128
2.41,-0.141949703637028
2.415,-0.138620097031234
2.42,-0.135471487805621
2.425,-0.132491937563843
2.43,-0.129670506161128
2.435,-0.126997153296787
2.44,-0.124462651261192
2.445,-0.122058507416161
2.45,-0.119776895188037
2.455,-0.117610592522009
2.46,-0.115552926890011
2.465,-0.113597726066835
2.47,-0.111739273993178
2.475,-0.10997227113369
2.48,-0.108291798814188
2.485,-0.106693287088032
2.49,-0.105172485737941
2.495,-0.103725438068299
2.5,-0.102348457185109
2.505,-0.101038104497204
2.51,-0.0997911702040124
2.515,-0.098604655562643
2.52,-0.0974757567511812
2.525,-0.096401850165886
2.53,-0.0953804790084154
2.535,-0.0944093410351981
2.54,-0.0934862773551727
2.545,-0.0926092621745033
2.55,-0.0917763933978097
2.555,-0.0909858840049989
2.56,-0.090236054131384
2.565,-0.0895253237861968
2.57,-0.0888522061513226
2.575,-0.0882153014079787
2.58,-0.087613291044313
2.585,-0.0870449326015489
2.59,-0.0865090548205381
2.595,-0.0860045531542113
2.6,-0.0855303856148026
2.605,-0.0850855689276901
2.61,-0.0846691749663257
2.615,-0.084280327445178
2.62,-0.0839181988497149
2.625,-0.0835820075843719
2.63,-0.0832710153213168
2.635,-0.0829845245342094
2.64,-0.0827218762027765
2.645,-0.0824824476751525
2.65,-0.0822656506762388
2.655,-0.0820709294513052
2.66,-0.0818977590351076
2.665,-0.0817456436376444
2.67,-0.0816141151384934
2.675,-0.0815027316824652
2.68,-0.0814110763699707
2.685,-0.0813387560361517
2.69,-0.081285400113433
2.695,-0.0812506595727588
2.7,-0.0812342059392346
2.705,-0.0812357303784876
2.71,-0.0812549428504695
2.715,-0.0812915713279816
2.72,-0.0813453610775851
2.725,-0.0814160740010358
2.73,-0.081503488035864
2.735,-0.0816073966140689
2.74,-0.0817276081784928
2.745,-0.0818639457567146
2.75,-0.0820162465929311
2.755,-0.0821843618386517
2.76,-0.0823681563036129
2.765,-0.0825675082687266
2.77,-0.082782309363534
2.775,-0.083012464511109
2.78,-0.0832578919439156
2.785,-0.083518523294809
2.79,-0.0837943037679498
2.795,-0.0840851923949999
2.8,-0.0843911623827495
2.805,-0.0847122015588835
2.81,-0.0850483129233511
2.815,-0.0853995153134135
2.82,-0.0857658441911473
2.825,-0.0861473525626934
2.83,-0.0865441120391451
2.835,-0.0869562140492854
2.84,-0.0873837712146965
2.845,-0.0878269188978046
2.85,-0.0882858169331155
2.855,-0.0887606515514976
2.86,-0.0892516375061199
2.865,-0.0897590204073569
2.87,-0.0902830792715626
2.875,-0.0908241292857208
2.88,-0.0913825247859849
2.885,-0.0919586624431194
2.89,-0.0925529846413837
2.895,-0.0931659830298357
2.9,-0.0937982022153909
2.905,-0.0944502435560502
2.91,-0.0951227689994852
2.915,-0.0958165048974471
2.92,-0.0965322457095374
2.925,-0.0972708574914928
2.93,-0.0980332810431745
2.935,-0.0988205345708761
2.94,-0.0996337156975884
2.945,-0.100474002635016
2.95,-0.101342654313584
2.955,-0.102241009252801
2.96,-0.103170482946706
2.965,-0.104132563539331
2.97,-0.105128805575919
2.975,-0.106160821639472
2.98,-0.107230271720935
2.985,-0.108338850227244
2.99,-0.109488270605085
2.995,-0.110680247649758
3,-0.111916477676087
