"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0155624961773684
2.005,-0.0156575201546742
2.01,-0.0157536704884829
2.015,-0.0158509611263971
2.02,-0.0159494062877149
2.025,-0.0160490204697523
2.03,-0.0161498184543432
2.035,-0.0162518153145481
2.04,-0.016355026421559
2.045,-0.0164594674517968
2.05,-0.0165651543942549
2.055,-0.0166721035580188
2.06,-0.0167803315800579
2.065,-0.0168898554332278
2.07,-0.0170006924345146
2.075,-0.0171128602535602
2.08,-0.0172263769214117
2.085,-0.0173412608395711
2.09,-0.0174575307893082
2.095,-0.017575205941264
2.1,-0.0176943058653794
2.105,-0.0178148505410853
2.11,-0.0179368603678717
2.115,-0.0180603561761442
2.12,-0.0181853592384493
2.125,-0.018311891281058
2.13,-0.0184399744959044
2.135,-0.0185696315529298
2.14,-0.0187008856128063
2.145,-0.0188337603400796
2.15,-0.0189682799167565
2.155,-0.019104469056307
2.16,-0.0192423530181421
2.165,-0.0193819576225834
2.17,-0.0195233092663101
2.175,-0.0196664349383125
2.18,-0.0198113622364093
2.185,-0.0199581193843041
2.19,-0.020106735249212
2.195,-0.0202572393600805
2.2,-0.020409661926466
2.205,-0.0205640338580099
2.21,-0.0207203867846231
2.215,-0.0208787530773326
2.22,-0.0210391658699051
2.225,-0.0212016590811495
2.23,-0.0213662674380857
2.235,-0.0215330264998596
2.24,-0.0217019726825533
2.245,-0.0218731432848445
2.25,-0.0220465765146122
2.255,-0.0222223115164737
2.26,-0.0224003884003373
2.265,-0.0225808482709718
2.27,-0.0227637332586669
2.275,-0.0229490865510312
2.28,-0.0231369524259192
2.285,-0.0233273762856311
2.29,-0.0235204046923453
2.295,-0.0237160854048915
2.3,-0.0239144674169257
2.305,-0.0241156009965085
2.31,-0.0243195377272205
2.315,-0.0245263305508545
2.32,-0.024736033811701
2.325,-0.0249487033026038
2.33,-0.0251643963127657
2.335,-0.0253831716774332
2.34,-0.0256050898295296
2.345,-0.0258302128533279
2.35,-0.0260586045402548
2.355,-0.0262903304469167
2.36,-0.0265254579554575
2.365,-0.0267640563363506
2.37,-0.0270061968137482
2.375,-0.0272519526334825
2.38,-0.0275013991338626
2.385,-0.027754613819395
2.39,-0.0280116764375861
2.395,-0.0282726690588991
2.4,-0.0285376761601168
2.405,-0.0288067847112122
2.41,-0.0290800842658984
2.415,-0.0293576670560614
2.42,-0.0296396280902449
2.425,-0.0299260652564024
2.43,-0.0302170794291184
2.435,-0.0305127745815119
2.44,-0.0308132579020826
2.445,-0.031118639916729
2.45,-0.031429034616215
2.455,-0.0317445595893268
2.46,-0.0320653361620808
2.465,-0.0323914895432223
2.47,-0.0327231489763918
2.475,-0.033060447899288
2.48,-0.0334035241101884
2.485,-0.0337525199422576
2.49,-0.0341075824459858
2.495,-0.0344688635802852
2.5,-0.034836520412629
2.505,-0.0352107153287849
2.51,-0.0355916162526348
2.515,-0.0359793968766504
2.52,-0.0363742369036157
2.525,-0.0367763223002201
2.53,-0.037185845563197
2.535,-0.0376030059987184
2.54,-0.0380280100157848
2.545,-0.0384610714344525
2.55,-0.0389024118097064
2.555,-0.0393522607719429
2.56,-0.0398108563849834
2.565,-0.0402784455227129
2.57,-0.0407552842654045
2.575,-0.0412416383169205
2.58,-0.0417377834440863
2.585,-0.0422440059395276
2.59,-0.0427606031094664
2.595,-0.0432878837879684
2.6,-0.0438261688793323
2.605,-0.0443757919303492
2.61,-0.0449370997343351
2.615,-0.045510452968966
2.62,-0.0460962268700714
2.625,-0.0466948119437053
2.63,-0.0473066147190265
2.635,-0.0479320585446147
2.64,-0.0485715844311401
2.645,-0.0492256519434671
2.65,-0.049894740145524
2.655,-0.0505793486014842
2.66,-0.0512799984371846
2.665,-0.0519972334658508
2.67,-0.0527316213826781
2.675,-0.0534837550330228
2.68,-0.0542542537595033
2.685,-0.0550437648335363
2.69,-0.0558529649774891
2.695,-0.0566825619839524
2.7,-0.0575332964392701
2.705,-0.0584059435590713
2.71,-0.0593013151440778
2.715,-0.060220261665326
2.72,-0.0611636744885541
2.725,-0.0621324882484873
2.73,-0.063127683384558
2.735,-0.0641502888507324
2.74,-0.0652013850130976
2.745,-0.0662821067502134
2.75,-0.0673936467725075
2.755,-0.0685372591784573
2.76,-0.0697142632670285
2.765,-0.0709260476275094
2.77,-0.072174074529989
2.775,-0.0734598846418602
2.78,-0.0747851020981216
2.785,-0.0761514399560584
2.79,-0.0775607060677121
2.795,-0.0790148094069677
2.8,-0.0805157668917009
2.805,-0.0820657107455009
2.81,-0.0836668964480467
2.815,-0.0853217113282278
2.82,-0.0870326838598092
2.825,-0.0888024937256126
2.83,-0.0906339827233485
2.835,-0.0925301665939974
2.84,-0.0944942478625461
2.845,-0.0965296297906873
2.85,-0.0986399315523039
2.855,-0.100829004754982
2.86,-0.103100951444941
2.865,-0.105460143748607
2.87,-0.107911245322043
2.875,-0.110459234799706
2.88,-0.113109431457033
2.885,-0.115867523327378
2.89,-0.118739598043548
2.895,-0.121732176707785
2.9,-0.124852251132641
2.905,-0.128107324838864
2.91,-0.131505458246818
2.915,-0.135055318555263
2.92,-0.138766234867392
2.925,-0.142648259199849
2.93,-0.146712234097714
2.935,-0.150969867679385
2.94,-0.155433817051671
2.945,-0.16011778117049
2.95,-0.165036604379303
2.955,-0.170206392039641
2.96,-0.175644639880705
2.965,-0.181370378943245
2.97,-0.187404338283767
2.975,-0.193769127946338
2.98,-0.200489445110861
2.985,-0.207592306800161
2.99,-0.215107313088243
2.995,-0.223066945415802
3,-0.231506905407988
