"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0158228370731585
2.005,-0.0159085309905322
2.01,-0.0159947625061142
2.015,-0.0160815410333521
2.02,-0.0161688759311497
2.025,-0.0162567765060412
2.03,-0.0163452520143268
2.035,-0.0164343116642128
2.04,-0.016523964617914
2.045,-0.0166142199938
2.05,-0.0167050868684698
2.055,-0.0167965742788457
2.06,-0.0168886912242635
2.065,-0.0169814466685382
2.07,-0.0170748495420304
2.075,-0.0171689087436966
2.08,-0.0172636331431389
2.085,-0.0173590315826401
2.09,-0.017455112879207
2.095,-0.0175518858265739
2.1,-0.0176493591972329
2.105,-0.0177475417444457
2.11,-0.0178464422042478
2.115,-0.0179460692974415
2.12,-0.0180464317316008
2.125,-0.01814753820305
2.13,-0.0182493973988584
2.135,-0.0183520179988117
2.14,-0.0184554086773967
2.145,-0.0185595781057747
2.15,-0.0186645349537443
2.155,-0.0187702878917138
2.16,-0.018876845592672
2.165,-0.0189842167341378
2.17,-0.0190924100001315
2.175,-0.0192014340831344
2.18,-0.0193112976860432
2.185,-0.0194220095241298
2.19,-0.0195335783269961
2.195,-0.0196460128405359
2.2,-0.0197593218288931
2.205,-0.0198735140764093
2.21,-0.0199885983895929
2.215,-0.0201045835990839
2.22,-0.0202214785616004
2.225,-0.0203392921619093
2.23,-0.0204580333148004
2.235,-0.0205777109670359
2.24,-0.0206983340993427
2.245,-0.0208199117283697
2.25,-0.0209424529086775
2.255,-0.0210659667347086
2.26,-0.0211904623427869
2.265,-0.0213159489130907
2.27,-0.0214424356716656
2.275,-0.0215699318924102
2.28,-0.0216984468990941
2.285,-0.0218279900673532
2.29,-0.0219585708267212
2.295,-0.0220901986626549
2.3,-0.0222228831185442
2.305,-0.0223566337977773
2.31,-0.0224914603657646
2.315,-0.022627372552002
2.32,-0.0227643801521307
2.325,-0.0229024930299986
2.33,-0.0230417211197553
2.335,-0.0231820744279151
2.34,-0.0233235630354777
2.345,-0.0234661971000177
2.35,-0.0236099868578117
2.355,-0.0237549426259522
2.36,-0.0239010748044989
2.365,-0.0240483938786242
2.37,-0.024196910420763
2.375,-0.0243466350927929
2.38,-0.0244975786482295
2.385,-0.0246497519343914
2.39,-0.0248031658946457
2.395,-0.0249578315706043
2.4,-0.0251137601043735
2.405,-0.0252709627407995
2.41,-0.0254294508297294
2.415,-0.0255892358283019
2.42,-0.0257503293032299
2.425,-0.0259127429331036
2.43,-0.0260764885107418
2.435,-0.026241577945502
2.44,-0.0264080232656643
2.445,-0.0265758366207832
2.45,-0.0267450302840964
2.455,-0.0269156166549248
2.46,-0.0270876082611059
2.465,-0.0272610177614304
2.47,-0.0274358579481182
2.475,-0.0276121417492949
2.48,-0.0277898822314926
2.485,-0.0279690926021842
2.49,-0.0281497862123136
2.495,-0.0283319765588666
2.5,-0.0285156772874592
2.505,-0.0287009021949431
2.51,-0.0288876652320228
2.515,-0.0290759805059321
2.52,-0.0292658622830854
2.525,-0.0294573249917864
2.53,-0.0296503832249482
2.535,-0.0298450517428392
2.54,-0.0300413454758505
2.545,-0.0302392795272999
2.55,-0.0304388691762373
2.555,-0.03064012988031
2.56,-0.0308430772786195
2.565,-0.0310477271946361
2.57,-0.0312540956391197
2.575,-0.031462198813069
2.58,-0.0316720531107162
2.585,-0.0318836751225391
2.59,-0.0320970816382913
2.595,-0.0323122896500851
2.6,-0.0325293163554951
2.605,-0.0327481791606785
2.61,-0.0329688956835514
2.615,-0.0331914837569821
2.62,-0.0334159614320083
2.625,-0.0336423469811147
2.63,-0.0338706589015209
2.635,-0.0341009159185081
2.64,-0.0343331369887781
2.645,-0.0345673413038631
2.65,-0.0348035482935459
2.655,-0.035041777629341
2.66,-0.0352820492279974
2.665,-0.035524383255035
2.67,-0.0357688001283348
2.675,-0.0360153205217565
2.68,-0.0362639653687997
2.685,-0.0365147558662971
2.69,-0.0367677134781599
2.695,-0.0370228599391522
2.7,-0.0372802172587151
2.705,-0.0375398077248369
2.71,-0.037801653907941
2.715,-0.0380657786648585
2.72,-0.0383322051428085
2.725,-0.0386009567834366
2.73,-0.0388720573269069
2.735,-0.0391455308160211
2.74,-0.0394214016004125
2.745,-0.0396996943407508
2.75,-0.0399804340130243
2.755,-0.0402636459128678
2.76,-0.0405493556599228
2.765,-0.0408375892022669
2.77,-0.041128372820878
2.775,-0.0414217331341683
2.78,-0.0417176971025569
2.785,-0.0420162920331014
2.79,-0.0423175455841754
2.795,-0.0426214857702254
2.8,-0.0429281409665451
2.805,-0.0432375399141444
2.81,-0.0435497117246488
2.815,-0.0438646858852679
2.82,-0.0441824922638229
2.825,-0.0445031611138392
2.83,-0.0448267230796827
2.835,-0.0451532092017678
2.84,-0.0454826509218429
2.845,-0.0458150800883097
2.85,-0.046150528961632
2.855,-0.0464890302197842
2.86,-0.0468306169638015
2.865,-0.0471753227233634
2.87,-0.0475231814624632
2.875,-0.047874227585132
2.88,-0.0482284959412648
2.885,-0.0485860218324693
2.89,-0.0489468410180251
2.895,-0.0493109897209069
2.9,-0.049678504633865
2.905,-0.0500494229256038
2.91,-0.050423782247026
2.915,-0.0508016207375477
2.92,-0.0511829770314958
2.925,-0.0515678902645953
2.93,-0.0519564000805307
2.935,-0.0523485466375621
2.94,-0.0527443706152857
2.945,-0.0531439132214033
2.95,-0.0535472161986411
2.955,-0.053954321831713
2.96,-0.0543652729543902
2.965,-0.0547801129566469
2.97,-0.0551988857919194
2.975,-0.0556216359844237
2.98,-0.0560484086365895
2.985,-0.0564792494365775
2.99,-0.0569142046658918
2.995,-0.0573533212070951
3,-0.0577966465516099
