"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0243632061975468
2.005,-0.0246132265848719
2.01,-0.0248660402746234
2.015,-0.0251216786592828
2.02,-0.0253801738920509
2.025,-0.0256415589016445
2.03,-0.0259058674074955
2.035,-0.0261731339353409
2.04,-0.0264433938332649
2.045,-0.0267166832881632
2.05,-0.0269930393426617
2.055,-0.0272724999124837
2.06,-0.0275551038043049
2.065,-0.0278408907340938
2.07,-0.0281299013459464
2.075,-0.0284221772314399
2.08,-0.0287177609495225
2.085,-0.0290166960469375
2.09,-0.0293190270792314
2.095,-0.0296247996322989
2.1,-0.0299340603445786
2.105,-0.0302468569298128
2.11,-0.030563238200469
2.115,-0.0308832540917951
2.12,-0.0312069556865534
2.125,-0.0315343952404412
2.13,-0.031865626208221
2.135,-0.032200703270581
2.14,-0.0325396823617584
2.145,-0.032882620697937
2.15,-0.0332295768064273
2.155,-0.0335806105557208
2.16,-0.0339357831863427
2.165,-0.0342951573426167
2.17,-0.034658797105322
2.175,-0.0350267680253059
2.18,-0.0353991371580206
2.185,-0.0357759730991218
2.19,-0.0361573460210058
2.195,-0.0365433277104986
2.2,-0.0369339916075657
2.205,-0.0373294128452065
2.21,-0.0377296682904852
2.215,-0.0381348365867599
2.22,-0.0385449981971906
2.225,-0.0389602354495052
2.23,-0.0393806325820994
2.235,-0.0398062757915147
2.24,-0.040237253281319
2.245,-0.040673655312483
2.25,-0.0411155742552445
2.255,-0.0415631046425422
2.26,-0.0420163432250814
2.265,-0.0424753890280724
2.27,-0.0429403434096822
2.275,-0.0434113101213109
2.28,-0.0438883953696883
2.285,-0.0443717078809144
2.29,-0.0448613589664718
2.295,-0.0453574625912903
2.3,-0.0458601354439566
2.305,-0.0463694970091001
2.31,-0.046885669642075
2.315,-0.0474087786460147
2.32,-0.0479389523512972
2.325,-0.0484763221975812
2.33,-0.0490210228184509
2.335,-0.0495731921287792
2.34,-0.0501329714149113
2.345,-0.0507005054277901
2.35,-0.0512759424790731
2.355,-0.0518594345404426
2.36,-0.0524511373461283
2.365,-0.0530512104988391
2.37,-0.0536598175791865
2.375,-0.054277126258765
2.38,-0.0549033084169808
2.385,-0.055538540261832
2.39,-0.056183002454731
2.395,-0.0568368802395711
2.4,-0.0575003635761647
2.405,-0.0581736472782453
2.41,-0.0588569311562114
2.415,-0.0595504201647712
2.42,-0.0602543245557177
2.425,-0.0609688600359868
2.43,-0.0616942479312811
2.435,-0.0624307153553864
2.44,-0.0631784953855002
2.445,-0.0639378272437456
2.45,-0.0647089564851529
2.455,-0.0654921351923573
2.46,-0.0662876221773147
2.465,-0.0670956831902606
2.47,-0.0679165911362886
2.475,-0.0687506262997953
2.48,-0.0695980765771566
2.485,-0.0704592377179685
2.49,-0.0713344135752023
2.495,-0.0722239163646674
2.5,-0.0731280669341566
2.505,-0.074047195042699
2.51,-0.0749816396503417
2.515,-0.0759317492189264
2.52,-0.0768978820243131
2.525,-0.0778804064805751
2.53,-0.0788797014766642
2.535,-0.0798961567261034
2.54,-0.0809301731302723
2.545,-0.0819821631558951
2.55,-0.0830525512273753
2.555,-0.0841417741345907
2.56,-0.0852502814569155
2.565,-0.0863785360041378
2.57,-0.0875270142750849
2.575,-0.0886962069347243
2.58,-0.0898866193106456
2.585,-0.0910987719097404
2.59,-0.0923332009560893
2.595,-0.0935904589510043
2.6,-0.0948711152562596
2.605,-0.0961757567016493
2.61,-0.097504988217957
2.615,-0.0988594334966068
2.62,-0.100239735677254
2.625,-0.101646558064624
2.63,-0.103080584876091
2.635,-0.104542522021414
2.64,-0.106033097916267
2.645,-0.107553064331178
2.65,-0.109103197277663
2.655,-0.110684297933397
2.66,-0.112297193608348
2.665,-0.113942738754001
2.67,-0.11562181601778
2.675,-0.117335337345002
2.68,-0.11908424513082
2.685,-0.120869513424679
2.69,-0.12269214919004
2.695,-0.124553193622238
2.7,-0.126453723527526
2.705,-0.128394852766514
2.71,-0.130377733765446
2.715,-0.132403559098865
2.72,-0.134473563147615
2.725,-0.136589023836099
2.73,-0.138751264453196
2.735,-0.140961655561373
2.74,-0.143221616998816
2.745,-0.145532619979749
2.75,-0.147896189298378
2.755,-0.150313905642252
2.76,-0.152787408021221
2.765,-0.155318396318479
2.77,-0.157908633970713
2.775,-0.160559950784692
2.78,-0.163274245898188
2.785,-0.166053490893606
2.79,-0.168899733073191
2.795,-0.171815098905372
2.8,-0.174801797652262
2.805,-0.177862125189138
2.81,-0.1809984680274
2.815,-0.184213307553165
2.82,-0.18750922449468
2.825,-0.190888903632367
2.83,-0.19435513876649
2.835,-0.197910837958262
2.84,-0.201559029061407
2.845,-0.205302865562316
2.85,-0.209145632748217
2.855,-0.213090754224065
2.86,-0.217141798800424
2.865,-0.221302487776051
2.87,-0.225576702640682
2.875,-0.229968493225234
2.88,-0.234482086328694
2.885,-0.239121894852953
2.89,-0.243892527479235
2.895,-0.248798798922079
2.9,-0.253845740799608
2.905,-0.259038613161561
2.91,-0.264382916719668
2.915,-0.269884405828298
2.92,-0.275549102266806
2.925,-0.281383309878977
2.93,-0.287393630129046
2.935,-0.293586978638384
2.94,-0.299970602771706
2.945,-0.306552100347044
2.95,-0.313339439549374
2.955,-0.320340980133967
2.96,-0.327565496012223
2.965,-0.335022199319955
2.97,-0.342720766075891
2.975,-0.350671363546668
2.98,-0.358884679443659
2.985,-0.367371953086918
2.99,-0.376145008682209
2.995,-0.385216290868674
3,-0.394598902707154
