"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0143561319515669
2.005,-0.0144219822737284
2.01,-0.0144885617835773
2.015,-0.0145558777258136
2.02,-0.0146239374461601
2.025,-0.0146927483931919
2.03,-0.0147623181203145
2.035,-0.0148326542876982
2.04,-0.0149037646643298
2.045,-0.0149756571300736
2.05,-0.0150483396778099
2.055,-0.0151218204156216
2.06,-0.0151961075690205
2.065,-0.0152712094832751
2.07,-0.0153471346257376
2.075,-0.0154238915882858
2.08,-0.0155014890897994
2.085,-0.0155799359787089
2.09,-0.0156592412356111
2.095,-0.0157394139759568
2.1,-0.0158204634528114
2.105,-0.0159023990596664
2.11,-0.0159852303333741
2.115,-0.016068966957107
2.12,-0.0161536187634281
2.125,-0.0162391957374467
2.13,-0.0163257080200404
2.135,-0.0164131659111834
2.14,-0.0165015798733494
2.145,-0.0165909605350252
2.15,-0.0166813186943136
2.155,-0.0167726653226205
2.16,-0.0168650115684814
2.165,-0.0169583687614602
2.17,-0.0170527484161658
2.175,-0.0171481622364004
2.18,-0.0172446221193938
2.185,-0.0173421401601908
2.19,-0.0174407286561387
2.195,-0.0175404001115127
2.2,-0.0176411672422774
2.205,-0.0177430429809788
2.21,-0.017846040481786
2.215,-0.0179501731256686
2.22,-0.0180554545257411
2.225,-0.0181618985327447
2.23,-0.0182695192407171
2.235,-0.0183783309927964
2.24,-0.0184883483872234
2.245,-0.0185995862835261
2.25,-0.0187120598088575
2.255,-0.0188257843645696
2.26,-0.0189407756329401
2.265,-0.0190570495841486
2.27,-0.0191746224834313
2.275,-0.019293510898461
2.28,-0.0194137317069761
2.285,-0.0195353021046216
2.29,-0.0196582396130491
2.295,-0.0197825620882481
2.3,-0.0199082877291697
2.305,-0.0200354350866055
2.31,-0.0201640230723344
2.315,-0.0202940709685925
2.32,-0.0204255984378039
2.325,-0.0205586255326685
2.33,-0.0206931727065413
2.335,-0.0208292608241628
2.34,-0.0209669111727297
2.345,-0.0211061454733432
2.35,-0.0212469858928129
2.355,-0.0213894550558656
2.36,-0.0215335760577509
2.365,-0.0216793724772712
2.37,-0.0218268683902411
2.375,-0.0219760883834096
2.38,-0.0221270575688413
2.385,-0.0222798015987924
2.39,-0.0224343466810971
2.395,-0.022590719595066
2.4,-0.0227489477079627
2.405,-0.0229090589920032
2.41,-0.0230710820419997
2.415,-0.0232350460935853
2.42,-0.0234009810420827
2.425,-0.0235689174620578
2.43,-0.0237388866275443
2.435,-0.0239109205330072
2.44,-0.0240850519150383
2.445,-0.0242613142748557
2.45,-0.0244397419016009
2.455,-0.0246203698964899
2.46,-0.024803234197841
2.465,-0.0249883716070397
2.47,-0.0251758198154297
2.475,-0.0253656174322448
2.48,-0.0255578040135449
2.485,-0.0257524200922665
2.49,-0.02594950720939
2.495,-0.0261491079462909
2.5,-0.0263512659583256
2.505,-0.0265560260097113
2.51,-0.0267634340097374
2.515,-0.0269735370503885
2.52,-0.0271863834454332
2.525,-0.027402022771032
2.53,-0.0276205059079539
2.535,-0.0278418850854671
2.54,-0.0280662139269671
2.545,-0.0282935474974357
2.55,-0.0285239423528126
2.555,-0.0287574565913522
2.56,-0.0289941499070969
2.565,-0.0292340836455075
2.57,-0.0294773208614099
2.575,-0.0297239263793204
2.58,-0.0299739668562979
2.585,-0.0302275108474167
2.59,-0.0304846288740082
2.595,-0.0307453934947846
2.6,-0.0310098793799949
2.605,-0.0312781633887628
2.61,-0.0315503246497565
2.615,-0.0318264446453679
2.62,-0.0321066072995409
2.625,-0.0323908990694836
2.63,-0.0326794090414157
2.635,-0.0329722290305805
2.64,-0.0332694536857032
2.645,-0.0335711805981938
2.65,-0.0338775104162513
2.655,-0.0341885469641851
2.66,-0.0345043973672115
2.665,-0.0348251721819826
2.67,-0.0351509855332107
2.675,-0.035481955256645
2.68,-0.035818203048784
2.685,-0.0361598546236813
2.69,-0.0365070398772049
2.695,-0.0368598930591844
2.7,-0.0372185529538671
2.705,-0.0375831630691505
2.71,-0.0379538718350364
2.715,-0.0383308328119207
2.72,-0.038714204909143
2.725,-0.0391041526145119
2.73,-0.039500846235301
2.735,-0.0399044621515148
2.74,-0.0403151830819941
2.745,-0.040733198364244
2.75,-0.0411587042486809
2.755,-0.041591904208217
2.76,-0.042033009264088
2.765,-0.042482238328865
2.77,-0.0429398185677466
2.775,-0.0434059857791776
2.78,-0.043880984796058
2.785,-0.0443650699087466
2.79,-0.044858505311241
2.795,-0.0453615655720274
2.8,-0.0458745361310926
2.805,-0.0463977138248197
2.81,-0.0469314074405271
2.815,-0.0474759383026075
2.82,-0.0480316408922714
2.825,-0.0485988635031564
2.83,-0.0491779689351749
2.835,-0.0497693352291064
2.84,-0.0503733564447566
2.845,-0.0509904434855759
2.85,-0.0516210249729479
2.855,-0.0522655481735939
2.86,-0.0529244799837407
2.865,-0.0535983079741193
2.87,-0.0542875414999851
2.875,-0.0549927128809513
2.88,-0.0557143786555374
2.885,-0.0564531209159204
2.89,-0.0572095487287852
2.895,-0.0579842996486038
2.9,-0.0587780413302669
2.905,-0.0595914732485526
2.91,-0.0604253285325423
2.915,-0.0612803759238097
2.92,-0.0621574218679534
2.925,-0.0630573127499333
2.93,-0.0639809372845057
2.935,-0.064929229074155
2.94,-0.0659031693479675
2.945,-0.0669037898961519
2.95,-0.0679321762162697
2.955,-0.0689894708886932
2.96,-0.070076877200453
2.965,-0.0711956630385383
2.97,-0.0723471650755693
2.975,-0.0735327932731495
2.98,-0.0747540357305232
2.985,-0.0760124639090211
2.99,-0.0773097382657144
2.995,-0.0786476143331262
3,-0.0800279492855927
