"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0142661014586202
2.005,-0.0143313039084674
2.01,-0.0143967164673843
2.015,-0.014462358064531
2.02,-0.0145282474335174
2.025,-0.0145944031141816
2.03,-0.0146608434543553
2.035,-0.0147275866116274
2.04,-0.0147946505551037
2.045,-0.0148620530671787
2.05,-0.0149298117452962
2.055,-0.0149979440037021
2.06,-0.0150664670752207
2.065,-0.0151353980130232
2.07,-0.015204753692386
2.075,-0.0152745508124818
2.08,-0.0153448058981593
2.085,-0.0154155353017297
2.09,-0.0154867552047658
2.095,-0.0155584816199122
2.1,-0.0156307303926969
2.105,-0.0157035172033629
2.11,-0.0157768575687108
2.115,-0.0158507668439491
2.12,-0.0159252602245689
2.125,-0.016000352748216
2.13,-0.0160760592966105
2.135,-0.0161523945974546
2.14,-0.0162293732263698
2.145,-0.0163070096088608
2.15,-0.0163853180223035
2.155,-0.0164643125979287
2.16,-0.0165440073228778
2.165,-0.0166244160422278
2.17,-0.0167055524610952
2.175,-0.0167874301467283
2.18,-0.0168700625306597
2.185,-0.0169534629108635
2.19,-0.0170376444539553
2.195,-0.0171226201974508
2.2,-0.0172084030519996
2.205,-0.0172950058037229
2.21,-0.0173824411165429
2.215,-0.0174707215345708
2.22,-0.0175598594845382
2.225,-0.0176498672782573
2.23,-0.0177407571151384
2.235,-0.0178325410847523
2.24,-0.0179252311694419
2.245,-0.0180188392469616
2.25,-0.018113377093203
2.255,-0.0182088563849526
2.26,-0.0183052887027114
2.265,-0.0184026855335529
2.27,-0.018501058274077
2.275,-0.0186004182333876
2.28,-0.0187007766361615
2.285,-0.0188021446257553
2.29,-0.0189045332674013
2.295,-0.0190079535514702
2.3,-0.0191124163967805
2.305,-0.0192179326540255
2.31,-0.0193245131092279
2.315,-0.0194321684873061
2.32,-0.0195409094557135
2.325,-0.0196507466281494
2.33,-0.019761690568361
2.335,-0.0198737517940578
2.34,-0.0199869407808665
2.345,-0.0201012679664157
2.35,-0.0202167437545239
2.355,-0.0203333785194576
2.36,-0.020451182610298
2.365,-0.0205701663554343
2.37,-0.0206903400671433
2.375,-0.0208117140462791
2.38,-0.0209342985870939
2.385,-0.0210581039821635
2.39,-0.0211831405274283
2.395,-0.0213094185273783
2.4,-0.0214369483003341
2.405,-0.0215657401839053
2.41,-0.0216958045405292
2.415,-0.0218271517631898
2.42,-0.0219597922812676
2.425,-0.022093736566511
2.43,-0.0222289951392102
2.435,-0.0223655785744808
2.44,-0.0225034975087036
2.445,-0.0226427626461763
2.45,-0.0227833847658834
2.455,-0.0229253747284515
2.46,-0.0230687434833
2.465,-0.0232135020759578
2.47,-0.0233596616555499
2.475,-0.0235072334825239
2.48,-0.0236562289365271
2.485,-0.0238066595245049
2.49,-0.0239585368890084
2.495,-0.0241118728167182
2.5,-0.024266679247182
2.505,-0.0244229682817664
2.51,-0.0245807521928679
2.515,-0.0247400434333433
2.52,-0.0249008546461783
2.525,-0.0250631986744318
2.53,-0.0252270885714066
2.535,-0.0253925376111178
2.54,-0.0255595592990006
2.545,-0.0257281673829224
2.55,-0.0258983758644678
2.555,-0.0260701990105291
2.56,-0.0262436513651905
2.565,-0.0264187477619183
2.57,-0.0265955033360864
2.575,-0.0267739335378292
2.58,-0.0269540541451976
2.585,-0.027135881277717
2.59,-0.027319431410246
2.595,-0.0275047213872453
2.6,-0.0276917684373805
2.605,-0.0278805901885479
2.61,-0.0280712046832659
2.615,-0.0282636303944915
2.62,-0.0284578862418477
2.625,-0.0286539916082808
2.63,-0.0288519663571517
2.635,-0.0290518308497875
2.64,-0.0292536059635051
2.645,-0.0294573131100894
2.65,-0.0296629742547888
2.655,-0.0298706119357926
2.66,-0.0300802492842392
2.665,-0.0302919100447595
2.67,-0.0305056185965529
2.675,-0.0307213999750293
2.68,-0.030939279894053
2.685,-0.0311592847687402
2.69,-0.0313814417388893
2.695,-0.0316057786930348
2.7,-0.0318323242931535
2.705,-0.0320611080000059
2.71,-0.0322921600991892
2.715,-0.0325255117278646
2.72,-0.0327611949022197
2.725,-0.0329992425456651
2.73,-0.0332396885177707
2.735,-0.0334825676440232
2.74,-0.0337279157463403
2.745,-0.0339757696744387
2.75,-0.0342261673380413
2.755,-0.0344791477399541
2.76,-0.0347347510100334
2.765,-0.0349930184400878
2.77,-0.0352539925197189
2.775,-0.035517716973124
2.78,-0.0357842367969245
2.785,-0.0360535982990038
2.79,-0.0363258491384077
2.795,-0.0366010383663399
2.8,-0.036879216468268
2.805,-0.0371604354071871
2.81,-0.0374447486680616
2.815,-0.0377322113034924
2.82,-0.0380228799806246
2.825,-0.0383168130293622
2.83,-0.0386140704918773
2.835,-0.0389147141735241
2.84,-0.0392188076951105
2.845,-0.0395264165466508
2.85,-0.0398376081425808
2.855,-0.0401524518784986
2.86,-0.040471019189495
2.865,-0.040793383610075
2.87,-0.0411196208357694
2.875,-0.0414498087864406
2.88,-0.0417840276713447
2.885,-0.0421223600560395
2.89,-0.0424648909311107
2.895,-0.0428117077828622
2.9,-0.0431629006659429
2.905,-0.0435185622780579
2.91,-0.0438787880367209
2.915,-0.044243676158187
2.92,-0.0446133277386248
2.925,-0.0449878468375224
2.93,-0.0453673405635003
2.935,-0.0457519191625027
2.94,-0.0461416961085187
2.945,-0.0465367881968216
2.95,-0.0469373156399193
2.955,-0.0473434021661601
2.96,-0.0477551751211866
2.965,-0.0481727655722513
2.97,-0.0485963084155233
2.975,-0.0490259424864418
2.98,-0.0494618106732397
2.985,-0.0499040600336915
2.99,-0.0503528419152399
2.995,-0.0508083120785345
3,-0.0512706308245538
