"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0241633885547069
2.005,-0.0244148457204982
2.01,-0.024669614208581
2.015,-0.0249277348710156
2.02,-0.0251892495894394
2.025,-0.0254542012980973
2.03,-0.0257226340075453
2.035,-0.0259945928290554
2.04,-0.0262701239997436
2.045,-0.0265492749084472
2.05,-0.0268320941223792
2.055,-0.0271186314145589
2.06,-0.027408937792093
2.065,-0.0277030655252683
2.07,-0.0280010681775468
2.075,-0.0283030006364592
2.08,-0.0286089191454085
2.085,-0.0289188813364689
2.09,-0.0292329462641467
2.095,-0.0295511744401969
2.1,-0.029873627869484
2.105,-0.0302003700869391
2.11,-0.0305314661956557
2.115,-0.0308669829061551
2.12,-0.0312069885768673
2.125,-0.0315515532558613
2.13,-0.0319007487238498
2.135,-0.0322546485385799
2.14,-0.0326133280805577
2.145,-0.0329768646002461
2.15,-0.0333453372667171
2.155,-0.0337188272178596
2.16,-0.0340974176121676
2.165,-0.0344811936821593
2.17,-0.0348702427895344
2.175,-0.035264654482061
2.18,-0.0356645205522948
2.185,-0.0360699350982157
2.19,-0.0364809945857876
2.195,-0.0368977979135829
2.2,-0.0373204464794803
2.205,-0.0377490442495732
2.21,-0.038183697829327
2.215,-0.0386245165370767
2.22,-0.0390716124799689
2.225,-0.0395251006324191
2.23,-0.039985098917183
2.235,-0.0404517282891538
2.24,-0.0409251128219717
2.245,-0.0414053797975528
2.25,-0.0418926597986612
2.255,-0.0423870868046293
2.26,-0.0428887982903612
2.265,-0.0433979353287122
2.27,-0.0439146426964246
2.275,-0.0444390689837236
2.28,-0.044971366707722
2.285,-0.0455116924297775
2.29,-0.0460602068770067
2.295,-0.0466170750680322
2.3,-0.0471824664432139
2.305,-0.0477565549995182
2.31,-0.0483395194301715
2.315,-0.0489315432693583
2.32,-0.0495328150421207
2.325,-0.0501435284196993
2.33,-0.0507638823805154
2.335,-0.0513940813770358
2.34,-0.052034335508791
2.345,-0.0526848607017456
2.35,-0.0533458788943527
2.355,-0.0540176182305096
2.36,-0.0547003132597722
2.365,-0.055394205145059
2.37,-0.0560995418782511
2.375,-0.0568165785039534
2.38,-0.0575455773518029
2.385,-0.0582868082777028
2.39,-0.0590405489143392
2.395,-0.0598070849314179
2.4,-0.0605867103060372
2.405,-0.0613797276036137
2.41,-0.0621864482699192
2.415,-0.0630071929345967
2.42,-0.0638422917267859
2.425,-0.0646920846033416
2.43,-0.0655569216902333
2.435,-0.0664371636377141
2.44,-0.0673331819899342
2.445,-0.0682453595695835
2.45,-0.0691740908783493
2.455,-0.0701197825138658
2.46,-0.0710828536039361
2.465,-0.0720637362588667
2.47,-0.0730628760427305
2.475,-0.0740807324645065
2.48,-0.0751177794899922
2.485,-0.0761745060755307
2.49,-0.0772514167245986
2.495,-0.0783490320683334
2.5,-0.0794678894712224
2.505,-0.0806085436631459
2.51,-0.0817715673990969
2.515,-0.0829575521479464
2.52,-0.0841671088117199
2.525,-0.0854008684768836
2.53,-0.086659483199301
2.535,-0.0879436268245406
2.54,-0.0892539958453333
2.545,-0.0905913102981438
2.55,-0.091956314700805
2.555,-0.0933497790333852
2.56,-0.0947724997645724
2.565,-0.0962253009259103
2.57,-0.0977090352364757
2.575,-0.0992245852806489
2.58,-0.100772864741809
2.585,-0.102354819694993
2.59,-0.103971429961701
2.595,-0.105623710530213
2.6,-0.107312713045041
2.605,-0.109039527369292
2.61,-0.110805283223995
2.615,-0.112611151908725
2.62,-0.114458348107999
2.625,-0.116348131788384
2.63,-0.118281810191392
2.635,-0.120260739927681
2.64,-0.122286329178362
2.645,-0.124360040009633
2.65,-0.126483390807295
2.655,-0.128657958838218
2.66,-0.130885382946185
2.665,-0.133167366390137
2.67,-0.135505679833264
2.675,-0.137902164492019
2.68,-0.140358735454715
2.685,-0.142877385180006
2.69,-0.145460187186233
2.695,-0.148109299943452
2.7,-0.150826970980564
2.705,-0.153615541221098
2.71,-0.156477449561864
2.715,-0.159415237709889
2.72,-0.16243155529396
2.725,-0.165529165268367
2.73,-0.168710949627623
2.735,-0.171979915452275
2.74,-0.175339201307345
2.745,-0.178792084016536
2.75,-0.182341985836936
2.755,-0.18599248206082
2.76,-0.189747309073017
2.765,-0.19361037289446
2.77,-0.197585758244784
2.775,-0.201677738159195
2.78,-0.205890784197598
2.785,-0.210229577286693
2.79,-0.21469901923885
2.795,-0.219304244994923
2.8,-0.224050635641705
2.805,-0.228943832258545
2.81,-0.233989750652013
2.815,-0.239194597041746
2.82,-0.244564884765758
2.825,-0.250107452078631
2.83,-0.255829481121732
2.835,-0.26173851815089
2.84,-0.267842495113501
2.845,-0.274149752674372
2.85,-0.280669064797407
2.855,-0.287409664998647
2.86,-0.294381274395317
2.865,-0.30159413168548
2.87,-0.309059025203409
2.875,-0.316787327207378
2.88,-0.32479103056894
2.885,-0.333082788046132
2.89,-0.341675954337366
2.895,-0.350584631128353
2.9,-0.359823715360872
2.905,-0.369408950970125
2.91,-0.379356984356453
2.915,-0.38968542387751
2.92,-0.400412903668801
2.925,-0.411559152123444
2.93,-0.423145065386465
2.935,-0.435192786244715
2.94,-0.447725788820379
2.945,-0.460768969504273
2.95,-0.474348744594164
2.955,-0.488493155133126
2.96,-0.503231979473254
2.965,-0.518596854119924
2.97,-0.534621403441333
2.975,-0.551341378855618
2.98,-0.568794808133273
2.985,-0.587022155473457
2.99,-0.60606649302855
2.995,-0.625973684558691
3,-0.646792581894935
