"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.031122681488153
2.005,-0.0315718192115121
2.01,-0.0320293800975206
2.015,-0.0324955104669289
2.02,-0.0329703616725378
2.025,-0.0334540902605793
2.03,-0.0339468581387069
2.035,-0.0344488327508006
2.04,-0.0349601872589873
2.045,-0.0354811007331249
2.05,-0.0360117583481712
2.055,-0.036552351589721
2.06,-0.0371030784681445
2.065,-0.0376641437417427
2.07,-0.0382357591492649
2.075,-0.0388181436523374
2.08,-0.0394115236881828
2.085,-0.0400161334331882
2.09,-0.0406322150778089
2.095,-0.041260019113371
2.1,-0.0418998046313506
2.105,-0.0425518396357592
2.11,-0.0432164013692447
2.115,-0.0438937766536465
2.12,-0.0445842622456659
2.125,-0.0452881652084738
2.13,-0.0460058033000215
2.135,-0.0467375053789248
2.14,-0.0474836118288164
2.145,-0.0482444750021507
2.15,-0.0490204596844177
2.155,-0.049811943579893
2.16,-0.0506193178200146
2.165,-0.05144298749563
2.17,-0.052283372214334
2.175,-0.0531409066843127
2.18,-0.0540160413260702
2.185,-0.0549092429135766
2.19,-0.0558209952464856
2.195,-0.0567517998550746
2.2,-0.0577021767397668
2.205,-0.058672665147183
2.21,-0.0596638243847327
2.215,-0.0606762346759752
2.22,-0.061710498059078
2.225,-0.0627672393308201
2.23,-0.0638471070387873
2.235,-0.0649507745246291
2.24,-0.0660789410212841
2.245,-0.0672323328074313
2.25,-0.0684117044225578
2.255,-0.069617839946305
2.26,-0.0708515543459168
2.265,-0.0721136948960148
2.27,-0.0734051426751001
2.275,-0.0747268141435
2.28,-0.0760796628079021
2.285,-0.077464680977809
2.29,-0.0788829016198384
2.295,-0.0803354003159882
2.3,-0.0818232973326148
2.305,-0.0833477598072654
2.31,-0.0849100040610174
2.315,-0.0865112980446193
2.32,-0.0881529639272222
2.325,-0.0898363808372877
2.33,-0.0915629877658637
2.335,-0.0933342866432345
2.34,-0.0951518456008047
2.345,-0.0970173024309941
2.35,-0.0989323682588618
2.355,-0.100898831440324
2.36,-0.102918561702947
2.365,-0.104993514546579
2.37,-0.107125735922543
2.375,-0.109317367211472
2.38,-0.11157065052169
2.385,-0.113887934331704
2.39,-0.116271679502415
2.395,-0.118724465686733
2.4,-0.121248998166724
2.405,-0.123848115150831
2.41,-0.126524795566661
2.415,-0.129282167387861
2.42,-0.13212351653688
2.425,-0.135052296409285
2.43,-0.138072138069241
2.435,-0.141186861170245
2.44,-0.144400485660204
2.445,-0.147717244335205
2.45,-0.151141596312502
2.455,-0.154678241499589
2.46,-0.158332136143676
2.465,-0.162108509553825
2.47,-0.166012882096872
2.475,-0.170051084578134
2.48,-0.174229279128734
2.485,-0.178553981733509
2.49,-0.18303208654678
2.495,-0.187670892158273
2.5,-0.192478129987944
2.505,-0.197461995006972
2.51,-0.202631179002748
2.515,-0.207994906628573
2.52,-0.213562974504523
2.525,-0.219345793664467
2.53,-0.225354435676472
2.535,-0.231600682799614
2.54,-0.23809708258077
2.545,-0.244857007340116
2.55,-0.251894719045184
2.555,-0.259225440130661
2.56,-0.266865430885887
2.565,-0.274832074105055
2.57,-0.283143967777731
2.575,-0.291821026690721
2.58,-0.300884593918298
2.585,-0.31035756329789
2.59,-0.320264514124939
2.595,-0.330631859455909
2.6,-0.341488009585488
2.605,-0.352863552465834
2.61,-0.364791453066557
2.615,-0.377307273937924
2.62,-0.390449419542365
2.625,-0.404259407266362
2.63,-0.418782168423721
2.635,-0.434066383020307
2.64,-0.450164852579731
2.645,-0.467134915940364
2.65,-0.485038913640935
2.655,-0.503944707330322
2.66,-0.523926261586779
2.665,-0.545064296635147
2.67,-0.56744702173487
2.675,-0.591170960508819
2.68,-0.616341881231274
2.685,-0.643075847138758
2.69,-0.671500404223906
2.695,-0.701755926785654
2.7,-0.733997144316989
2.705,-0.768394877208029
2.71,-0.805138013340818
2.715,-0.844435763089266
2.72,-0.886520236678788
2.725,-0.931649395505801
2.73,-0.980110438112441
2.735,-1.03222369235549
2.74,-1.08834709826874
2.745,-1.14888138164986
2.75,-1.2142760370726
2.755,-1.28503626154461
2.76,-1.36173100730218
2.765,-1.44500235541416
2.77,-1.53557645246302
2.775,-1.63427630257314
2.78,-1.74203676913658
2.785,-1.85992221840778
2.79,-1.98914733581095
2.795,-2.13110177260355
2.8,-2.28737944602852
2.805,-2.45981353588166
2.81,-2.65051851801059
2.815,-2.86194098655178
2.82,-3.09692159738911
2.825,-3.35877130294145
2.83,-3.65136628244703
2.835,-3.97926782754786
2.84,-4.3478762885429
2.845,-4.76363263367318
2.85,-5.23428825348618
2.855,-5.76927512291567
2.86,-6.38022739539503
2.865,-7.08173737107546
2.87,-7.89248307008704
2.875,-8.83695723800876
2.88,-9.94817977246867
2.885,-11.2719832745036
2.89,-12.8734718285541
2.895,-14.8440953279649
2.9,-17.2897006077666
2.905,-20.1532943129706
2.91,-22.2321414898078
2.915,-21.1269081732205
2.92,-18.3144140715223
2.925,-15.7208814542376
2.93,-13.6225026639881
2.935,-11.9294582657379
2.94,-10.5409503984631
2.945,-9.38312741603501
2.95,-8.40416936880502
2.955,-7.56713491513842
2.96,-6.84495306648605
2.965,-6.21722748232614
2.97,-5.66820524836382
2.975,-5.18546008760385
2.98,-4.75901559783238
2.985,-4.38074474926822
2.99,-4.04394707253046
2.995,-3.74304310650058
3,-3.47334824336961
