"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-3.29277620678515
2.005,-4.04231357373198
2.01,-4.95078376202525
2.015,-5.96797057673708
2.02,-6.91347118557877
2.025,-7.44553038617214
2.03,-7.28214198396396
2.035,-6.53325732176991
2.04,-5.55569503434746
2.045,-4.61159999143013
2.05,-3.80371705256279
2.055,-3.14654134006545
2.06,-2.62218000757131
2.065,-2.20560282636358
2.07,-1.87362956392151
2.075,-1.60727573171476
2.08,-1.3917408907369
2.085,-1.21571743907177
2.09,-1.07062161921805
2.095,-0.949932486157034
2.1,-0.848673166065325
2.105,-0.763019556148947
2.11,-0.690010227425369
2.115,-0.627332674367866
2.12,-0.573165822237945
2.125,-0.526063580422656
2.13,-0.484868267719
2.135,-0.448645814939015
2.14,-0.416636911112117
2.145,-0.388219889443583
2.15,-0.362882314895353
2.155,-0.340199067294598
2.16,-0.31981530865421
2.165,-0.301433150137978
2.17,-0.284801141841228
2.175,-0.269705931784566
2.18,-0.255965603477411
2.185,-0.243424321163581
2.19,-0.231948000462304
2.195,-0.221420788114567
2.2,-0.211742184032583
2.205,-0.202824676204098
2.21,-0.194591787379658
2.215,-0.186976454162945
2.22,-0.179919675807049
2.225,-0.173369382926078
2.23,-0.16727948637299
2.235,-0.161609074390552
2.24,-0.156321732320924
2.245,-0.151384964043928
2.25,-0.146769698194619
2.255,-0.142449865308541
2.26,-0.138402034527247
2.265,-0.134605100497858
2.27,-0.131040012719312
2.275,-0.127689540903025
2.28,-0.124538070988352
2.285,-0.121571427331367
2.29,-0.118776717307253
2.295,-0.116142195161814
2.3,-0.113657142440319
2.305,-0.111311762730954
2.31,-0.109097088801184
2.315,-0.107004900490046
2.32,-0.105027651958396
2.325,-0.103158407099859
2.33,-0.10139078208466
2.335,-0.0997188941516321
2.34,-0.0981373158852106
2.345,-0.0966410343173064
2.35,-0.0952254142820558
2.355,-0.0938861655264765
2.36,-0.0926193131444653
2.365,-0.0914211709568079
2.37,-0.0902883175074331
2.375,-0.0892175743869912
2.38,-0.0882059866304436
2.385,-0.0872508049657965
2.39,-0.0863494697178412
2.395,-0.0854995961938485
2.4,-0.0846989613982767
2.405,-0.0839454919411234
2.41,-0.0832372530199515
2.415,-0.0825724383690503
2.42,-0.0819493610809221
2.425,-0.0813664452157914
2.43,-0.0808222181238247
2.435,-0.0803153034128913
2.44,-0.0798444145017355
2.445,-0.0794083487047474
2.45,-0.0790059818000724
2.455,-0.0786362630377784
2.46,-0.0782982105490788
2.465,-0.0779909071216657
2.47,-0.0777134963095489
2.475,-0.0774651788489978
2.48,-0.0772452093549213
2.485,-0.0770528932744965
2.49,-0.0768875840771398
2.495,-0.076748680661924
2.5,-0.0766356249652873
2.505,-0.0765478997536803
2.51,-0.0764850265871716
2.515,-0.0764465639415504
2.52,-0.0764321054776439
2.525,-0.0764412784479981
2.53,-0.0764737422321111
2.535,-0.0765291869928026
2.54,-0.0766073324475689
2.545,-0.076707926750329
2.55,-0.0768307454807665
2.555,-0.0769755907408612
2.56,-0.0771422903613438
2.565,-0.077330697225399
2.57,-0.0775406887236863
2.575,-0.0777721663651864
2.58,-0.078025055584889
2.585,-0.0782993058163866
2.59,-0.0785948909427389
2.595,-0.0789118103174596
2.6,-0.0792500906869328
2.605,-0.0796097896028296
2.61,-0.0799910014045031
2.615,-0.0803938678307975
2.62,-0.0808185973680384
2.625,-0.0812655019616954
2.63,-0.0817350703589866
2.635,-0.0822281243351211
2.64,-0.0827461788100491
2.645,-0.0832923565843948
2.65,-0.0838740024741947
2.655,-0.0845111992331447
2.66,-0.0852662249735261
2.665,-0.0862739007561696
2.67,-0.0870911838023715
2.675,-0.0874105507513825
2.68,-0.0878988002897661
2.685,-0.0885249991953775
2.69,-0.0892223992563779
2.695,-0.089965518504026
2.7,-0.0907444987398127
2.705,-0.0915551911720567
2.71,-0.0923957798680065
2.715,-0.093265517389572
2.72,-0.094164198136677
2.725,-0.0950919177425163
2.73,-0.0960489544313841
2.735,-0.0970357067704745
2.74,-0.0980526593548514
2.745,-0.0991003631670806
2.75,-0.100179424050306
2.755,-0.101290495875077
2.76,-0.102434276535729
2.765,-0.103611505719958
2.77,-0.104822963832374
2.775,-0.10606947169835
2.78,-0.10735189081707
2.785,-0.108671124017917
2.79,-0.110028116426655
2.795,-0.111423856681059
2.8,-0.11285937835678
2.805,-0.114335761578476
2.81,-0.115854134800736
2.815,-0.117415676749944
2.82,-0.11902161852296
2.825,-0.120673245841978
2.83,-0.122371901467516
2.835,-0.12411898777362
2.84,-0.125915969490984
2.845,-0.127764376625244
2.85,-0.12966580755893
2.855,-0.131621932346725
2.86,-0.133634496215002
2.865,-0.135705323277478
2.87,-0.137836320480232
2.875,-0.140029481790333
2.88,-0.142286892643645
2.885,-0.144610734668571
2.89,-0.147003290703983
2.895,-0.149466950130924
2.9,-0.152004214539286
2.905,-0.154617703752347
2.91,-0.157310162233779
2.915,-0.160084465903756
2.92,-0.162943629392849
2.925,-0.165890813764639
2.93,-0.168929334740457
2.935,-0.172062671462305
2.94,-0.175294475832838
2.945,-0.178628582474483
2.95,-0.182069019353069
2.955,-0.185620019115035
2.96,-0.189286031191252
2.965,-0.193071734724834
2.97,-0.196982052384961
2.975,-0.201022165133827
2.98,-0.20519752801941
2.985,-0.209513887072712
2.99,-0.213977297394659
2.995,-0.218594142524981
3,-0.223371155193034
