"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0024508518346683
2.005,-0.00245621937755992
2.01,-0.00246158280628316
2.015,-0.0024669424596312
2.02,-0.00247229867382355
2.025,-0.00247765178253303
2.03,-0.0024830021169417
2.035,-0.00248835000575825
2.04,-0.00249369577526814
2.045,-0.00249903974936345
2.05,-0.0025043822495825
2.055,-0.00250972359514448
2.06,-0.00251506410297364
2.065,-0.00252040408775324
2.07,-0.00252574386194197
2.075,-0.00253108373581252
2.08,-0.00253642401748341
2.085,-0.00254176501294695
2.09,-0.00254710702611553
2.095,-0.00255245035882839
2.1,-0.00255779531089886
2.105,-0.00256314218014232
2.11,-0.00256849126240131
2.115,-0.00257384285157056
2.12,-0.00257919723963753
2.125,-0.00258455471670169
2.13,-0.00258991557099669
2.135,-0.00259528008893474
2.14,-0.00260064855511143
2.145,-0.00260602125235202
2.15,-0.00261139846172011
2.155,-0.00261678046255528
2.16,-0.00262216753249139
2.165,-0.00262755994748554
2.17,-0.00263295798183634
2.175,-0.00263836190821487
2.18,-0.00264377199768
2.185,-0.00264918851970742
2.19,-0.002654611742205
2.195,-0.0026600419315572
2.2,-0.00266547935260868
2.205,-0.00267092426872212
2.21,-0.00267637694177828
2.215,-0.00268183763220584
2.22,-0.00268730659899883
2.225,-0.00269278409973779
2.23,-0.00269827039061102
2.235,-0.0027037657264271
2.24,-0.00270927036064772
2.245,-0.00271478454539631
2.25,-0.00272030853147738
2.255,-0.00272584256839964
2.26,-0.00273138690438854
2.265,-0.00273694178641329
2.27,-0.00274250746018879
2.275,-0.00274808417021228
2.28,-0.00275367215976909
2.285,-0.00275927167094624
2.29,-0.00276488294465933
2.295,-0.00277050622066035
2.3,-0.0027761417375608
2.305,-0.00278178973284323
2.31,-0.00278745044287287
2.315,-0.00279312410292075
2.32,-0.00279881094718011
2.325,-0.0028045112087664
2.33,-0.00281022511975778
2.335,-0.00281595291117874
2.34,-0.00282169481303964
2.345,-0.00282745105433769
2.35,-0.00283322186307717
2.355,-0.00283900746627816
2.36,-0.00284480808998809
2.365,-0.00285062395931068
2.37,-0.00285645529838956
2.375,-0.0028623023304555
2.38,-0.00286816527781584
2.385,-0.00287404436186895
2.39,-0.00287993980312736
2.395,-0.00288585182121974
2.4,-0.00289178063491012
2.405,-0.00289772646210568
2.41,-0.00290368951986347
2.415,-0.00290967002441355
2.42,-0.00291566819116098
2.425,-0.00292168423470019
2.43,-0.00292771836882378
2.435,-0.00293377080654075
2.44,-0.00293984176007175
2.445,-0.00294593144087895
2.45,-0.00295204005966024
2.455,-0.00295816782636859
2.46,-0.0029643149502168
2.465,-0.00297048163969296
2.47,-0.00297666810256339
2.475,-0.00298287454588898
2.48,-0.00298910117602714
2.485,-0.00299534819864921
2.49,-0.00300161581874714
2.495,-0.00300790424063355
2.5,-0.00301421366796678
2.505,-0.00302054430374612
2.51,-0.00302689635032716
2.515,-0.00303327000942863
2.52,-0.00303966548214104
2.525,-0.00304608296892959
2.53,-0.0030525226696583
2.535,-0.00305898478357646
2.54,-0.00306546950934571
2.545,-0.00307197704503035
2.55,-0.0030785075881234
2.555,-0.00308506133554181
2.56,-0.00309163848363507
2.565,-0.00309823922819785
2.57,-0.00310486376446703
2.575,-0.00311151228714683
2.58,-0.00311818499039625
2.585,-0.00312488206785128
2.59,-0.00313160371262102
2.595,-0.00313835011729736
2.6,-0.00314512147396846
2.605,-0.00315191797421684
2.61,-0.00315873980913
2.615,-0.0031655871693033
2.62,-0.00317246024485348
2.625,-0.00317935922541577
2.63,-0.00318628430015838
2.635,-0.00319323565777763
2.64,-0.00320021348652309
2.645,-0.0032072179741802
2.65,-0.00321424930809148
2.655,-0.0032213076751585
2.66,-0.00322839326184569
2.665,-0.0032355062541891
2.67,-0.00324264683780114
2.675,-0.00324981519786583
2.68,-0.00325701151916677
2.685,-0.00326423598607069
2.69,-0.00327148878254008
2.695,-0.00327877009214469
2.7,-0.00328608009805291
2.705,-0.00329341898305296
2.71,-0.00330078692954426
2.715,-0.00330818411954796
2.72,-0.0033156107347167
2.725,-0.00332306695632392
2.73,-0.00333055296528994
2.735,-0.00333806894216654
2.74,-0.00334561506715335
2.745,-0.00335319152009882
2.75,-0.00336079848050602
2.755,-0.00336843612752877
2.76,-0.0033761046399958
2.765,-0.00338380419639142
2.77,-0.00339153497487193
2.775,-0.00339929715327144
2.78,-0.0034070909091009
2.785,-0.00341491641954999
2.79,-0.00342277386150168
2.795,-0.00343066341152348
2.8,-0.00343858524588291
2.805,-0.00344653954053207
2.81,-0.00345452647114527
2.815,-0.00346254621307947
2.82,-0.0034705989414206
2.825,-0.0034786848309527
2.83,-0.00348680405617913
2.835,-0.00349495679132936
2.84,-0.00350314321034349
2.845,-0.00351136348689837
2.85,-0.00351961779439694
2.855,-0.0035279063059692
2.86,-0.00353622919448867
2.865,-0.00354458663256074
2.87,-0.00355297879254689
