"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0317877152119821
2.005,-0.0321359729544904
2.01,-0.0324872843993271
2.015,-0.0328416951328753
2.02,-0.03319925112317
2.025,-0.0335599987316568
2.03,-0.033923984725174
2.035,-0.0342912562881307
2.04,-0.0346618610349259
2.045,-0.0350358470225794
2.05,-0.0354132627636044
2.055,-0.0357941572391245
2.06,-0.0361785799122246
2.065,-0.0365665807415628
2.07,-0.0369582101952478
2.075,-0.0373535192649791
2.08,-0.0377525594804534
2.085,-0.0381553829240675
2.09,-0.0385620422459044
2.095,-0.0389725906790175
2.1,-0.0393870820550137
2.105,-0.0398055708199629
2.11,-0.0402281120506204
2.115,-0.0406547614709776
2.12,-0.0410855754691603
2.125,-0.0415206111146659
2.13,-0.0419599261759566
2.135,-0.0424035791384353
2.14,-0.0428516292227688
2.145,-0.0433041364036306
2.15,-0.0437611614287981
2.155,-0.0442227658386993
2.16,-0.0446890119863397
2.165,-0.0451599630576719
2.17,-0.0456356830924121
2.175,-0.0461162370052803
2.18,-0.0466016906077198
2.185,-0.0470921106300892
2.19,-0.0475875647443344
2.195,-0.0480881215871513
2.2,-0.0485938507836681
2.205,-0.0491048229716457
2.21,-0.0496211098262192
2.215,-0.0501427840851838
2.22,-0.0506699195748401
2.225,-0.0512025912364311
2.23,-0.0517408751531645
2.235,-0.0522848485778415
2.24,-0.0528345899611193
2.245,-0.0533901789803998
2.25,-0.0539516965693821
2.255,-0.0545192249482924
2.26,-0.0550928476548011
2.265,-0.0556726495756407
2.27,-0.0562587169789643
2.275,-0.0568511375474323
2.28,-0.0574500004120821
2.285,-0.0580553961869654
2.29,-0.0586674170046008
2.295,-0.0592861565522423
2.3,-0.0599117101089971
2.305,-0.0605441745838199
2.31,-0.06118364855438
2.315,-0.0618302323068545
2.32,-0.0624840278766522
2.325,-0.0631451390901064
2.33,-0.0638136716071383
2.335,-0.0644897329649431
2.34,-0.0651734326227181
2.345,-0.0658648820074374
2.35,-0.0665641945607335
2.355,-0.0672714857868934
2.36,-0.0679868733020034
2.365,-0.0687104768842778
2.37,-0.0694424185255925
2.375,-0.0701828224842617
2.38,-0.0709318153390824
2.385,-0.0716895260447015
2.39,-0.0724560859883099
2.395,-0.0732316290477188
2.4,-0.0740162916508402
2.405,-0.074810212836638
2.41,-0.0756135343175307
2.415,-0.0764264005433694
2.42,-0.0772489587669296
2.425,-0.0780813591110571
2.43,-0.0789237546374207
2.435,-0.0797763014170058
2.44,-0.0806391586023081
2.445,-0.0815124885013238
2.45,-0.0823964566533851
2.455,-0.0832912319068494
2.46,-0.0841969864987463
2.465,-0.0851138961363854
2.47,-0.0860421400810076
2.475,-0.0869819012335209
2.48,-0.0879333662223795
2.485,-0.0888967254936671
2.49,-0.0898721734034342
2.495,-0.0908599083123567
2.5,-0.0918601326827787
2.505,-0.0928730531781985
2.51,-0.0938988807652594
2.515,-0.0949378308183227
2.52,-0.0959901232266943
2.525,-0.0970559825045546
2.53,-0.0981356379036947
2.535,-0.099229323529094
2.54,-0.100337278457471
2.545,-0.101459746858833
2.55,-0.102596978121134
2.555,-0.103749226978126
2.56,-0.104916753640464
2.565,-0.106099823930204
2.57,-0.107298709418716
2.575,-0.108513687568151
2.58,-0.109745041876577
2.585,-0.11099306202681
2.59,-0.112258044039099
2.595,-0.113540290427773
2.6,-0.114840110361914
2.605,-0.116157819830194
2.61,-0.117493741809985
2.615,-0.118848206440856
2.62,-0.120221551202578
2.625,-0.121614121097747
2.63,-0.123026268839166
2.635,-0.124458355042114
2.64,-0.125910748421599
2.645,-0.127383825994805
2.65,-0.128877973288786
2.655,-0.13039358455361
2.66,-0.13193106298107
2.665,-0.133490820929139
2.67,-0.135073280152275
2.675,-0.136678872037818
2.68,-0.138308037848534
2.685,-0.139961228971556
2.69,-0.141638907173884
2.695,-0.143341544864567
2.7,-0.145069625363806
2.705,-0.146823643179136
2.71,-0.148604104288883
2.715,-0.150411526433073
2.72,-0.152246439412026
2.725,-0.154109385392818
2.73,-0.156000919223816
2.735,-0.157921608757507
2.74,-0.159872035181858
2.745,-0.161852793360404
2.75,-0.1638644921813
2.755,-0.165907754915603
2.76,-0.167983219584988
2.765,-0.170091539339152
2.77,-0.172233382843207
2.775,-0.174409434675224
2.78,-0.176620395734299
2.785,-0.17886698365936
2.79,-0.181149933258952
2.795,-0.183469996952386
2.8,-0.185827945222437
2.805,-0.188224567079956
2.81,-0.190660670540649
2.815,-0.193137083114373
2.82,-0.195654652307222
2.825,-0.19821424613676
2.83,-0.200816753660676
2.835,-0.20346308551926
2.84,-0.206154174491967
2.845,-0.20889097606845
2.85,-0.211674469034423
2.855,-0.214505656072654
2.86,-0.2173855643795
2.865,-0.220315246297328
2.87,-0.223295779963182
2.875,-0.226328269974074
2.88,-0.22941384806929
2.885,-0.232553673830082
2.89,-0.235748935397119
2.895,-0.239000850206104
2.9,-0.242310665741961
2.905,-0.245679660311935
2.91,-0.249109143838056
2.915,-0.252600458669336
2.92,-0.256154980414095
2.925,-0.259774118792825
2.93,-0.263459318511972
2.935,-0.267212060159063
2.94,-0.27103386111951
2.945,-0.274926276515548
2.95,-0.278890900167625
2.955,-0.282929365578678
2.96,-0.287043346941613
2.965,-0.291234560170378
2.97,-0.295504763954975
2.975,-0.299855760840719
2.98,-0.304289398332127
2.985,-0.30880757002166
2.99,-0.313412216743682
2.995,-0.318105327753846
3,-0.322888941934195
