"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0173152567030307
2.005,-0.0174413934662055
2.01,-0.0175688534326574
2.015,-0.0176976545131367
2.02,-0.0178278149585054
2.025,-0.0179593533671266
2.03,-0.0180922886924771
2.035,-0.0182266402509656
2.04,-0.018362427729963
2.045,-0.0184996711960711
2.05,-0.0186383911035849
2.055,-0.0187786083032301
2.06,-0.0189203440511391
2.065,-0.0190636200180492
2.07,-0.019208458298795
2.075,-0.0193548814220597
2.08,-0.0195029123603967
2.085,-0.0196525745405468
2.09,-0.0198038918540452
2.095,-0.0199568886681448
2.1,-0.0201115898370443
2.105,-0.0202680207134453
2.11,-0.0204262071604663
2.115,-0.020586175563869
2.12,-0.0207479528446818
2.125,-0.0209115664721789
2.13,-0.021077044477246
2.135,-0.0212444154661502
2.14,-0.0214137086347206
2.145,-0.0215849537829572
2.15,-0.0217581813300806
2.155,-0.0219334223300486
2.16,-0.0221107084875245
2.165,-0.0222900721743687
2.17,-0.0224715464465999
2.175,-0.0226551650619229
2.18,-0.0228409624977665
2.185,-0.02302897396991
2.19,-0.0232192354516795
2.195,-0.023411783693759
2.2,-0.0236066562446249
2.205,-0.0238038914716349
2.21,-0.0240035285827905
2.215,-0.0242056076491999
2.22,-0.0244101696282661
2.225,-0.024617256387625
2.23,-0.0248269107298795
2.235,-0.0250391764181168
2.24,-0.0252540982023039
2.245,-0.0254717218465184
2.25,-0.0256920941571128
2.255,-0.0259152630118135
2.26,-0.0261412773897919
2.265,-0.026370187402753
2.27,-0.0266020443270891
2.275,-0.0268369006371196
2.28,-0.0270748100394744
2.285,-0.0273158275086567
2.29,-0.0275600093238528
2.295,-0.027807413107008
2.3,-0.0280580978622405
2.305,-0.0283121240166349
2.31,-0.028569553462506
2.315,-0.0288304496011155
2.32,-0.0290948773880056
2.325,-0.0293629033799052
2.33,-0.0296345957833861
2.335,-0.0299100245052368
2.34,-0.0301892612047016
2.345,-0.0304723793476265
2.35,-0.0307594542626136
2.355,-0.0310505631992299
2.36,-0.0313457853884207
2.365,-0.0316452021051575
2.37,-0.0319488967334666
2.375,-0.0322569548339129
2.38,-0.0325694642136573
2.385,-0.0328865149991915
2.39,-0.0332081997118847
2.395,-0.0335346133464483
2.4,-0.0338658534524685
2.405,-0.0342020202191087
2.41,-0.0345432165631746
2.415,-0.0348895482206612
2.42,-0.0352411238419351
2.425,-0.0355980550907483
2.43,-0.0359604567472232
2.435,-0.0363284468150307
2.44,-0.0367021466329315
2.445,-0.0370816809908814
2.45,-0.037467178250951
2.455,-0.0378587704732265
2.46,-0.0382565935469969
2.465,-0.0386607873274552
2.47,-0.0390714957781194
2.475,-0.039488867119388
2.48,-0.0399130539833711
2.485,-0.0403442135754301
2.49,-0.0407825078426893
2.495,-0.0412281036498901
2.5,-0.0416811729629456
2.505,-0.0421418930405918
2.51,-0.0426104466345391
2.515,-0.043087022198568
2.52,-0.0435718141069999
2.525,-0.0440650228830635
2.53,-0.044566855437637
2.535,-0.0450775253189429
2.54,-0.0455972529737292
2.545,-0.0461262660205785
2.55,-0.0466647995359778
2.555,-0.0472130963538453
2.56,-0.0477714073791917
2.565,-0.0483399919167771
2.57,-0.0489191180154801
2.575,-0.0495090628293081
2.58,-0.0501101129959522
2.585,-0.0507225650338781
2.59,-0.0513467257589485
2.595,-0.0519829127217566
2.6,-0.0526314546667784
2.605,-0.0532926920146273
2.61,-0.0539669773687529
2.615,-0.0546546760479816
2.62,-0.055356166646428
2.625,-0.0560718416223857
2.63,-0.0568021079179176
2.635,-0.0575473876109781
2.64,-0.058308118602043
2.645,-0.0590847553373155
2.65,-0.0598777695707775
2.655,-0.0606876511674374
2.66,-0.0615149089503761
2.665,-0.0623600715942924
2.67,-0.0632236885684978
2.675,-0.0641063311324979
2.68,-0.0650085933875113
2.685,-0.065931093387549
2.69,-0.0668744743139162
2.695,-0.0678394057172925
2.7,-0.0688265848318474
2.705,-0.0698367379661772
2.71,-0.0708706219762573
2.715,-0.0719290258258818
2.72,-0.0730127722406329
2.725,-0.0741227194617537
2.73,-0.075259763106899
2.735,-0.0764248381451556
2.74,-0.0776189209945057
2.745,-0.0788430317503034
2.75,-0.080098236554302
2.755,-0.0813856501142375
2.76,-0.0827064383851218
2.765,-0.0840618214240205
2.77,-0.0854530764312603
2.775,-0.0868815409920193
2.78,-0.0883486165334668
2.785,-0.0898557720138841
2.79,-0.0914045478616295
2.795,-0.0929965601833893
2.8,-0.0946335052628152
2.805,-0.0963171643725848
2.81,-0.0980494089248824
2.815,-0.0998322059877109
2.82,-0.10166762419676
2.825,-0.103557840095473
2.83,-0.105505144938861
2.835,-0.107511952000035
2.84,-0.109580804422046
2.845,-0.111714383661849
2.85,-0.113915518577532
2.855,-0.116187195215171
2.86,-0.118532567357085
2.865,-0.120954967899555
2.87,-0.123457921134828
2.875,-0.126045156019979
2.88,-0.128720620523656
2.885,-0.131488497151238
2.89,-0.134353219759559
2.895,-0.137319491784179
2.9,-0.140392306015469
2.905,-0.143576966074629
2.91,-0.146879109757418
2.915,-0.15030473443215
2.92,-0.15386022469951
2.925,-0.157552382545502
2.93,-0.161388460245598
2.935,-0.165376196308331
2.94,-0.169523854780735
2.945,-0.1738402682767
2.95,-0.1783348851332
2.955,-0.18301782114907
2.96,-0.187899916417705
2.965,-0.192992797829543
2.97,-0.198308947893803
2.975,-0.203861780612998
2.98,-0.209665725240071
2.985,-0.21573631885834
2.99,-0.222090308851094
2.995,-0.228745766473606
3,-0.235722212908279
