"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0329240270042625
2.005,-0.0334521657451958
2.01,-0.0339922747755249
2.015,-0.0345446731070993
2.02,-0.0351096912792856
2.025,-0.0356876718424794
2.03,-0.0362789698654121
2.035,-0.0368839534676063
2.04,-0.0375030043783388
2.045,-0.0381365185236706
2.05,-0.0387849066431248
2.055,-0.0394485949377173
2.06,-0.040128025751155
2.065,-0.0408236582861437
2.07,-0.0415359693578541
2.075,-0.0422654541867681
2.08,-0.04301262723321
2.085,-0.0437780230761001
2.09,-0.0445621973385702
2.095,-0.0453657276633217
2.1,-0.0461892147407462
2.105,-0.0470332833930626
2.11,-0.0478985837179933
2.115,-0.0487857922956241
2.12,-0.04969561346253
2.125,-0.0506287806573582
2.13,-0.0515860578424928
2.135,-0.0525682410066608
2.14,-0.0535761597537847
2.145,-0.0546106789836905
2.15,-0.055672700670751
2.155,-0.0567631657469435
2.16,-0.0578830560963556
2.165,-0.0590333966686198
2.17,-0.0602152577194019
2.175,-0.0614297571866238
2.18,-0.0626780632118284
2.185,-0.0639613968167654
2.19,-0.0652810347461378
2.195,-0.0666383124882311
2.2,-0.0680346274861583
2.205,-0.069471442553398
2.21,-0.0709502895084897
2.215,-0.0724727730448926
2.22,-0.0740405748533737
2.225,-0.0756554580156841
2.23,-0.0773192716899393
2.235,-0.0790339561097126
2.24,-0.0808015479208335
2.245,-0.0826241858818878
2.25,-0.08450411695665
2.255,-0.0864437028291799
2.26,-0.088445426874997
2.265,-0.0905119016246912
2.27,-0.0926458767596364
2.275,-0.0948502476829547
2.28,-0.0971280647129716
2.285,-0.0994825429505468
2.29,-0.101917072876567
2.295,-0.104435231741132
2.3,-0.107040795811715
2.305,-0.109737753554037
2.31,-0.112530319826467
2.315,-0.115422951176599
2.32,-0.118420362337346
2.325,-0.121527544029471
2.33,-0.124749782188166
2.335,-0.128092678743156
2.34,-0.131562174094846
2.345,-0.1351645714438
2.35,-0.13890656314695
2.355,-0.142795259292189
2.36,-0.146838218703094
2.365,-0.15104348260817
2.37,-0.155419611234017
2.375,-0.159975723610191
2.38,-0.164721540904762
2.385,-0.169667433644996
2.39,-0.174824473216995
2.395,-0.180204488082479
2.4,-0.185820125200642
2.405,-0.191684917198851
2.41,-0.197813355898893
2.415,-0.204220972876126
2.42,-0.210924427808602
2.425,-0.217941605462988
2.43,-0.225291722265391
2.435,-0.232995443519463
2.44,-0.241075012463201
2.445,-0.249554392501676
2.45,-0.258459424117712
2.455,-0.267817998148783
2.46,-0.277660247329192
2.465,-0.288018758234759
2.47,-0.298928806036735
2.475,-0.310428614776273
2.48,-0.322559646214787
2.485,-0.335366920704193
2.49,-0.348899373958851
2.495,-0.363210254104339
2.5,-0.378357563931937
2.505,-0.394404553908214
2.51,-0.411420272181719
2.515,-0.429480178597858
2.52,-0.448666830582513
2.525,-0.469070649685152
2.53,-0.490790778580317
2.535,-0.513936039403707
2.54,-0.538626005427497
2.545,-0.564992199228819
2.55,-0.593179431626074
2.555,-0.623347296674331
2.56,-0.655671838810223
2.565,-0.690347408652576
2.57,-0.72758872375787
2.575,-0.767633149457362
2.58,-0.810743212281357
2.585,-0.857209353726565
2.59,-0.907352924296449
2.595,-0.961529405529114
2.6,-1.02013182931073
2.605,-1.08359433667407
2.61,-1.15239577912265
2.615,-1.22706320973672
2.62,-1.30817503279351
2.625,-1.3963634712778
2.63,-1.49231586090997
2.635,-1.59677407368708
2.64,-1.7105310966782
2.645,-1.83442342309154
2.65,-1.96931743065053
2.655,-2.11608730658882
2.66,-2.27558131710077
2.665,-2.44857232267019
2.67,-2.63568746955537
2.675,-2.83731109804654
2.68,-3.05345442874336
2.685,-3.28358613591699
2.69,-3.52642054752232
2.695,-3.77966655788583
2.7,-4.03975259073448
2.705,-4.30156332387249
2.71,-4.55825299334275
2.715,-4.80123357226601
2.72,-5.02045988124668
2.725,-5.20512122825042
2.73,-5.34476909111931
2.735,-5.43075231168644
2.74,-5.45764226266289
2.745,-5.42422174390922
2.75,-5.33369270211264
2.755,-5.19302835829247
2.76,-5.01170923736862
2.765,-4.80025823662172
2.77,-4.56895726102735
2.775,-4.32695957887215
2.78,-4.08183094522648
2.785,-3.83943700351099
2.79,-3.60405562617426
2.795,-3.37860436383413
2.8,-3.16490453996963
2.805,-2.96393521922912
2.81,-2.77605429058305
2.815,-2.60117922691371
2.82,-2.43892853191169
2.825,-2.28872878102953
2.83,-2.14989339615419
2.835,-2.0216791456919
2.84,-1.90332560751011
2.845,-1.7940818971528
2.85,-1.69322405840089
2.855,-1.60006572597858
2.86,-1.51396402527278
2.865,-1.43432216502599
2.87,-1.36058978747104
2.875,-1.29226184466568
2.88,-1.22887654950405
2.885,-1.17001278760879
2.89,-1.11528725790079
2.895,-1.06435152399828
2.9,-1.01688909718182
2.905,-0.972612628027114
2.91,-0.931261253131101
2.915,-0.892598122064573
2.92,-0.856408115145701
2.925,-0.822495752919291
2.93,-0.790683291942489
2.935,-0.760808997603977
2.94,-0.732725582505876
2.945,-0.706298797889016
2.95,-0.681406165306666
2.955,-0.657935835981618
2.96,-0.635785565829091
2.965,-0.614861794861326
2.97,-0.595078820519328
2.975,-0.576358055341129
2.98,-0.558627360234471
2.985,-0.541820445448548
2.99,-0.525876332119649
2.995,-0.510738867990069
3,-0.496356291565576
