"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0326677806127088
2.005,-0.0331989322063245
2.01,-0.0337423256495749
2.015,-0.0342982878481784
2.02,-0.0348671577156551
2.025,-0.0354492866823369
2.03,-0.0360450392297219
2.035,-0.0366547934516612
2.04,-0.0372789416438583
2.045,-0.0379178909233304
2.05,-0.0385720638796013
2.055,-0.0392418992593823
2.06,-0.0399278526868237
2.065,-0.0406303974213364
2.07,-0.0413500251552903
2.075,-0.0420872468539365
2.08,-0.0428425936401411
2.085,-0.0436166177265991
2.09,-0.0444098933985011
2.095,-0.0452230180497163
2.1,-0.0460566132758465
2.105,-0.0469113260276805
2.11,-0.047787829828894
2.115,-0.0486868260620601
2.12,-0.0496090453273163
2.125,-0.0505552488784251
2.13,-0.0515262301412137
2.135,-0.0525228163198155
2.14,-0.0535458700964905
2.145,-0.0545962914312363
2.15,-0.0556750194679194
2.155,-0.0567830345540784
2.16,-0.0579213603821556
2.165,-0.0590910662604861
2.17,-0.0602932695230428
2.175,-0.0615291380875597
2.18,-0.0627998931725336
2.185,-0.06410681218431
2.19,-0.0654512317864334
2.195,-0.0668345511644196
2.2,-0.0682582355000853
2.205,-0.0697238196708697
2.21,-0.0712329121907208
2.215,-0.0727871994105961
2.22,-0.0743884499980478
2.225,-0.0760385197171119
2.23,-0.0777393565314508
2.235,-0.0794930060556817
2.24,-0.0813016173820595
2.245,-0.083167449311936
2.25,-0.0850928770241552
2.255,-0.0870803992152701
2.26,-0.0891326457497521
2.265,-0.0912523858616661
2.27,-0.0934425369532212
2.275,-0.0957061740397205
2.28,-0.0980465398950614
2.285,-0.100467055957071
2.29,-0.102971334057538
2.295,-0.105563189048045
2.3,-0.108246652399639
2.305,-0.111025986861842
2.31,-0.113905702275152
2.315,-0.116890572640388
2.32,-0.119985654558675
2.325,-0.123196307167468
2.33,-0.126528213710746
2.335,-0.129987404895972
2.34,-0.133580284206153
2.345,-0.137313655353316
2.35,-0.1411947520794
2.355,-0.145231270532838
2.36,-0.149431404473903
2.365,-0.153803883589647
2.37,-0.158358015230454
2.375,-0.163103729915161
2.38,-0.168051630990937
2.385,-0.173213048878286
2.39,-0.178600100381199
2.395,-0.184225753598402
2.4,-0.190103899034835
2.405,-0.196249427583661
2.41,-0.202678316129631
2.415,-0.209407721615728
2.42,-0.216456084517961
2.425,-0.223843242790165
2.43,-0.231590557472968
2.435,-0.239721051311652
2.44,-0.248259561898373
2.445,-0.257232911048606
2.45,-0.266670092342693
2.455,-0.27660247901515
2.46,-0.287064054661117
2.465,-0.298091669556196
2.47,-0.309725325758605
2.475,-0.32200849458743
2.48,-0.334988470555419
2.485,-0.348716766387092
2.49,-0.363249554382517
2.495,-0.378648160103729
2.5,-0.394979615175881
2.505,-0.412317276920457
2.51,-0.430741523585914
2.515,-0.450340535124432
2.52,-0.471211170794259
2.525,-0.493459956355695
2.53,-0.517204195281996
2.535,-0.542573220225699
2.54,-0.569709802957146
2.545,-0.598771743101842
2.55,-0.629933658199829
2.555,-0.663388999812426
2.56,-0.699352322477963
2.565,-0.738061834063396
2.57,-0.779782257161786
2.575,-0.824808031183638
2.58,-0.873466883003088
2.585,-0.92612378946117
2.59,-0.983185346276778
2.595,-1.0451045429413
2.6,-1.11238591909071
2.605,-1.1855910405878
2.61,-1.26534417739179
2.615,-1.35233798227147
2.62,-1.44733884849301
2.625,-1.55119145063461
2.63,-1.66482172508817
2.635,-1.78923719813032
2.64,-1.92552308377335
2.645,-2.07483190553246
2.65,-2.23836349140287
2.655,-2.41733099086179
2.66,-2.61290701636348
2.665,-2.82614210877392
2.67,-3.05784556007761
2.675,-3.30841652254271
2.68,-3.57761207931713
2.685,-3.86424018193096
2.69,-4.16577210239576
2.695,-4.47788625631248
2.7,-4.79398965963156
2.705,-5.10482085197778
2.71,-5.39831621409449
2.715,-5.65999383950507
2.72,-5.8741096699692
2.725,-6.02567531354049
2.73,-6.10305123083529
2.735,-6.10037660521129
2.74,-6.01890380455722
2.745,-5.86665143091898
2.75,-5.65653914261408
2.755,-5.40379929423631
2.76,-5.12357085836335
2.765,-4.82923536646975
2.77,-4.53160376130751
2.775,-4.238772259464
2.78,-3.95638021658454
2.785,-3.68804393062555
2.79,-3.43582015792004
2.795,-3.2006236412781
2.8,-2.98256997289635
2.805,-2.78124108000812
2.81,-2.59588242760121
2.815,-2.42554479758362
2.82,-2.26918332053687
2.825,-2.12572465520234
2.83,-1.99411103183563
2.835,-1.87332783608754
2.84,-1.76241970254177
2.845,-1.66049874060356
2.85,-1.56674749182308
2.855,-1.48041845811819
2.86,-1.40083148617585
2.865,-1.3273698941615
2.87,-1.25947594236102
2.875,-1.19664604845345
2.88,-1.13842600747785
2.885,-1.08440637905625
2.89,-1.03421813757803
2.895,-0.987528635826354
2.9,-0.944037902476286
2.905,-0.903475274411401
2.91,-0.865596352626017
2.915,-0.830180263295668
2.92,-0.79702720178807
2.925,-0.765956235816122
2.93,-0.736803343815343
2.935,-0.709419665415972
2.94,-0.683669942203576
2.945,-0.659431128569859
2.95,-0.636591154181288
2.955,-0.615047821329027
2.96,-0.594707822102206
2.965,-0.575485861908011
2.97,-0.557303877325144
2.975,-0.540090337613491
2.98,-0.523779620411435
2.985,-0.508311453237414
2.99,-0.493630413381499
2.995,-0.479685479634678
3,-0.466429630067485
