"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0262224798672684
2.005,-0.0264748694572028
2.01,-0.026729147013805
2.015,-0.0269853341482121
2.02,-0.0272434528920923
2.025,-0.0275035257044195
2.03,-0.0277655754784182
2.035,-0.0280296255486387
2.04,-0.0282956996982197
2.045,-0.0285638221662606
2.05,-0.0288340176553957
2.055,-0.0291063113395178
2.06,-0.0293807288716688
2.065,-0.029657296392091
2.07,-0.0299360405364874
2.075,-0.0302169884444265
2.08,-0.0305001677679484
2.085,-0.030785606680362
2.09,-0.0310733338852327
2.095,-0.0313633786255643
2.1,-0.0316557706931814
2.105,-0.0319505404383316
2.11,-0.0322477187794812
2.115,-0.0325473372133547
2.12,-0.032849427825168
2.125,-0.0331540232991114
2.13,-0.0334611569290534
2.135,-0.0337708626295048
2.14,-0.0340831749467886
2.145,-0.0343981290705098
2.15,-0.0347157608452499
2.155,-0.0350361067825368
2.16,-0.0353592040730881
2.165,-0.0356850905993337
2.17,-0.0360138049482087
2.175,-0.0363453864242676
2.18,-0.0366798750630658
2.185,-0.0370173116448781
2.19,-0.0373577377087104
2.195,-0.0377011955666462
2.2,-0.0380477283185295
2.205,-0.0383973798669855
2.21,-0.0387501949327813
2.215,-0.0391062190705585
2.22,-0.0394654986849361
2.225,-0.0398280810469829
2.23,-0.0401940143110859
2.235,-0.0405633475322171
2.24,-0.0409361306835988
2.245,-0.0413124146748217
2.25,-0.0416922513703513
2.255,-0.0420756936085259
2.26,-0.0424627952209698
2.265,-0.0428536110525028
2.27,-0.0432481969815253
2.275,-0.043646609940895
2.28,-0.0440489079393091
2.285,-0.0444551500832304
2.29,-0.0448653965993267
2.295,-0.0452797088574795
2.3,-0.0456981493943565
2.305,-0.046120781937567
2.31,-0.046547671430424
2.315,-0.0469788840573281
2.32,-0.0474144872697755
2.325,-0.0478545498130337
2.33,-0.0482991417534833
2.335,-0.0487483345066492
2.34,-0.0492022008659654
2.345,-0.0496608150322533
2.35,-0.0501242526439592
2.355,-0.0505925908081759
2.36,-0.0510659081324581
2.365,-0.0515442847574652
2.37,-0.0520278023904706
2.375,-0.0525165443396869
2.38,-0.0530105955495837
2.385,-0.0535100426370268
2.39,-0.0540149739284653
2.395,-0.0545254794980383
2.4,-0.055041651206729
2.405,-0.0555635827425422
2.41,-0.0560913696617722
2.415,-0.0566251094313667
2.42,-0.0571649014724451
2.425,-0.0577108472049844
2.43,-0.0582630500937158
2.435,-0.0588216156952855
2.44,-0.0593866517066951
2.445,-0.0599582680150555
2.45,-0.0605365767487641
2.455,-0.0611216923300218
2.46,-0.0617137315288791
2.465,-0.0623128135187285
2.47,-0.0629190599333846
2.475,-0.0635325949257551
2.48,-0.0641535452281512
2.485,-0.0647820402143121
2.49,-0.0654182119631866
2.495,-0.0660621953245299
2.5,-0.066714127986356
2.505,-0.0673741505443422
2.51,-0.0680424065732204
2.515,-0.0687190427002199
2.52,-0.0694042086806407
2.525,-0.0700980574756185
2.53,-0.0708007453321626
2.535,-0.0715124318655076
2.54,-0.0722332801439186
2.545,-0.072963456775951
2.55,-0.0737031320003115
2.555,-0.0744524797783616
2.56,-0.075211677889391
2.565,-0.075980908028699
2.57,-0.0767603559086348
2.575,-0.0775502113626491
2.58,-0.0783506684524717
2.585,-0.0791619255785515
2.59,-0.0799841855937849
2.595,-0.0808176559207474
2.6,-0.0816625486724496
2.605,-0.0825190807768099
2.61,-0.0833874741049033
2.615,-0.0842679556031716
2.62,-0.0851607574296859
2.625,-0.0860661170946047
2.63,-0.0869842776049878
2.635,-0.0879154876140965
2.64,-0.0888600015753097
2.645,-0.089818079900863
2.65,-0.0907899891255106
2.655,-0.0917760020753359
2.66,-0.0927763980418172
2.665,-0.0937914629613928
2.67,-0.0948214896006344
2.675,-0.095866777747303
2.68,-0.0969276344073854
2.685,-0.0980043740083954
2.69,-0.0990973186091015
2.695,-0.10020679811589
2.7,-0.101333150506002
2.705,-0.102476722057875
2.71,-0.103637867588787
2.715,-0.104816950700078
2.72,-0.106014344030169
2.725,-0.107230429515664
2.73,-0.108465598660724
2.735,-0.109720252815075
2.74,-0.110994803460841
2.745,-0.112289672508528
2.75,-0.113605292602409
2.755,-0.114942107435637
2.76,-0.116300572075367
2.765,-0.117681153298176
2.77,-0.119084329936115
2.775,-0.1205105932337
2.78,-0.12196044721615
2.785,-0.123434409069209
2.79,-0.124933009530887
2.795,-0.126456793295393
2.8,-0.128006319429712
2.805,-0.129582161802999
2.81,-0.131184909529288
2.815,-0.132815167423719
2.82,-0.134473556472686
2.825,-0.136160714318216
2.83,-0.137877295756877
2.835,-0.139623973253573
2.84,-0.141401437470492
2.845,-0.143210397811496
2.85,-0.145051582982264
2.855,-0.146925741566404
2.86,-0.148833642617802
2.865,-0.150776076269387
2.87,-0.152753854358517
2.875,-0.154767811069113
2.88,-0.156818803590642
2.885,-0.158907712793997
2.89,-0.161035443924347
2.895,-0.16320292731075
2.9,-0.165411119092554
2.905,-0.167661001962309
2.91,-0.169953585924864
2.915,-0.172289909072347
2.92,-0.174671038374408
2.925,-0.177098070483198
2.93,-0.179572132552257
2.935,-0.182094383068375
2.94,-0.184666012695345
2.945,-0.187288245128343
2.95,-0.189962337957326
2.955,-0.192689583537804
2.96,-0.195471309866876
2.965,-0.198308881462299
2.97,-0.201203700241834
2.975,-0.204157206399999
2.98,-0.207170879278716
2.985,-0.210246238228057
2.99,-0.213384843452771
2.995,-0.216588296839683
3,-0.219858242760535
