"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0262012186392548
2.005,-0.0265118936946798
2.01,-0.0268269773538349
2.015,-0.0271465350931923
2.02,-0.0274706340854119
2.025,-0.027799343243027
2.03,-0.0281327332635673
2.035,-0.0284708766761376
2.04,-0.0288138478895311
2.045,-0.0291617232418987
2.05,-0.0295145810520819
2.055,-0.0298725016726164
2.06,-0.0302355675444976
2.065,-0.0306038632537724
2.07,-0.0309774755900008
2.075,-0.0313564936066922
2.08,-0.0317410086837541
2.085,-0.0321311145920619
2.09,-0.0325269075601928
2.095,-0.0329284863434409
2.1,-0.0333359522951739
2.105,-0.0337494094406448
2.11,-0.0341689645533221
2.115,-0.0345947272338539
2.12,-0.0350268099917864
2.125,-0.0354653283300931
2.13,-0.0359104008326794
2.135,-0.0363621492549384
2.14,-0.0368206986175116
2.145,-0.0372861773033379
2.15,-0.0377587171581767
2.155,-0.0382384535947026
2.16,-0.0387255257003258
2.165,-0.0392200763489004
2.17,-0.0397222523164627
2.175,-0.040232204401184
2.18,-0.0407500875476716
2.185,-0.0412760609758697
2.19,-0.0418102883146464
2.195,-0.042352937740388
2.2,-0.0429041821206809
2.205,-0.0434641991634048
2.21,-0.0440331715713995
2.215,-0.0446112872029644
2.22,-0.0451987392384452
2.225,-0.0457957263531498
2.23,-0.0464024528968984
2.235,-0.0470191290804782
2.24,-0.0476459711692677
2.245,-0.0482832016844399
2.25,-0.0489310496119729
2.255,-0.0495897506198883
2.26,-0.0502595472840554
2.265,-0.0509406893229377
2.27,-0.0516334338417009
2.275,-0.0523380455861173
2.28,-0.0530547972066809
2.285,-0.0537839695334188
2.29,-0.0545258518619132
2.295,-0.0552807422509927
2.3,-0.0560489478327187
2.305,-0.0568307851351864
2.31,-0.0576265804187292
2.315,-0.058436670026253
2.32,-0.0592614007482459
2.325,-0.0601011302032834
2.33,-0.0609562272346981
2.335,-0.0618270723242416
2.34,-0.0627140580235398
2.345,-0.063617589404227
2.35,-0.0645380845276908
2.355,-0.0654759749353771
2.36,-0.0664317061606971
2.365,-0.06740573826362
2.37,-0.0683985463890994
2.375,-0.0694106213505182
2.38,-0.0704424702394939
2.385,-0.0714946170633163
2.39,-0.072567603411505
2.395,-0.0736619891530167
2.4,-0.0747783531656222
2.405,-0.0759172940992534
2.41,-0.0770794311750635
2.415,-0.0782654050220824
2.42,-0.0794758785535811
2.425,-0.0807115378851637
2.43,-0.081973093296972
2.435,-0.0832612802423457
2.44,-0.0845768604055232
2.445,-0.0859206228110784
2.45,-0.0872933849880412
2.455,-0.0886959941916853
2.46,-0.0901293286863188
2.465,-0.0915942990924972
2.47,-0.0930918498023909
2.475,-0.0946229604672111
2.48,-0.0961886475608674
2.485,-0.0977899660243544
2.49,-0.0994280109955909
2.495,-0.101103919629746
2.5,-0.102818873015531
2.505,-0.104574098193144
2.51,-0.106370870280042
2.515,-0.108210514711132
2.52,-0.110094409600393
2.525,-0.112023988231372
2.53,-0.11400074168469
2.535,-0.116026221611022
2.54,-0.118102043158841
2.545,-0.120229888066678
2.55,-0.12241150793051
2.555,-0.124648727657513
2.56,-0.12694344911837
2.565,-0.12929765501105
2.57,-0.131713412950079
2.575,-0.134192879796293
2.58,-0.13673830624312
2.585,-0.139352041676787
2.59,-0.142036539329034
2.595,-0.144794361742405
2.6,-0.147628186569696
2.605,-0.150540812730855
2.61,-0.153535166952388
2.615,-0.156614310716326
2.62,-0.159781447647985
2.625,-0.163039931374011
2.63,-0.166393273884822
2.635,-0.169845154438263
2.64,-0.173399429044313
2.645,-0.177060140574024
2.65,-0.180831529539389
2.655,-0.184718045594766
2.66,-0.188724359814807
2.665,-0.192855377808473
2.67,-0.19711625373385
2.675,-0.201512405284054
2.68,-0.206049529720716
2.685,-0.210733621038212
2.69,-0.21557098834917
2.695,-0.220568275589951
2.7,-0.225732482653654
2.705,-0.231070988067984
2.71,-0.236591573346128
2.715,-0.242302449150571
2.72,-0.248212283422922
2.725,-0.254330231647152
2.73,-0.260665969429584
2.735,-0.26722972759649
2.74,-0.274032330029554
2.745,-0.281085234480905
2.75,-0.288400576633124
2.755,-0.295991217695959
2.76,-0.303870795860569
2.765,-0.312053781964444
2.77,-0.320555539756009
2.775,-0.329392391187784
2.78,-0.338581687211213
2.785,-0.34814188459563
2.79,-0.358092629348569
2.795,-0.368454847375875
2.8,-0.379250843088119
2.805,-0.390504406735882
2.81,-0.402240931341301
2.815,-0.414487540188173
2.82,-0.427273225938783
2.825,-0.440629002564245
2.83,-0.454588071407811
2.835,-0.469186002849117
2.84,-0.484460935203799
2.845,-0.500453792679386
2.85,-0.517208524417554
2.855,-0.534772366887248
2.86,-0.553196132156357
2.865,-0.572534524864638
2.87,-0.592846491051781
2.875,-0.614195602365802
2.88,-0.636650479593544
2.885,-0.660285259921862
2.89,-0.685180112861116
2.895,-0.711421810347936
2.9,-0.739104357198575
2.905,-0.768329688814585
2.91,-0.799208443856249
2.915,-0.831860820503483
2.92,-0.866417525925713
2.925,-0.903020829687959
2.93,-0.94182573303462
2.935,-0.983001267317966
2.94,-1.02673193627388
2.945,-1.07321931838641
2.95,-1.12268384721062
2.955,-1.17536678921402
2.96,-1.231532440409
2.965,-1.29147056471609
2.97,-1.35549909852694
2.975,-1.42396714718338
2.98,-1.49725829985839
2.985,-1.57579428932919
2.99,-1.6600390219745
2.995,-1.75050300044629
3,-1.84774815607563
