"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0141513014675733
2.005,-0.0142007439130947
2.01,-0.0142503585664623
2.015,-0.0143001596981623
2.02,-0.0143501614301644
2.025,-0.0144003777366429
2.03,-0.0144508224447088
2.035,-0.0145015092351507
2.04,-0.0145524516431684
2.045,-0.0146036630591285
2.05,-0.0146551567292982
2.055,-0.014706945756612
2.06,-0.0147590431014247
2.065,-0.0148114615822781
2.07,-0.0148642138766776
2.075,-0.014917312521869
2.08,-0.0149707699156217
2.085,-0.0150245983170352
2.09,-0.0150788098473387
2.095,-0.0151334164907026
2.1,-0.0151884300950716
2.105,-0.0152438623729885
2.11,-0.0152997249024535
2.115,-0.0153560291277787
2.12,-0.0154127863604452
2.125,-0.0154700077800167
2.13,-0.0155277044350057
2.135,-0.015585887243817
2.14,-0.0156445669956432
2.145,-0.015703754351438
2.15,-0.0157634598448613
2.155,-0.0158236938832526
2.16,-0.0158844667486389
2.165,-0.0159457885987433
2.17,-0.0160076694680176
2.175,-0.0160701192687026
2.18,-0.0161331477918916
2.185,-0.0161967647086419
2.19,-0.0162609795710799
2.195,-0.0163258018135611
2.2,-0.0163912407538267
2.205,-0.0164573055941968
2.21,-0.0165240054227943
2.215,-0.016591349214797
2.22,-0.0166593458336942
2.225,-0.0167280040326068
2.23,-0.0167973324556207
2.235,-0.0168673396391404
2.24,-0.0169380340132929
2.245,-0.0170094239033573
2.25,-0.0170815175312289
2.255,-0.0171543230169156
2.26,-0.0172278483800763
2.265,-0.017302101541585
2.27,-0.0173770903251583
2.275,-0.0174528224589919
2.28,-0.0175293055774559
2.285,-0.0176065472228326
2.29,-0.0176845548470932
2.295,-0.0177633358137134
2.3,-0.0178428973995518
2.305,-0.0179232467967586
2.31,-0.0180043911147408
2.315,-0.0180863373821822
2.32,-0.0181690925490999
2.325,-0.0182526634889757
2.33,-0.0183370570009228
2.335,-0.0184222798119078
2.34,-0.0185083385790612
2.345,-0.018595239892
2.35,-0.0186829902752574
2.355,-0.0187715961907313
2.36,-0.0188610640402392
2.365,-0.0189514001681093
2.37,-0.0190426108638583
2.375,-0.0191347023649137
2.38,-0.0192276808594425
2.385,-0.019321552489231
2.39,-0.0194163233526429
2.395,-0.0195119995076497
2.4,-0.0196085869749659
2.405,-0.0197060917412392
2.41,-0.0198045197623283
2.415,-0.0199038769666805
2.42,-0.0200041692587953
2.425,-0.0201054025227587
2.43,-0.0202075826259024
2.435,-0.0203107154225341
2.44,-0.0204148067577708
2.445,-0.020519862471488
2.45,-0.0206258884023577
2.455,-0.0207328903919831
2.46,-0.0208408742891774
2.465,-0.020949845954315
2.47,-0.0210598112638225
2.475,-0.0211707761147799
2.48,-0.0212827464296402
2.485,-0.0213957281610754
2.49,-0.0215097272969511
2.495,-0.0216247498654395
2.5,-0.0217408019402202
2.505,-0.0218578896459082
2.51,-0.0219760191635257
2.515,-0.0220951967361799
2.52,-0.0222154286748721
2.525,-0.0223367213644525
2.53,-0.0224590812697235
2.535,-0.0225825149417411
2.54,-0.0227070290242328
2.545,-0.0228326302602126
2.55,-0.0229593254987503
2.555,-0.0230871217019499
2.56,-0.0232160259520542
2.565,-0.0233460454588017
2.57,-0.0234771875669136
2.575,-0.0236094597638155
2.58,-0.0237428696875505
2.585,-0.0238774251348835
2.59,-0.0240131340696332
2.595,-0.0241500046312268
2.6,-0.0242880451434358
2.605,-0.0244272641233956
2.61,-0.0245676702908176
2.615,-0.0247092725774649
2.62,-0.0248520801368338
2.625,-0.0249961023541603
2.63,-0.025141348856603
2.635,-0.0252878295237327
2.64,-0.0254355544983149
2.645,-0.0255845341973096
2.65,-0.0257347793232121
2.655,-0.0258863008756586
2.66,-0.0260391101633448
2.665,-0.0261932188162416
2.67,-0.0263486387981304
2.675,-0.0265053824194717
2.68,-0.026663462350596
2.685,-0.0268228916352315
2.69,-0.0269836837043957
2.695,-0.027145852390636
2.7,-0.0273094119426358
2.705,-0.0274743770402114
2.71,-0.0276407628096763
2.715,-0.0278085848396166
2.72,-0.0279778591970738
2.725,-0.0281486024441278
2.73,-0.0283208316549451
2.735,-0.0284945644332149
2.74,-0.0286698189300796
2.745,-0.0288466138625181
2.75,-0.0290249685321799
2.755,-0.0292049028447342
2.76,-0.0293864373297051
2.765,-0.0295695931608215
2.77,-0.0297543921768953
2.775,-0.029940856903228
2.78,-0.0301290105735793
2.785,-0.0303188771527078
2.79,-0.0305104813594863
2.795,-0.0307038486906046
2.8,-0.0308990054449089
2.805,-0.0310959787483549
2.81,-0.0312947965796058
2.815,-0.03149548779629
2.82,-0.0316980821619558
2.825,-0.0319026103736944
2.83,-0.0321091040905103
2.835,-0.0323175959623968
2.84,-0.0325281196601816
2.845,-0.0327407099061397
2.85,-0.0329554025054054
2.855,-0.0331722343781872
2.86,-0.03339124359282
2.865,-0.0336124693996971
2.87,-0.033835952266038
2.875,-0.0340617339116135
2.88,-0.0342898573453361
2.885,-0.0345203669028646
2.89,-0.0347533082851326
2.895,-0.0349887285979148
2.9,-0.0352266763923978
2.905,-0.0354672017068239
2.91,-0.0357103561092062
2.915,-0.0359561927411674
2.92,-0.0362047663629021
2.925,-0.0364561333993309
2.93,-0.0367103519874489
2.935,-0.0369674820249104
2.94,-0.0372275852198763
2.945,-0.0374907251421651
2.95,-0.037756967275749
2.955,-0.0380263790726086
2.96,-0.0382990300080047
2.965,-0.0385749916371901
2.97,-0.0388543376536096
2.975,-0.0391371439486195
2.98,-0.039423488672776
2.985,-0.0397134522987268
2.99,-0.0400071176857507
2.995,-0.0403045701460005
3,-0.0406058975124576
