"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0188799094359576
2.005,-0.0190831811340294
2.01,-0.0192912306620415
2.015,-0.0195041785231202
2.02,-0.0197221500932092
2.025,-0.0199452758413603
2.03,-0.0201736915619376
2.035,-0.0204075386194695
2.04,-0.0206469642069394
2.045,-0.0208921216183602
2.05,-0.0211431705365492
2.055,-0.0214002773370074
2.06,-0.0216636154090391
2.065,-0.021933365495109
2.07,-0.022209716049728
2.075,-0.022492863619074
2.08,-0.0227830132427655
2.085,-0.0230803788792371
2.09,-0.0233851838563311
2.095,-0.0236976613487878
2.1,-0.0240180548844993
2.105,-0.0243466188814893
2.11,-0.0246836192177713
2.115,-0.0250293338363725
2.12,-0.0253840533880615
2.125,-0.0257480819143746
2.13,-0.0261217375739522
2.135,-0.0265053534152578
2.14,-0.026899278199096
2.145,-0.0273038772746321
2.15,-0.0277195335128632
2.155,-0.0281466483019242
2.16,-0.0285856426088703
2.165,-0.0290369581130655
2.17,-0.0295010584167265
2.175,-0.0299784303386243
2.18,-0.0304695852975555
2.185,-0.0309750607926442
2.19,-0.0314954219883998
2.195,-0.0320312634129019
2.2,-0.0325832107785036
2.205,-0.0331519229351411
2.21,-0.0337380939673901
2.215,-0.0343424554474209
2.22,-0.0349657788571598
2.225,-0.0356088781943042
2.23,-0.0362726127782058
2.235,-0.0369578902732755
2.24,-0.0376656699493169
2.245,-0.0383969662001172
2.25,-0.0391528523438758
2.255,-0.0399344647314099
2.26,-0.0407430071908681
2.265,-0.0415797558406581
2.27,-0.0424460643057011
2.275,-0.043343369375972
2.28,-0.0442731971504336
2.285,-0.0452371697144515
2.29,-0.0462370124039072
2.295,-0.0472745617155014
2.3,-0.0483517739294581
2.305,-0.0494707345185424
2.31,-0.050633668426083
2.315,-0.0518429513054975
2.32,-0.0531011218250416
2.325,-0.0544108951541736
2.33,-0.0557751777624633
2.335,-0.0571970836783238
2.34,-0.0586799523737404
2.345,-0.0602273684626339
2.35,-0.0618431834251095
2.355,-0.0635315395980452
2.36,-0.0652968967050347
2.365,-0.0671440612359692
2.37,-0.0690782190297934
2.375,-0.0711049714637879
2.38,-0.0732303757105546
2.385,-0.075460989591007
2.39,-0.0778039216297604
2.395,-0.0802668870103825
2.4,-0.0828582702344605
2.405,-0.0855871954132101
2.41,-0.0884636052668802
2.415,-0.0914983500797825
2.42,-0.094703288062602
2.425,-0.0980913988147208
2.43,-0.101676911865826
2.435,-0.105475452616824
2.44,-0.109504208407222
2.445,-0.113782117923674
2.45,-0.118330087750085
2.455,-0.123171240565684
2.46,-0.128331200351401
2.465,-0.133838421001135
2.47,-0.139724565996691
2.475,-0.146024948348322
2.48,-0.152779041896591
2.485,-0.160031077404887
2.49,-0.167830739759259
2.495,-0.176233986180216
2.5,-0.185304009829703
2.505,-0.195112378812436
2.51,-0.205740387647326
2.515,-0.217280667245771
2.52,-0.229839110840761
2.525,-0.243537187909278
2.53,-0.258514736919271
2.535,-0.274933352054578
2.54,-0.292980510747975
2.545,-0.31287463036844
2.55,-0.334871297177001
2.555,-0.359270983410029
2.56,-0.386428665654922
2.565,-0.416765888802806
2.57,-0.450785997897907
2.575,-0.489093503857023
2.58,-0.532418885231773
2.585,-0.58165059602881
2.59,-0.637876706366609
2.595,-0.702439533112883
2.6,-0.777007948012869
2.605,-0.86367397177456
2.61,-0.965083064703079
2.615,-1.08461165645051
2.62,-1.22661162282548
2.625,-1.39675074205237
2.63,-1.60249249858423
2.635,-1.85378112290518
2.64,-2.16403422176437
2.645,-2.55160707919732
2.65,-3.04200416992762
2.655,-3.67133344667364
2.66,-4.49198436830206
2.665,-5.58272403886766
2.67,-7.06887347080178
2.675,-9.16979860210662
2.68,-12.3387504565096
2.685,-17.8322024719423
2.69,-27.7485493992795
2.695,-17.9278928606154
2.7,-12.4436445661443
2.705,-9.2944798236088
2.71,-7.21144325580934
2.715,-5.73852852126826
2.72,-4.65619684745437
2.725,-3.83983469670419
2.73,-3.21161045153918
2.735,-2.72001816149103
2.74,-2.32967961815141
2.745,-2.01565033316444
2.75,-1.75998507857469
2.755,-1.54955663489887
2.76,-1.37462086956352
2.765,-1.22784858864194
2.77,-1.10365942642212
2.775,-0.997756072946772
2.78,-0.906793956597481
2.785,-0.828143976323656
2.79,-0.759720043311854
2.795,-0.699852330893258
2.8,-0.647193136981558
2.805,-0.600646270163122
2.81,-0.55931357950574
2.815,-0.522454101655731
2.82,-0.489452581127799
2.825,-0.459795016178876
2.83,-0.433049515647371
2.835,-0.408851203340373
2.84,-0.386890231108953
2.845,-0.366902197257958
2.85,-0.348660439263648
2.855,-0.331969796887675
2.86,-0.316661536269031
2.865,-0.302589196341693
2.87,-0.289625172301974
2.875,-0.277657891385532
2.88,-0.266589467202065
2.885,-0.256333742714336
2.89,-0.246814650398809
2.895,-0.237964832488844
2.9,-0.229724475446197
2.905,-0.222040321657413
2.91,-0.214864828354109
2.915,-0.20815544932408
2.92,-0.201874019428629
2.925,-0.195986225511944
2.93,-0.190461150167026
2.935,-0.185270877153323
2.94,-0.18039014915624
2.945,-0.175796070125382
2.95,-0.171467845695886
2.955,-0.167386556239562
2.96,-0.163534957953022
2.965,-0.159897308102533
2.97,-0.156459211137619
2.975,-0.15320748287918
2.98,-0.150130030400831
2.985,-0.147215745568594
2.99,-0.144454410495474
2.995,-0.141836613413463
3,-0.139353673673442
