"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0527924507062753
2.005,-0.053854206208071
2.01,-0.0549405764131804
2.015,-0.056052298489991
2.02,-0.0571901361828168
2.025,-0.0583548810241856
2.03,-0.0595473536107203
2.035,-0.0607684049464354
2.04,-0.0620189178575328
2.045,-0.0632998084830588
2.05,-0.0646120278460997
2.055,-0.0659565635104685
2.06,-0.0673344413282436
2.065,-0.0687467272838853
2.07,-0.0701945294409673
2.075,-0.0716789999981744
2.08,-0.0732013374614932
2.085,-0.0747627889401775
2.09,-0.0763646525745253
2.095,-0.078008280104205
2.1,-0.0796950795863196
2.105,-0.0814265182733622
2.11,-0.0832041256616894
2.115,-0.0850294967221969
2.12,-0.0869042953255598
2.125,-0.0888302578755497
2.13,-0.0908091971648141
2.135,-0.0928430064687804
2.14,-0.0949336638944528
2.145,-0.0970832370023358
2.15,-0.0992938877210362
2.155,-0.101567877575845
2.16,-0.103907573254178
2.165,-0.106315452532773
2.17,-0.10879411059349
2.175,-0.111346266756962
2.18,-0.113974771665604
2.185,-0.116682614950418
2.19,-0.119472933418799
2.195,-0.12234901980389
2.2,-0.125314332119511
2.205,-0.128372503668665
2.21,-0.131527353757809
2.215,-0.13478289917387
2.22,-0.138143366486071
2.225,-0.14161320524042
2.23,-0.145197102120902
2.235,-0.148899996158428
2.24,-0.152727095076139
2.245,-0.156683892868237
2.25,-0.160776188718703
2.255,-0.165010107376763
2.26,-0.169392121117283
2.265,-0.173929073427069
2.27,-0.178628204572129
2.275,-0.183497179216619
2.28,-0.188544116281649
2.285,-0.193777621251554
2.29,-0.199206821156812
2.295,-0.204841402487069
2.3,-0.210691652314564
2.305,-0.216768502938511
2.31,-0.223083580394719
2.315,-0.229649257212594
2.32,-0.236478709844112
2.325,-0.243585981237083
2.33,-0.250986049078587
2.335,-0.258694900294966
2.34,-0.266729612462756
2.345,-0.275108442861783
2.35,-0.283850925988605
2.355,-0.292977980446567
2.36,-0.302512026240267
2.365,-0.312477113628384
2.37,-0.322899064832418
2.375,-0.333805630062101
2.38,-0.345226659504076
2.385,-0.357194293132707
2.39,-0.369743170443956
2.395,-0.382910662490516
2.4,-0.396737128913789
2.405,-0.41126620303255
2.41,-0.42654510846654
2.415,-0.442625011254727
2.42,-0.459561411982933
2.425,-0.477414583075844
2.43,-0.49625005714882
2.435,-0.516139173172032
2.44,-0.537159688193447
2.445,-0.55939646352161
2.45,-0.582942235612349
2.455,-0.60789848346857
2.46,-0.634376406189098
2.465,-0.66249802643848
2.47,-0.692397438110981
2.475,-0.724222219396844
2.48,-0.758135035907841
2.485,-0.794315462579958
2.49,-0.832962057861082
2.495,-0.874294729352418
2.5,-0.918557436775752
2.505,-0.966021286093522
2.51,-1.01698807806942
2.515,-1.07179438583658
2.52,-1.13081624952353
2.525,-1.19447459215357
2.53,-1.26324148048044
2.535,-1.33764737790825
2.54,-1.41828956513575
2.545,-1.50584193891544
2.55,-1.60106644197401
2.555,-1.7048264298994
2.56,-1.81810234665118
2.565,-1.9420101634313
2.57,-2.07782314180369
2.575,-2.22699761957211
2.58,-2.39120369931651
2.585,-2.57236196297675
2.59,-2.77268766920349
2.595,-2.99474435600862
2.6,-3.24150943599366
2.605,-3.51645534009398
2.61,-3.82365120646946
2.615,-4.16789229698519
2.62,-4.55486770515568
2.625,-4.99138225249945
2.63,-5.48565704824969
2.635,-6.04774726929435
2.64,-6.69013933391955
2.645,-7.42863012081406
2.65,-8.2836616399304
2.655,-9.28240953085908
2.66,-10.4621399101905
2.665,-11.875673917726
2.67,-13.5999277037891
2.675,-15.745514340693
2.68,-18.4360006284716
2.685,-21.4970787375753
2.69,-22.9580268774048
2.695,-20.821186385032
2.7,-17.8035930568194
2.705,-15.2766048885065
2.71,-13.2685964344603
2.715,-11.6508790231173
2.72,-10.3210834187841
2.725,-9.20880274892788
2.73,-8.26547020230366
2.735,-7.45659178372823
2.74,-6.75686766883763
2.745,-6.14718855281387
2.75,-5.6127519302872
2.755,-5.14184644598661
2.76,-4.72504293381728
2.765,-4.35463965539969
2.77,-4.02427089120428
2.775,-3.7286234227468
2.78,-3.46322619320716
2.785,-3.22429088228189
2.79,-3.00858877066603
2.795,-2.8133540616548
2.8,-2.63620689757629
2.805,-2.47509131687292
2.81,-2.32822473809511
2.815,-2.1940564700808
2.82,-2.07123338200398
2.825,-1.9585713165169
2.83,-1.85503115385473
2.835,-1.75969867349664
2.84,-1.67176753851709
2.845,-1.59052486338418
2.85,-1.51533893044504
2.855,-1.44564870184851
2.86,-1.38095483795244
2.865,-1.32081198447533
2.87,-1.2648221317885
2.875,-1.21262888303044
2.88,-1.16391249483048
2.885,-1.1183855766253
2.89,-1.07578935281653
2.895,-1.03589040711354
2.9,-0.99847784093012
2.905,-0.96336078813109
2.91,-0.930366237135253
2.915,-0.899337118676992
2.92,-0.870130623657991
2.925,-0.842616720682055
2.93,-0.816676847223545
2.935,-0.7922027520671
2.94,-0.769095469783277
2.945,-0.747264410662198
2.95,-0.726626551790356
2.955,-0.707105716887078
2.96,-0.688631934168245
2.965,-0.671140862919341
2.97,-0.654573280673876
2.975,-0.638874623936934
2.98,-0.623994576292623
2.985,-0.609886698509935
2.99,-0.59650809593194
2.995,-0.583819119013886
3,-0.571783093379069
