"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0191770859714529
2.005,-0.0192989959627438
2.01,-0.019421456278434
2.015,-0.019544472198763
2.02,-0.0196680490523012
2.025,-0.0197921922167346
2.03,-0.0199169071196416
2.035,-0.020042199239301
2.04,-0.020168074105521
2.045,-0.020294537300473
2.05,-0.0204215944595543
2.055,-0.0205492512722703
2.06,-0.0206775134831481
2.065,-0.020806386892656
2.07,-0.0209358773581583
2.075,-0.0210659907948936
2.08,-0.0211967331769866
2.085,-0.0213281105384842
2.09,-0.0214601289744225
2.095,-0.0215927946419384
2.1,-0.0217261137613878
2.105,-0.0218600926175463
2.11,-0.0219947375608108
2.115,-0.0221300550084573
2.12,-0.0222660514459625
2.125,-0.0224027334283428
2.13,-0.0225401075815626
2.135,-0.0226781806040115
2.14,-0.0228169592680081
2.145,-0.022956450421404
2.15,-0.0230966609892274
2.155,-0.0232375979754162
2.16,-0.0233792684646333
2.165,-0.0235216796241491
2.17,-0.0236648387058348
2.175,-0.0238087530482382
2.18,-0.0239534300787773
2.185,-0.0240988773160453
2.19,-0.0242451023722296
2.195,-0.0243921129556707
2.2,-0.0245399168735705
2.205,-0.024688522034849
2.21,-0.0248379364531571
2.215,-0.0249881682500989
2.22,-0.0251392256586325
2.225,-0.0252911170266795
2.23,-0.0254438508209928
2.235,-0.0255974356312514
2.24,-0.0257518801744467
2.245,-0.0259071932995617
2.25,-0.0260633839925911
2.255,-0.0262204613819006
2.26,-0.0263784347439973
2.265,-0.0265373135097192
2.27,-0.0266971072709011
2.275,-0.026857825787553
2.28,-0.0270194789956018
2.285,-0.0271820770152763
2.29,-0.027345630160151
2.295,-0.0275101489469753
2.3,-0.0276756441063104
2.305,-0.0278421265941343
2.31,-0.028009607604412
2.315,-0.0281780985828486
2.32,-0.0283476112418801
2.325,-0.0285181575770577
2.33,-0.0286897498850053
2.335,-0.0288624007830907
2.34,-0.0290361232310578
2.345,-0.029210930554792
2.35,-0.0293868364725445
2.355,-0.0295638551238419
2.36,-0.0297420011014733
2.365,-0.0299212894869011
2.37,-0.0301017358895522
2.375,-0.0302833564904794
2.38,-0.030466168090973
2.385,-0.0306501881668015
2.39,-0.030835434928804
2.395,-0.0310219273907538
2.4,-0.0312096854455074
2.405,-0.0313987299506118
2.41,-0.0315890828247476
2.415,-0.0317807671566496
2.42,-0.0319738073283498
2.425,-0.0321682291549753
2.43,-0.0323640600436974
2.435,-0.0325613291748989
2.44,-0.0327600677091874
2.445,-0.0329603090245753
2.45,-0.0331620889889434
2.455,-0.0333654462739461
2.46,-0.0335704227177261
2.465,-0.0337770637452731
2.47,-0.0339854188571694
2.475,-0.0341955421997177
2.48,-0.0344074932322918
2.485,-0.0346213375112967
2.49,-0.0348371476145771
2.495,-0.0350550042357375
2.5,-0.0352749974848894
2.505,-0.0354972284414962
2.51,-0.0357218110165123
2.515,-0.0359488741960582
2.52,-0.0361785647583732
2.525,-0.0364110505811413
2.53,-0.0366465246899703
2.535,-0.0368852102431576
2.54,-0.0371273667074669
2.545,-0.037373297559922
2.55,-0.037623359959814
2.555,-0.0378779769852837
2.56,-0.0381376532369925
2.565,-0.0384029949035178
2.57,-0.0386747357970424
2.575,-0.0389537714622963
2.58,-0.0392412043252691
2.585,-0.0395384041204913
2.59,-0.039847089737016
2.595,-0.0401694415084616
2.6,-0.0405082574224658
2.605,-0.0408671737078573
2.61,-0.0412509814167068
2.615,-0.0416660887938626
2.62,-0.042121209418652
2.625,-0.0426284072587444
2.63,-0.0432047180974087
2.635,-0.0438747217180797
2.64,-0.0446747132936322
2.645,-0.0456596030268607
2.65,-0.0469144725971185
2.655,-0.0485738087870485
2.66,-0.0508516994416164
2.665,-0.0540789948676368
2.67,-0.0586984351835348
2.675,-0.0649903623432304
2.68,-0.0719718274438814
2.685,-0.0759804063745625
2.69,-0.073732738115026
2.695,-0.0676064519398632
2.7,-0.0616326841113411
2.705,-0.0572529061342042
2.71,-0.0543277932423877
2.715,-0.0524219195538422
2.72,-0.0511859144936645
2.725,-0.0503889309517279
2.73,-0.0498849972061536
2.735,-0.0495816438678815
2.74,-0.049419238746406
2.745,-0.0493584282272801
2.75,-0.0493726116395952
2.755,-0.0494433890581894
2.76,-0.0495577567102538
2.765,-0.0497063415698824
2.77,-0.0498822653447393
2.775,-0.0500803976471216
2.78,-0.0502968549544107
2.785,-0.0505286580240007
2.79,-0.0507734934809703
2.795,-0.0510295451665919
2.8,-0.0512953730158502
2.805,-0.0515698248422158
2.81,-0.0518519712497612
2.815,-0.0521410570275578
2.82,-0.0524364644441629
2.825,-0.0527376852385257
2.83,-0.0530442990384469
2.835,-0.0533559565801212
2.84,-0.0536723665495707
2.845,-0.0539932851818567
2.85,-0.0543185079785219
2.855,-0.0546478630654206
2.86,-0.0549812058307439
2.865,-0.0553184145694453
2.87,-0.0556593869243182
2.875,-0.056004036961743
2.88,-0.0563522927563002
2.885,-0.0567040943856658
2.89,-0.0570593922582183
2.895,-0.0574181457118583
2.9,-0.0577803218350305
2.905,-0.0581458944706723
2.91,-0.058514843371428
2.915,-0.058887153480518
2.92,-0.0592628143174274
2.925,-0.0596418194513536
2.93,-0.0600241660484426
2.935,-0.0604098544812875
2.94,-0.0607988879911203
2.945,-0.0611912723948315
2.95,-0.0615870158301076
2.955,-0.061986128533258
2.96,-0.0623886226450133
2.965,-0.0627945120403888
2.97,-0.0632038121793458
2.975,-0.0636165399753862
2.98,-0.0640327136797297
2.985,-0.0644523527790341
2.99,-0.0648754779049079
2.995,-0.0653021107537284
3,-0.0657322740154829
