"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0314083987642282
2.005,-0.0317053601489592
2.01,-0.0320042341879288
2.015,-0.0323050335974432
2.02,-0.0326077715108119
2.025,-0.0329124614824379
2.03,-0.033219117491998
2.035,-0.0335277539487098
2.04,-0.033838385695706
2.045,-0.0341510280144761
2.05,-0.0344656966294222
2.055,-0.0347824077124926
2.06,-0.0351011778879262
2.065,-0.0354220242370832
2.07,-0.03574496430336
2.075,-0.0360700160972407
2.08,-0.0363971981013982
2.085,-0.0367265292759407
2.09,-0.0370580290637258
2.095,-0.0373917173958093
2.1,-0.037727614696963
2.105,-0.0380657418913334
2.11,-0.0384061204081729
2.115,-0.0387487721877261
2.12,-0.0390937196871626
2.125,-0.0394409858866886
2.13,-0.0397905942957157
2.135,-0.0401425689591911
2.14,-0.0404969344640002
2.145,-0.0408537159455289
2.15,-0.0412129390943075
2.155,-0.0415746301628202
2.16,-0.0419388159723818
2.165,-0.0423055239202043
2.17,-0.0426747819865294
2.175,-0.0430466187419419
2.18,-0.0434210633547747
2.185,-0.0437981455986829
2.19,-0.0441778958603165
2.195,-0.0445603451471766
2.2,-0.0449455250955536
2.205,-0.0453334679786779
2.21,-0.0457242067149524
2.215,-0.0461177748763755
2.22,-0.0465142066970896
2.225,-0.0469135370821023
2.23,-0.0473158016161503
2.235,-0.0477210365727307
2.24,-0.0481292789232822
2.245,-0.0485405663465441
2.25,-0.0489549372380841
2.255,-0.049372430719981
2.26,-0.0497930866507025
2.265,-0.0502169456351478
2.27,-0.0506440490348693
2.275,-0.0510744389784977
2.28,-0.0515081583723387
2.285,-0.0519452509111622
2.29,-0.0523857610892079
2.295,-0.0528297342113534
2.3,-0.0532772164045432
2.305,-0.0537282546293688
2.31,-0.0541828966919042
2.315,-0.0546411912557437
2.32,-0.0551031878542563
2.325,-0.0555689369030894
2.33,-0.0560384897128836
2.335,-0.0565118985022432
2.34,-0.0569892164109416
2.345,-0.0574704975133718
2.35,-0.0579557968322735
2.355,-0.0584451703527019
2.36,-0.0589386750362626
2.365,-0.0594363688356521
2.37,-0.0599383107094274
2.375,-0.0604445606371155
2.38,-0.060955179634591
2.385,-0.0614702297697495
2.39,-0.0619897741785215
2.395,-0.0625138770811769
2.4,-0.0630426037989559
2.405,-0.0635760207710702
2.41,-0.0641141955719929
2.415,-0.0646571969291603
2.42,-0.0652050947409763
2.425,-0.0657579600952494
2.43,-0.0663158652879698
2.435,-0.066878883842496
2.44,-0.0674470905291422
2.445,-0.068020561385186
2.45,-0.0685993737353046
2.455,-0.0691836062124455
2.46,-0.0697733387791464
2.465,-0.07036865274934
2.47,-0.0709696308106245
2.475,-0.0715763570470307
2.48,-0.0721889169622962
2.485,-0.0728073975036832
2.49,-0.0734318870863063
2.495,-0.0740624756180522
2.5,-0.0746992545250605
2.505,-0.0753423167777842
2.51,-0.0759917569176983
2.515,-0.0766476710846144
2.52,-0.0773101570446573
2.525,-0.0779793142189224
2.53,-0.0786552437128314
2.535,-0.0793380483462004
2.54,-0.0800278326840655
2.545,-0.0807247030682738
2.55,-0.0814287676498762
2.555,-0.0821401364223488
2.56,-0.0828589212556694
2.565,-0.0835852359312651
2.57,-0.0843191961779091
2.575,-0.0850609197085368
2.58,-0.0858105262580572
2.585,-0.0865681376221987
2.59,-0.0873338776973927
2.595,-0.0881078725217827
2.6,-0.0888902503173228
2.605,-0.0896811415331262
2.61,-0.0904806788899942
2.615,-0.0912889974262239
2.62,-0.0921062345447596
2.625,-0.0929325300617124
2.63,-0.0937680262562855
2.635,-0.0946128679222357
2.64,-0.0954672024208279
2.645,-0.0963311797354306
2.65,-0.0972049525277712
2.655,-0.0980886761959369
2.66,-0.0989825089341839
2.665,-0.0998866117946288
2.67,-0.100801148750923
2.675,-0.101726286763951
2.68,-0.102662195849677
2.685,-0.103609049149223
2.69,-0.104567023001241
2.695,-0.105536297016718
2.7,-0.106517054156318
2.705,-0.107509480810333
2.71,-0.10851376688139
2.715,-0.109530105870039
2.72,-0.11055869496331
2.725,-0.111599735126438
2.73,-0.112653431197819
2.735,-0.113719991987404
2.74,-0.114799630378663
2.745,-0.115892563434281
2.75,-0.116999012505756
2.755,-0.118119203347086
2.76,-0.11925336623274
2.765,-0.120401736080078
2.77,-0.12156455257649
2.775,-0.122742060311398
2.78,-0.123934508913435
2.785,-0.125142153192967
2.79,-0.126365253290277
2.795,-0.127604074829655
2.8,-0.128858889079653
2.805,-0.130129973119872
2.81,-0.131417610014538
2.815,-0.132722088993214
2.82,-0.134043705639013
2.825,-0.135382762084682
2.83,-0.136739567216927
2.835,-0.138114436889416
2.84,-0.139507694144862
2.845,-0.140919669446673
2.85,-0.142350700920649
2.855,-0.14380113460721
2.86,-0.145271324724721
2.865,-0.146761633944447
2.87,-0.148272433677792
2.875,-0.149804104376383
2.88,-0.151357035845715
2.885,-0.152931627573046
2.89,-0.15452828907029
2.895,-0.156147440232655
2.9,-0.157789511713937
2.905,-0.159454945319261
2.91,-0.161144194416217
2.915,-0.162857724365416
2.92,-0.164596012971429
2.925,-0.166359550955254
2.93,-0.168148842449423
2.935,-0.169964405517017
2.94,-0.17180677269581
2.945,-0.173676491568994
2.95,-0.175574125363837
2.955,-0.177500253579881
2.96,-0.179455472648204
2.965,-0.181440396623556
2.97,-0.183455657911068
2.975,-0.185501908029551
2.98,-0.187579818413277
2.985,-0.189690081254532
2.99,-0.19183341038906
2.995,-0.194010542226897
3,-0.196222236731069
