"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0169920258930398
2.005,-0.0171131050893515
2.01,-0.0172346192801019
2.015,-0.0173565979267294
2.02,-0.0174790702046643
2.025,-0.0176020650077524
2.03,-0.0177256109527077
2.035,-0.0178497363835335
2.04,-0.017974469375976
2.045,-0.0180998377419477
2.05,-0.0182258690339928
2.055,-0.0183525905497384
2.06,-0.0184800293363636
2.065,-0.0186082121950767
2.07,-0.0187371656856132
2.075,-0.0188669161307438
2.08,-0.018997489620817
2.085,-0.0191289120182829
2.09,-0.0192612089623029
2.095,-0.0193944058733179
2.1,-0.0195285279576922
2.105,-0.0196636002123608
2.11,-0.0197996474295242
2.115,-0.0199366942013575
2.12,-0.0200747649247751
2.125,-0.0202138838062308
2.13,-0.0203540748665433
2.135,-0.0204953619457747
2.14,-0.0206377687081662
2.145,-0.02078131864709
2.15,-0.020926035090092
2.155,-0.0210719412039459
2.16,-0.0212190599997928
2.165,-0.0213674143383179
2.17,-0.0215170269350054
2.175,-0.0216679203654328
2.18,-0.0218201170706586
2.185,-0.0219736393626433
2.19,-0.0221285094297724
2.195,-0.0222847493424358
2.2,-0.0224423810586799
2.205,-0.0226014264299527
2.21,-0.0227619072069065
2.215,-0.022923845045318
2.22,-0.0230872615120651
2.225,-0.0232521780912007
2.23,-0.0234186161901334
2.235,-0.0235865971458932
2.24,-0.023756142231489
2.245,-0.0239272726623891
2.25,-0.0241000096030891
2.255,-0.0242743741737879
2.26,-0.0244503874571928
2.265,-0.0246280705054401
2.27,-0.0248074443470907
2.275,-0.0249885299943223
2.28,-0.0251713484501851
2.285,-0.0253559207160133
2.29,-0.025542267798983
2.295,-0.0257304107197697
2.3,-0.0259203705203929
2.305,-0.0261121682721692
2.31,-0.026305825083841
2.315,-0.0265013621098433
2.32,-0.0266988005587296
2.325,-0.0268981617017747
2.33,-0.0270994668817308
2.335,-0.0273027375217554
2.34,-0.0275079951345217
2.345,-0.0277152613315149
2.35,-0.0279245578324928
2.355,-0.0281359064751685
2.36,-0.0283493292250546
2.365,-0.0285648481855418
2.37,-0.0287824856081609
2.375,-0.0290022639030684
2.38,-0.0292242056497327
2.385,-0.0294483336078828
2.39,-0.0296746707286268
2.395,-0.0299032401658644
2.4,-0.0301340652879046
2.405,-0.0303671696893315
2.41,-0.0306025772031514
2.415,-0.0308403119131634
2.42,-0.0310803981666233
2.425,-0.0313228605871704
2.43,-0.03156772408804
2.435,-0.0318150138855545
2.44,-0.0320647555129228
2.445,-0.0323169748343264
2.45,-0.0325716980593437
2.455,-0.0328289517576489
2.46,-0.0330887628740818
2.465,-0.0333511587440297
2.47,-0.0336161671091523
2.475,-0.0338838161334566
2.48,-0.0341541344197547
2.485,-0.0344271510264589
2.49,-0.0347028954847843
2.495,-0.0349813978163176
2.5,-0.0352626885510074
2.505,-0.0355467987455381
2.51,-0.0358337600021492
2.515,-0.0361236044878634
2.52,-0.0364163649541652
2.525,-0.0367120747571323
2.53,-0.037010767878024
2.535,-0.0373124789443496
2.54,-0.0376172432514236
2.545,-0.037925096784421
2.55,-0.0382360762409298
2.555,-0.0385502190540631
2.56,-0.0388675634160669
2.565,-0.0391881483025138
2.57,-0.0395120134970416
2.575,-0.039839199616684
2.58,-0.0401697481377959
2.585,-0.040503701422574
2.59,-0.040841102746227
2.595,-0.0411819963247673
