"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0322943284951526
2.005,-0.0327709852277846
2.01,-0.0332550179438388
2.015,-0.0337465970321038
2.02,-0.0342458965068874
2.025,-0.0347530941377121
2.03,-0.0352683715838077
2.035,-0.0357919145336164
2.04,-0.0363239128495236
2.045,-0.0368645607180528
2.05,-0.037414056805769
2.055,-0.0379726044211407
2.06,-0.0385404116826235
2.065,-0.0391176916932468
2.07,-0.0397046627220137
2.075,-0.0403015483924034
2.08,-0.0409085778783082
2.085,-0.0415259861077492
2.09,-0.0421540139747233
2.095,-0.0427929085595744
2.1,-0.0434429233582595
2.105,-0.044104318520953
2.11,-0.0447773611004082
2.115,-0.0454623253105653
2.12,-0.0461594927958627
2.125,-0.0468691529117719
2.13,-0.0475916030171235
2.135,-0.0483271487787648
2.14,-0.0490761044891564
2.145,-0.0498387933975419
2.15,-0.0506155480553875
2.155,-0.0514067106767277
2.16,-0.0522126335142531
2.165,-0.0530336792518511
2.17,-0.0538702214144731
2.175,-0.0547226447961875
2.18,-0.0555913459073636
2.185,-0.0564767334419364
2.19,-0.0573792287658447
2.195,-0.0582992664276789
2.2,-0.0592372946927593
2.205,-0.0601937761018173
2.21,-0.0611691880556593
2.215,-0.0621640234271075
2.22,-0.063178791201777
2.225,-0.0642140171491713
2.23,-0.0652702445257594
2.235,-0.0663480348118311
2.24,-0.0674479684839488
2.245,-0.0685706458249427
2.25,-0.0697166877736325
2.255,-0.0708867368164163
2.26,-0.0720814579231559
2.265,-0.0733015395298578
2.27,-0.0745476945708406
2.275,-0.0758206615632367
2.28,-0.0771212057468965
2.285,-0.078450120282923
2.29,-0.0798082275142968
2.295,-0.0811963802922925
2.3,-0.082615463372619
2.305,-0.0840663948854868
2.31,-0.0855501278840855
2.315,-0.0870676519763053
2.32,-0.088619995044782
2.325,-0.0902082250607857
2.33,-0.0918334519978394
2.335,-0.093496829851305
2.34,-0.0951995587707167
2.345,-0.0969428873120876
2.35,-0.0987281148178644
2.355,-0.100556593932934
2.36,-0.102429733265505
2.365,-0.104349000202496
2.37,-0.106315923889718
2.375,-0.108332098387861
2.38,-0.110399186016284
2.385,-0.112518920897316
2.39,-0.114693112714934
2.395,-0.116923650702691
2.4,-0.119212507876879
2.405,-0.121561745532294
2.41,-0.123973518019228
2.415,-0.126450077821923
2.42,-0.128993780960257
2.425,-0.131607092738289
2.43,-0.134292593865186
2.435,-0.137052986976241
2.44,-0.1398911035839
2.445,-0.142809911491372
2.45,-0.145812522704103
2.455,-0.148902201877447
2.46,-0.152082375342189
2.465,-0.155356640753257
2.47,-0.158728777410925
2.475,-0.162202757308234
2.48,-0.16578275696322
2.485,-0.169473170099801
2.49,-0.173278621247104
2.495,-0.177203980333416
2.5,-0.181254378358145
2.505,-0.185435224232919
2.51,-0.189752222891821
2.515,-0.194211394780177
2.52,-0.19881909684211
2.525,-0.20358204513881
2.53,-0.208507339242482
2.535,-0.21360248856558
2.54,-0.218875440800931
2.545,-0.224334612666395
2.55,-0.229988923167575
2.555,-0.235847829614459
2.56,-0.241921366652578
2.565,-0.248220188597073
2.57,-0.254755615389028
2.575,-0.26153968252806
2.58,-0.268585195374063
2.585,-0.275905788254498
2.59,-0.283515988862602
2.595,-0.291431288486734
2.6,-0.299668218673044
2.605,-0.308244434993174
2.61,-0.317178808667391
2.615,-0.326491526882066
2.62,-0.336204202740806
2.625,-0.346339995901838
2.63,-0.356923745082823
2.635,-0.367982113760027
2.64,-0.3795437505542
2.645,-0.391639465983833
2.65,-0.40430242748051
2.655,-0.417568374805255
2.66,-0.431475858283228
2.665,-0.446066502592221
2.67,-0.461385299204174
2.675,-0.477480930995318
2.68,-0.494406133017863
2.685,-0.512218093973662
2.69,-0.53097890355907
2.695,-0.550756051573114
2.7,-0.571622985512815
2.705,-0.593659734337183
2.71,-0.616953607185309
2.715,-0.64159997710664
2.72,-0.66770316133011
2.725,-0.69537741129364
2.73,-0.724748027612169
2.735,-0.755952617420778
2.74,-0.78914251413586
2.745,-0.824484382682892
2.75,-0.86216203670212
2.755,-0.902378498226515
2.76,-0.945358334898381
2.765,-0.991350315023481
2.77,-1.04063042672649
2.775,-1.09350531423647
2.78,-1.15031619194879
2.785,-1.21144330540921
2.79,-1.27731101772647
2.795,-1.34839361004675
2.8,-1.42522189539731
2.805,-1.5083907560164
2.81,-1.59856772452444
2.815,-1.69650273779737
2.82,-1.80303919732526
2.825,-1.91912646827572
2.83,-2.04583393691968
2.835,-2.18436671552537
2.84,-2.33608302444281
2.845,-2.50251317598366
2.85,-2.68537990729713
2.855,-2.88661951758995
2.86,-3.10840279096921
2.865,-3.35315391952014
2.87,-3.62356439980965
2.875,-3.92259685568395
2.88,-4.25347042873055
2.885,-4.6196139092729
2.89,-5.02456369943566
2.895,-5.47176860695361
2.9,-5.96423860195131
2.905,-6.5039347798309
2.91,-7.09073772102889
2.915,-7.72075398681822
2.92,-8.38366212691383
2.925,-9.05889751131655
2.93,-9.71108731189615
2.935,-10.2868707225653
2.94,-10.7181211544181
2.945,-10.9376039096243
2.95,-10.9054225337955
2.955,-10.6293383750768
2.96,-10.1605193485438
2.965,-9.56886752491973
2.97,-8.91882240992722
2.975,-8.25798980743177
2.98,-7.61661014539404
2.985,-7.01155984409807
2.99,-6.45080144750931
2.995,-5.9368349435579
3,-5.46901822594348
