"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0183914770653292
2.005,-0.0185457102890382
2.01,-0.0187019299670423
2.015,-0.0188601644596927
2.02,-0.0190204427629549
2.025,-0.0191827945242797
2.03,-0.0193472500589929
2.035,-0.0195138403671748
2.04,-0.0196825971510838
2.045,-0.0198535528331209
2.05,-0.0200267405743724
2.055,-0.0202021942937164
2.06,-0.0203799486875754
2.065,-0.0205600392502575
2.07,-0.0207425022949907
2.075,-0.0209273749755894
2.08,-0.021114695308878
2.085,-0.0213045021977839
2.09,-0.0214968354552225
2.095,-0.0216917358287503
2.1,-0.0218892450260244
2.105,-0.0220894057411018
2.11,-0.0222922616816334
2.115,-0.0224978575969149
2.12,-0.0227062393069245
2.125,-0.0229174537323024
2.13,-0.0231315489253556
2.135,-0.0233485741021031
2.14,-0.023568579675416
2.145,-0.0237916172892991
2.15,-0.0240177398543119
2.155,-0.0242470015842602
2.16,-0.0244794580341179
2.165,-0.0247151661392864
2.17,-0.0249541842562169
2.175,-0.0251965722044673
2.18,-0.0254423913102298
2.185,-0.0256917044514073
2.19,-0.0259445761043038
2.195,-0.0262010723919523
2.2,-0.0264612611342214
2.205,-0.0267252118997036
2.21,-0.026992996059486
2.215,-0.027264686842898
2.22,-0.0275403593952873
2.225,-0.0278200908379277
2.23,-0.0281039603301462
2.235,-0.0283920491337555
2.24,-0.0286844406799077
2.245,-0.028981220638433
2.25,-0.029282476989834
2.255,-0.0295883000999809
2.26,-0.0298987827976705
2.265,-0.0302140204551647
2.27,-0.0305341110718231
2.275,-0.0308591553609801
2.28,-0.0311892568402193
2.285,-0.0315245219251622
2.29,-0.03186506002698
2.295,-0.032210983653729
2.3,-0.0325624085157576
2.305,-0.0329194536353194
2.31,-0.0332822414605776
2.315,-0.0336508979842613
2.32,-0.0340255528671284
2.325,-0.0344063395664757
2.33,-0.0347933954699588
2.335,-0.03518686203494
2.34,-0.0355868849336337
2.345,-0.0359936142043327
2.35,-0.0364072044090077
2.355,-0.0368278147975786
2.36,-0.0372556094791759
2.365,-0.0376907576007443
2.37,-0.0381334335333619
2.375,-0.0385838170666192
2.38,-0.0390420936114756
2.385,-0.0395084544120365
2.39,-0.0399830967666533
2.395,-0.0404662242588804
2.4,-0.0409580469987147
2.405,-0.0414587818747199
2.41,-0.0419686528175184
2.415,-0.042487891075314
2.42,-0.0430167355020221
2.425,-0.0435554328586904
2.43,-0.0441042381288847
2.435,-0.0446634148488348
2.44,-0.045233235453067
2.445,-0.0458139816364007
2.45,-0.0464059447331703
2.455,-0.0470094261146291
2.46,-0.0476247376055179
2.465,-0.0482522019208513
2.47,-0.0488921531240943
2.475,-0.0495449371078397
2.48,-0.0502109120983348
2.485,-0.0508904491851665
2.49,-0.0515839328775555
2.495,-0.052291761688795
2.5,-0.0530143487504486
2.505,-0.0537521224580463
2.51,-0.0545055271501453
2.515,-0.0552750238227169
2.52,-0.0560610908809501
2.525,-0.0568642249307494
2.53,-0.0576849416122859
2.535,-0.0585237764782088
2.54,-0.0593812859192146
2.545,-0.0602580481399125
2.55,-0.0611546641881298
2.555,-0.0620717590410001
2.56,-0.0630099827514131
2.565,-0.0639700116586802
2.57,-0.0649525496675392
2.575,-0.0659583295998969
2.58,-0.0669881146240797
2.585,-0.0680426997666591
2.59,-0.0691229135123123
2.595,-0.0702296194976307
2.6,-0.0713637183051531
2.605,-0.0725261493644378
2.61,-0.073717892967497
2.615,-0.074939972406452
2.62,-0.076193456241949
2.625,-0.0774794607114523
2.63,-0.0787991522873199
2.635,-0.0801537503953381
2.64,-0.081544530305267
2.645,-0.0829728262058282
2.65,-0.084440034477662
2.655,-0.085947617178852
2.66,-0.0874971057588295
2.665,-0.0890901050178325
2.67,-0.0907282973305017
2.675,-0.0924134471538456
2.68,-0.0941474058414924
2.685,-0.0959321167881139
2.69,-0.0977696209299449
2.695,-0.0996620626297048
2.7,-0.101611695976676
2.705,-0.103620891535558
2.71,-0.105692143580699
2.715,-0.107828077855813
2.72,-0.11003145990284
2.725,-0.112305204007922
2.73,-0.114652382816863
2.735,-0.117076237677549
2.74,-0.119580189772321
2.745,-0.122167852109556
2.75,-0.124843042450436
2.755,-0.127609797254583
2.76,-0.130472386736652
2.765,-0.133435331135335
2.77,-0.136503418306833
2.775,-0.13968172276634
2.78,-0.142975626314296
2.785,-0.146390840398652
2.79,-0.149933430380696
2.795,-0.153609841890291
2.8,-0.157426929476851
2.805,-0.161391987785373
2.81,-0.165512785512741
2.815,-0.169797602428634
2.82,-0.174255269778238
2.825,-0.178895214420947
2.83,-0.183727507101249
2.835,-0.188762915295338
2.84,-0.194012961130776
2.845,-0.199489984937568
2.85,-0.205207215058354
2.855,-0.211178844624434
2.86,-0.217420116094345
2.865,-0.223947414454655
2.87,-0.230778370100141
2.875,-0.237931972545433
2.88,-0.245428696274787
2.885,-0.253290640214535
2.89,-0.261541682517409
2.895,-0.270207652584256
2.9,-0.279316522521513
2.905,-0.288898620548872
2.91,-0.298986869238144
2.915,-0.309617051890253
2.92,-0.320828110853447
2.925,-0.332662482164368
2.93,-0.345166471570474
2.935,-0.35839067778467
2.94,-0.372390469753827
2.945,-0.387226525817439
2.95,-0.402965443923726
2.955,-0.419680433595758
2.96,-0.437452102146951
2.965,-0.456369349790041
2.97,-0.476530390835771
2.975,-0.498043921221525
2.98,-0.521030456249917
2.985,-0.545623866779842
2.99,-0.571973147354861
2.995,-0.600244456069021
3,-0.630623473598313
