"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.061997844433789
2.005,-0.0635164013590692
2.01,-0.0650961626572918
2.015,-0.0667395546249929
2.02,-0.0684491453338493
2.025,-0.0702276541292355
2.03,-0.0720779618786188
2.035,-0.0740031220375161
2.04,-0.0760063726078558
2.045,-0.0780911490711686
2.05,-0.0802610983877323
2.055,-0.0825200941624155
2.06,-0.0848722530887054
2.065,-0.0873219527944546
2.07,-0.0898738512264434
2.075,-0.0925329077259112
2.08,-0.0953044059643311
2.085,-0.0981939789277885
2.09,-0.101207636159942
2.095,-0.104351793497836
2.1,-0.107633305562383
2.105,-0.111059501296322
2.11,-0.114638222877801
2.115,-0.118377868377525
2.12,-0.122287438572906
2.125,-0.126376588384199
2.13,-0.130655683456418
2.135,-0.135135862478004
2.14,-0.139829105903893
2.145,-0.144748311838503
2.15,-0.149907379934959
2.155,-0.155321304282558
2.16,-0.161006276387838
2.165,-0.166979799508146
2.17,-0.173260815774115
2.175,-0.179869847742867
2.18,-0.186829156261859
2.185,-0.194162916800094
2.19,-0.201897416725477
2.195,-0.210061276382959
2.2,-0.218685697267441
2.205,-0.227804741100166
2.21,-0.237455644221659
2.215,-0.247679172425582
2.22,-0.258520022196706
2.225,-0.270027275308124
2.23,-0.2822549149082
2.235,-0.295262412624294
2.24,-0.309115397873516
2.245,-0.323886422556678
2.25,-0.339655836689071
2.255,-0.356512793375542
2.26,-0.374556404971853
2.265,-0.393897076419414
2.27,-0.414658046757002
2.275,-0.436977175901236
2.28,-0.461009021197501
2.285,-0.486927257287984
2.29,-0.514927503916475
2.295,-0.545230639885181
2.3,-0.578086698121735
2.305,-0.613779457494731
2.31,-0.652631872635927
2.315,-0.695012514862436
2.32,-0.74134323696876
2.325,-0.792108324257145
2.33,-0.847865456364511
2.335,-0.909258882658076
2.34,-0.977035312644787
2.345,-1.0520631477248
2.35,-1.13535583921789
2.355,-1.22810035976418
2.36,-1.33169203402779
2.365,-1.44777730770461
2.37,-1.57830646523855
2.375,-1.72559887012673
2.38,-1.89242404592712
2.385,-2.08210291372455
2.39,-2.29863486539774
2.395,-2.54685826236417
2.4,-2.83265470671529
2.405,-3.16321154680424
2.41,-3.54736343542146
2.415,-3.99604388293163
2.42,-4.52289422829709
2.425,-5.14510440336336
2.43,-5.88460267400939
2.435,-6.76977196071278
2.44,-7.83791866373497
2.445,-9.13855668024464
2.45,-10.7361310090741
2.455,-12.7025004390013
2.46,-15.0451885699893
2.465,-17.3360579533096
2.47,-18.0030872557827
2.475,-16.3022235324892
2.48,-13.9102124061516
2.485,-11.7821015049774
2.49,-10.0422977651481
2.495,-8.63185306976103
2.5,-7.47980649892095
2.505,-6.52939134694231
2.51,-5.73789793290389
2.515,-5.07321376835738
2.52,-4.51086910175489
2.525,-4.03193066104296
2.53,-3.62154453055219
2.535,-3.26791916578127
2.54,-2.96160110192284
2.545,-2.69494763287412
2.55,-2.4617350668732
2.555,-2.2568626505169
2.56,-2.07612559786515
2.565,-1.91603906346124
2.57,-1.77370031409972
2.575,-1.64667994302586
2.58,-1.53293541589783
2.585,-1.43074194846626
2.59,-1.33863694014709
2.595,-1.25537508085702
2.6,-1.17989191058731
2.605,-1.11127410836485
2.61,-1.04873516451269
2.615,-0.991595378871059
2.62,-0.939265350240497
2.625,-0.89123229497564
2.63,-0.847048667321044
2.635,-0.806322659614946
2.64,-0.768710243565374
2.645,-0.733908479478556
2.65,-0.701649872443517
2.655,-0.671697596004614
2.66,-0.643841437061122
2.665,-0.617894342382945
2.67,-0.593689468593701
2.675,-0.571077654816449
2.68,-0.549925251240006
2.685,-0.53011224830418
2.69,-0.511530660538897
2.695,-0.494083126736438
2.7,-0.477681694414067
2.705,-0.462246761695902
2.71,-0.447706154015992
2.715,-0.433994316585451
2.72,-0.421051606509056
2.725,-0.408823670889049
2.73,-0.397260899303022
2.735,-0.386317940759977
2.74,-0.375953276680981
2.745,-0.366128842665911
2.75,-0.356809692833656
2.755,-0.347963701391356
2.76,-0.339561296825258
2.765,-0.331575224732071
2.77,-0.323980335844108
2.775,-0.316753396257582
2.78,-0.309872917264191
2.785,-0.303319002521347
2.79,-0.29707321058456
2.795,-0.291118431073848
2.8,-0.285438772960354
2.805,-0.280019463644778
2.81,-0.274846757659958
2.815,-0.2699078539693
2.82,-0.265190820954252
2.825,-0.260684528289596
2.83,-0.256378584997733
2.835,-0.252263283053694
2.84,-0.248329545983389
2.845,-0.244568881959467
2.85,-0.240973340953767
2.855,-0.237535475553069
2.86,-0.234248305087276
2.865,-0.231105282756289
2.87,-0.228100265474861
2.875,-0.225227486183861
2.88,-0.222481528402184
2.885,-0.219857302816595
2.89,-0.217350025727032
2.895,-0.214955199183205
2.9,-0.212668592664357
2.905,-0.210486226168593
2.91,-0.208404354591001
2.915,-0.206419453281326
2.92,-0.204528204682364
2.925,-0.20272748595933
2.93,-0.201014357538946
2.935,-0.199386052484344
2.94,-0.197839966638593
2.945,-0.196373649475803
2.95,-0.194984795604047
2.955,-0.193671236869465
2.96,-0.192430935015118
2.965,-0.191261974852417
2.97,-0.190162557906392
2.975,-0.189130996499482
2.98,-0.188165708241458
2.985,-0.187265210895809
2.99,-0.186428117595413
2.995,-0.185653132382512
3,-0.18493904605006
