"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.00245707219983437
2.005,-0.00246414907767766
2.01,-0.00247119898120969
2.015,-0.00247822249189959
2.02,-0.00248522018735732
2.025,-0.00249219264138763
2.03,-0.00249914042403151
2.035,-0.00250606410160671
2.04,-0.0025129642367607
2.045,-0.00251984138851603
2.05,-0.00252669611229824
2.055,-0.00253352896000048
2.06,-0.00254034048000953
2.065,-0.00254713121725494
2.07,-0.00255390171324568
2.075,-0.00256065250612704
2.08,-0.00256738413069406
2.085,-0.00257409711845522
2.09,-0.00258079199765459
2.095,-0.00258746929332772
2.1,-0.00259412952732675
2.105,-0.00260077321836472
2.11,-0.0026074008820445
2.115,-0.00261401303090893
2.12,-0.00262061017446973
2.125,-0.00262719281924415
2.13,-0.00263376146879351
2.135,-0.00264031662374925
2.14,-0.00264685878185728
2.145,-0.00265338843801557
2.15,-0.00265990608429343
2.155,-0.00266641220997779
2.16,-0.00267290730160117
2.165,-0.00267939184297542
2.17,-0.00268586631522061
2.175,-0.00269233119680175
2.18,-0.00269878696356147
2.185,-0.00270523408874325
2.19,-0.00271167304302509
2.195,-0.00271810429456105
2.2,-0.0027245283089879
2.205,-0.00273094554947825
2.21,-0.00273735647675399
2.215,-0.00274376154912583
2.22,-0.00275016122250971
2.225,-0.00275655595047114
2.23,-0.00276294618423292
2.235,-0.00276933237271949
2.24,-0.00277571496257429
2.245,-0.00278209439819544
2.25,-0.00278847112175019
2.255,-0.00279484557321063
2.26,-0.00280121819037294
2.265,-0.00280758940889213
2.27,-0.0028139596622907
2.275,-0.002820329382003
2.28,-0.00282669899738395
2.285,-0.00283306893574947
2.29,-0.00283943962237268
2.295,-0.00284581148054271
2.3,-0.00285218493155986
2.305,-0.00285856039477709
2.31,-0.00286493828760484
2.315,-0.00287131902555249
2.32,-0.002877703022238
2.325,-0.00288409068941011
2.33,-0.0028904824369811
2.335,-0.00289687867303068
2.34,-0.00290327980384648
2.345,-0.00290968623392406
2.35,-0.00291609836601029
2.355,-0.00292251660109661
2.36,-0.00292894133847306
2.365,-0.00293537297571377
2.37,-0.00294181190871559
2.375,-0.0029482585317183
2.38,-0.00295471323731718
2.385,-0.00296117641648421
2.39,-0.00296764845858255
2.395,-0.00297412975139451
2.4,-0.00298062068112733
2.405,-0.00298712163244693
2.41,-0.00299363298848086
2.415,-0.00300015513083751
2.42,-0.0030066884396351
2.425,-0.00301323329351037
2.43,-0.00301979006963011
2.435,-0.00302635914372012
2.44,-0.00303294089007008
2.445,-0.00303953568156048
2.45,-0.0030461438896723
2.455,-0.00305276588449767
2.46,-0.00305940203476969
2.465,-0.00306605270786924
2.47,-0.00307271826983655
2.475,-0.00307939908539435
2.48,-0.00308609551795748
2.485,-0.00309280792965227
2.49,-0.00309953668132608
2.495,-0.00310628213256188
2.5,-0.00311304464170133
2.505,-0.00311982456584479
2.51,-0.00312662226087742
2.515,-0.00313343808147586
2.52,-0.00314027238112085
2.525,-0.00314712551212031
2.53,-0.00315399782561326
2.535,-0.00316088967157848
2.54,-0.00316780139886539
2.545,-0.00317473335518923
2.55,-0.00318168588715034
2.555,-0.00318865934025155
2.56,-0.00319565405889818
2.565,-0.00320267038641635
2.57,-0.00320970866507812
2.575,-0.00321676923608695
2.58,-0.00322385243961347
2.585,-0.00323095861479157
2.59,-0.00323808809973579
2.595,-0.00324524123155678
2.6,-0.00325241834636126
2.605,-0.00325961977927524
2.61,-0.00326684586444396
2.615,-0.00327409693505507
2.62,-0.00328137332333386
