"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0406425699966364
2.005,-0.0414424272935933
2.01,-0.0422643355304448
2.015,-0.0431089766092653
2.02,-0.0439770622230106
2.025,-0.0448693353696342
2.03,-0.0457865719571294
2.035,-0.0467295825057515
2.04,-0.0476992139541198
2.045,-0.0486963515765056
2.05,-0.0497219210191007
2.055,-0.0507768904637592
2.06,-0.0518622729283124
2.065,-0.0529791287134033
2.07,-0.0541285680064356
2.075,-0.0553117536542952
2.08,-0.0565299041173175
2.085,-0.0577842966181192
2.09,-0.0590762705000123
2.095,-0.0604072308109884
2.1,-0.0617786521306858
2.105,-0.0631920826591676
2.11,-0.0646491485881245
2.115,-0.0661515587767999
2.12,-0.0677011097570841
2.125,-0.0692996910943001
2.13,-0.0709492911327028
2.135,-0.0726520031573664
2.14,-0.0744100320070833
2.145,-0.0762257011761455
2.15,-0.0781014604464948
2.155,-0.0800398940956736
2.16,-0.0820437297304514
2.165,-0.0841158478008462
2.17,-0.0862592918546786
2.175,-0.0884772795988484
2.18,-0.0907732148401308
2.185,-0.0931507003857859
2.19,-0.0956135519925343
2.195,-0.0981658134616755
2.2,-0.100811772988471
2.205,-0.103555980885382
2.21,-0.106403268811742
2.215,-0.109358770656757
2.22,-0.112427945239105
2.225,-0.115616601004451
2.23,-0.118930922922771
2.235,-0.122377501810406
2.24,-0.125963366327716
2.245,-0.129696017932613
2.25,-0.133583469103372
2.255,-0.137634285181738
2.26,-0.141857630229841
2.265,-0.146263317342849
2.27,-0.150861863914282
2.275,-0.155664552413387
2.28,-0.160683497305551
2.285,-0.165931718828164
2.29,-0.171423224427741
2.295,-0.17717309877108
2.3,-0.183197603365996
2.305,-0.189514286968477
2.31,-0.196142108115669
2.315,-0.203101571312013
2.32,-0.210414878612788
2.325,-0.218106098600847
2.33,-0.226201355044123
2.335,-0.23472903786075
2.34,-0.243720039414031
2.345,-0.253208019620873
2.35,-0.263229703897263
2.355,-0.273825218597142
2.36,-0.285038469344441
2.365,-0.296917568533329
2.37,-0.309515319304259
2.375,-0.322889764524576
2.38,-0.337104810749627
2.385,-0.352230938859402
2.39,-0.368346015112757
2.395,-0.385536218804022
2.4,-0.403897105629225
2.405,-0.423534829373344
2.41,-0.444567548742005
2.415,-0.467127051235871
2.42,-0.491360632094617
2.425,-0.517433273756641
2.43,-0.545530180282286
2.435,-0.575859732135215
2.44,-0.608656940057367
2.445,-0.64418749306557
2.45,-0.682752515533562
2.455,-0.724694172760447
2.46,-0.770402294428119
2.465,-0.820322222231017
2.47,-0.874964133341939
2.475,-0.934914147246313
2.48,-1.00084759225855
2.485,-1.07354489265571
2.49,-1.15391064131707
2.495,-1.24299655012763
2.5,-1.34202912583606
2.505,-1.45244310760979
2.51,-1.57592192928492
2.515,-1.71444673857575
2.52,-1.87035581923477
2.525,-2.04641661684568
2.53,-2.2459129496111
2.535,-2.47275035349141
2.54,-2.73158277833882
2.545,-3.0279638246164
2.55,-3.36852496121042
2.555,-3.76118072846193
2.56,-4.21535456548154
2.565,-4.74220324847901
2.57,-5.35477982598393
2.575,-6.06798131269985
2.58,-6.89789384705364
2.585,-7.85955961303026
2.59,-8.96072689773314
2.595,-10.1858014153389
2.6,-11.4588671119409
2.605,-12.5798710785621
2.61,-13.2007556980182
2.615,-13.0336988921544
2.62,-12.1729526479958
2.625,-10.9772331423032
2.63,-9.73561473071215
2.635,-8.58411198368454
2.64,-7.56519317313728
2.645,-6.68100443836993
2.65,-5.91940183782545
2.655,-5.26458846065413
2.66,-4.70109091882856
2.665,-4.21507458918039
2.67,-3.79463058815668
2.675,-3.42968341382356
2.68,-3.11177602041338
2.685,-2.83383285001851
2.69,-2.58993839992808
2.695,-2.37514334269939
2.7,-2.18529992883241
2.705,-2.01692446845621
2.71,-1.86708342384361
2.715,-1.73329949048253
2.72,-1.61347432856002
2.725,-1.50582503586652
2.73,-1.40883190051508
2.735,-1.32119538535372
2.74,-1.24180065730932
2.745,-1.16968828122718
2.75,-1.10402995276743
2.755,-1.04410835477513
2.76,-0.989300392979174
2.765,-0.939063206268851
2.77,-0.892922459802213
2.775,-0.850462520665255
2.78,-0.811318189780293
2.785,-0.775167723602068
2.79,-0.741726927573694
2.795,-0.710744142557212
2.8,-0.681995977294274
2.805,-0.65528366583107
2.81,-0.63042994991422
2.815,-0.607276403559112
2.82,-0.585681131053648
2.825,-0.565516781185613
2.83,-0.546668829951111
2.835,-0.529034091800195
2.84,-0.512519425914403
2.845,-0.49704060933988
2.85,-0.482521353221307
2.855,-0.468892442059546
2.86,-0.456090978982524
2.865,-0.444059722582155
2.87,-0.432746503018082
2.875,-0.422103706893006
2.88,-0.412087821923353
2.885,-0.40265903371097
2.89,-0.393780868005749
2.895,-0.385419872768447
2.9,-0.377545335124069
2.905,-0.370129028961327
2.91,-0.363144989501431
2.915,-0.35656931164495
2.92,-0.350379969321533
2.925,-0.344556653424656
2.93,-0.339080626221043
2.935,-0.333934590389421
2.94,-0.329102571072475
2.945,-0.324569809523897
2.95,-0.320322667104458
2.955,-0.316348538530294
2.96,-0.312635773406591
2.965,-0.309173605193111
2.97,-0.305952086847071
2.975,-0.302962032475382
2.98,-0.30019496440416
2.985,-0.297643065140152
2.99,-0.295299133757151
2.995,-0.293156546292239
3,-0.291209219782161
