"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0290537734726328
2.005,-0.0294547068435197
2.01,-0.0298631749056588
2.015,-0.0302792470696691
2.02,-0.0307029988858697
2.025,-0.0311345120958126
2.03,-0.031573874690919
2.035,-0.0320211809782994
2.04,-0.0324765316539276
2.045,-0.0329400338833224
2.05,-0.0334118013899128
2.055,-0.0338919545512591
2.06,-0.0343806205033627
2.065,-0.0348779332532663
2.07,-0.0353840338001803
2.075,-0.0358990702653997
2.08,-0.0364231980312782
2.085,-0.0369565798895614
2.09,-0.0374993861993866
2.095,-0.0380517950552744
2.1,-0.0386139924654971
2.105,-0.0391861725411808
2.11,-0.039768537696551
2.115,-0.0403612988607569
2.12,-0.0409646757017489
2.125,-0.0415788968626575
2.13,-0.0422042002112578
2.135,-0.0428408331029903
2.14,-0.0434890526582017
2.145,-0.0441491260541758
2.15,-0.0448213308326493
2.155,-0.0455059552234848
2.16,-0.046203298485275
2.165,-0.0469136712636474
2.17,-0.0476373959681342
2.175,-0.0483748071684626
2.18,-0.0491262520112622
2.185,-0.0498920906581426
2.19,-0.0506726967462583
2.195,-0.0514684578724534
2.2,-0.0522797761022358
2.205,-0.0531070685048116
2.21,-0.0539507677155878
2.215,-0.0548113225275677
2.22,-0.0556891985131677
2.225,-0.0565848786781365
2.23,-0.0574988641492548
2.235,-0.0584316748977233
2.24,-0.0593838505001996
2.245,-0.0603559509395483
2.25,-0.0613485574476196
2.255,-0.0623622733923412
2.26,-0.0633977252117782
2.265,-0.0644555633977662
2.27,-0.0655364635321075
2.275,-0.0666411273783263
2.28,-0.067770284032371
2.285,-0.068924691135711
2.29,-0.0701051361546357
2.295,-0.0713124377297514
2.3,-0.0725474471000194
2.305,-0.0738110496058755
2.31,-0.0751041662764217
2.315,-0.0764277555059435
2.32,-0.0777828148253894
2.325,-0.07917038277491
2.33,-0.0805915408839349
2.335,-0.0820474157657952
2.34,-0.0835391813343354
2.345,-0.0850680611506093
2.35,-0.0866353309082976
2.355,-0.0882423210671208
2.36,-0.0898904196443098
2.365,-0.091581075174862
2.37,-0.0933157998521979
2.375,-0.0950961728617719
2.38,-0.0969238439210372
2.385,-0.0988005370404283
2.39,-0.100728054520997
2.395,-0.102708281205705
2.4,-0.104743189002774
2.405,-0.106834841700867
2.41,-0.108985400097664
2.415,-0.111197127465126
2.42,-0.113472395376573
2.425,-0.115813689923102
2.43,-0.118223618348942
2.435,-0.120704916138049
2.44,-0.123260454587018
2.445,-0.125893248902462
2.45,-0.128606466864361
2.455,-0.131403438100646
2.46,-0.134287664022298
2.465,-0.137262828472802
2.47,-0.140332809150653
2.475,-0.143501689869146
2.48,-0.146773773723612
2.485,-0.150153597242997
2.49,-0.153645945609877
2.495,-0.157255869041296
2.5,-0.160988700431637
2.505,-0.164850074368778
2.51,-0.168845947645869
2.515,-0.172982621403248
2.52,-0.177266765048749
2.525,-0.181705442119757
2.53,-0.1863061382674
2.535,-0.19107679156199
2.54,-0.196025825340014
2.545,-0.201162183836405
2.55,-0.206495370872319
2.555,-0.212035491897918
2.56,-0.217793299722987
2.565,-0.223780244305181
2.57,-0.230008527007585
2.575,-0.23649115978414
2.58,-0.243242029804584
2.585,-0.250275970090252
2.59,-0.257608836799567
2.595,-0.265257593878466
2.6,-0.273240405877538
2.605,-0.2815767398357
2.61,-0.290287477241807
2.615,-0.299395037212186
2.62,-0.30892351216672
2.625,-0.318898817450556
2.63,-0.329348856536879
2.635,-0.340303703661308
2.64,-0.351795805985193
2.645,-0.363860207668081
2.65,-0.376534798554968
2.655,-0.389860590558409
2.66,-0.403882025247373
2.665,-0.418647316653464
2.67,-0.434208833882064
2.675,-0.450623528784423
2.68,-0.467953414722969
2.685,-0.48626610336431
2.69,-0.505635407485791
2.695,-0.526142019007979
2.7,-0.547874272899591
2.705,-0.570929009280889
2.71,-0.595412548022301
2.715,-0.621441792451731
2.72,-0.649145481512847
2.725,-0.678665612936801
2.73,-0.710159063797691
2.735,-0.743799439333737
2.74,-0.779779186272815
2.745,-0.818312013274416
2.75,-0.859635668700039
2.755,-0.904015135007051
2.76,-0.951746309942886
2.765,-1.00316025778644
2.77,-1.05862812962507
2.775,-1.11856687067164
2.78,-1.18344585567475
2.785,-1.25379462151643
2.79,-1.3302119003562
2.795,-1.41337619875834
2.8,-1.50405822022362
2.805,-1.6031354932224
2.81,-1.7116096479789
2.815,-1.83062688811798
2.82,-1.96150233524855
2.825,-2.10574909627768
2.83,-2.26511313042596
2.835,-2.44161529915392
2.84,-2.63760240372843
2.845,-2.85580960858573
2.85,-3.0994375041614
2.855,-3.37224832664916
2.86,-3.67868776555554
2.865,-4.02404175905354
2.87,-4.41464240012991
2.875,-4.85814478315953
2.88,-5.36390954051159
2.885,-5.94354813548374
2.89,-6.61172786619329
2.895,-7.38740775494911
2.9,-8.29582138872124
2.905,-9.37182240275962
2.91,-10.6658720603734
2.915,-12.2555424203611
2.92,-14.2695897940195
2.925,-16.9433174366929
2.93,-20.7475859036934
2.935,-26.2265966249681
2.94,-26.4393740754697
2.945,-20.956182044411
2.95,-17.1249157924695
2.955,-14.4466958965637
2.96,-12.4383988097781
2.965,-10.8588062502463
2.97,-9.57637239719151
2.975,-8.51209453209494
2.98,-7.61474211026762
2.985,-6.84905199777839
2.99,-6.18959354486967
2.995,-5.61734226124255
3,-5.11764812562243
