"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.106702209542087
2.005,-0.113587941147297
2.01,-0.12117486971165
2.015,-0.129559134180346
2.02,-0.138853647298293
2.025,-0.149191688062048
2.03,-0.160731414234003
2.035,-0.173661571251844
2.04,-0.188208769718038
2.045,-0.2046468374309
2.05,-0.223308940556883
2.055,-0.244603437437962
2.06,-0.269034816211095
2.065,-0.297231633085578
2.07,-0.329984203890679
2.075,-0.368296052580564
2.08,-0.413455018730484
2.085,-0.467132847107022
2.09,-0.53152664148347
2.095,-0.609562782186041
2.1,-0.705195489605752
2.105,-0.823851036338766
2.11,-0.973099492541333
2.115,-1.1636868121718
2.12,-1.41114367966082
2.125,-1.73832175775595
2.13,-2.17940999716487
2.135,-2.78623363557497
2.14,-3.63770803199626
2.145,-4.85190479105991
2.15,-6.5896136853666
2.155,-8.96731992953978
2.16,-11.4046225627427
2.165,-11.4233547026762
2.17,-9.03654796981965
2.175,-6.70673983322364
2.18,-5.00138942491843
2.185,-3.80482083089406
2.19,-2.96028003611157
2.195,-2.35354720309842
2.2,-1.90855180229334
2.205,-1.57534140025625
2.21,-1.32088191880685
2.215,-1.1230023755645
2.22,-0.966556771794682
2.225,-0.841004874020048
2.23,-0.738876412042896
2.235,-0.65478342920268
2.24,-0.584775203717542
2.245,-0.525909902763877
2.25,-0.475965384110255
2.255,-0.433240745707002
2.26,-0.396418005557145
2.265,-0.364464251439133
2.27,-0.336561442721794
2.275,-0.312055381189555
2.28,-0.290418154017883
2.285,-0.271220169033507
2.29,-0.254109104164059
2.295,-0.238793898752692
2.3,-0.22503246178964
2.305,-0.212622148636423
2.31,-0.201392319922496
2.315,-0.191198480829584
2.32,-0.181917630308292
2.325,-0.173444544197149
2.33,-0.165688784768414
2.335,-0.158572279457904
2.34,-0.152027348668038
2.345,-0.145995090210956
2.35,-0.140424048753115
2.355,-0.135269114364446
2.36,-0.130490606277607
2.365,-0.126053507177084
2.37,-0.121926820458267
2.375,-0.11808302843302
2.38,-0.114497633789057
2.385,-0.111148770017366
2.39,-0.108016869216791
2.395,-0.105084377827619
2.4,-0.102335512558334
2.405,-0.0997560501446287
2.41,-0.0973331456888594
2.415,-0.0950551752267748
2.42,-0.092911598899552
2.425,-0.0908928417066302
2.43,-0.0889901893048332
2.435,-0.0871956967228029
2.44,-0.0855021081930962
2.445,-0.083902786580953
2.45,-0.0823916511186376
2.455,-0.080963122346531
2.46,-0.0796120733228605
2.465,-0.0783337862991502
2.47,-0.0771239141724069
2.475,-0.0759784461211194
2.48,-0.0748936769137646
2.485,-0.0738661794477771
2.49,-0.0728927801358321
2.495,-0.0719705368067869
2.5,-0.0710967188316488
2.505,-0.0702687892220209
2.51,-0.0694843884802098
2.515,-0.0687413200076892
2.52,-0.0680375369022798
2.525,-0.0673711299948781
2.53,-0.06674031699443
2.535,-0.066143432625249
2.54,-0.0655789196542969
2.545,-0.0650453207177008
2.55,-0.0645412708662184
2.555,-0.0640654907581664
2.56,-0.063616780436331
2.565,-0.0631940136323271
2.57,-0.0627961325478633
2.575,-0.0624221430678682
2.58,-0.0620711103651235
2.585,-0.0617421548602436
2.59,-0.0614344485045937
2.595,-0.0611472113570051
2.6,-0.0608797084281238
2.605,-0.060631246768776
2.61,-0.0604011727810954
2.615,-0.0601888697332649
2.62,-0.0599937554604529
2.625,-0.0598152802363617
2.63,-0.0596529248011094
2.635,-0.0595061985326586
2.64,-0.0593746377500448
2.645,-0.0592578041379124
2.65,-0.0591552832826605
2.655,-0.059066683311526
2.66,-0.058991633626631
2.665,-0.058929783726788
2.67,-0.0588808021105275
2.675,-0.0588443752543504
2.68,-0.058820206660856
2.685,-0.0588080159718119
2.69,-0.058807538141779
2.695,-0.05881852266829
2.7,-0.0588407328750548
2.705,-0.0588739452450401
2.71,-0.058917948800631
2.715,-0.0589725445285377
2.72,-0.0590375448474397
2.725,-0.0591127731167715
2.73,-0.0591980631854789
2.735,-0.059293258980009
2.74,-0.0593982141313138
2.745,-0.0595127916411394
2.75,-0.0596368635885473
2.755,-0.059770310878322
2.76,-0.0599130230337701
2.765,-0.0600648980374091
2.77,-0.0602258422242946
2.775,-0.0603957702342404
2.78,-0.0605746050308925
2.785,-0.0607622779979694
2.79,-0.0609587291256349
2.795,-0.0611639073034267
2.8,-0.0613777707402631
2.805,-0.0616002875373544
2.81,-0.0618314364462612
2.815,-0.0620712078521941
2.82,-0.0623196050325824
2.825,-0.0625766457527274
2.83,-0.0628423642748465
2.835,-0.0631168138739298
2.84,-0.0634000699737421
2.845,-0.063692234038466
2.85,-0.0639934383788897
2.855,-0.064303852053514
2.86,-0.0646236880593443
2.865,-0.0649532120044299
2.87,-0.0652927524170977
2.875,-0.0656427127472343
2.88,-0.0660035849068263
2.885,-0.066375963810902
2.89,-0.0667605617151627
2.895,-0.0671582200684132
2.9,-0.0675699149539171
2.905,-0.0679967498637013
2.91,-0.0684399265779448
2.915,-0.0689006817698785
2.92,-0.0693801749165787
2.925,-0.0698793147565305
2.93,-0.0703985209047086
2.935,-0.0709374386093525
2.94,-0.0714946590075147
2.945,-0.0720675362392278
2.95,-0.0726522140270972
2.955,-0.0732439472080715
2.96,-0.0738377124681046
2.965,-0.0744289751164138
2.97,-0.0750143873671696
2.975,-0.0755922058888772
2.98,-0.0761623331823903
2.985,-0.0767260359329517
2.99,-0.0772854889517041
2.995,-0.0778433024876593
3,-0.0784021391258785
