"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0155669182313978
2.005,-0.015671344306653
2.01,-0.0157773704333703
2.015,-0.0158850276974521
2.02,-0.0159943480136308
2.025,-0.016105364156281
2.03,-0.0162181097915348
2.035,-0.0163326195107606
2.04,-0.0164489288654729
2.045,-0.0165670744037366
2.05,-0.0166870937081642
2.055,-0.0168090254355527
2.06,-0.0169329093582775
2.065,-0.0170587864074943
2.07,-0.0171866987182808
2.075,-0.0173166896767903
2.08,-0.0174488039695317
2.085,-0.017583087634884
2.09,-0.0177195881169698
2.095,-0.0178583543219872
2.1,-0.017999436677184
2.105,-0.0181428871925342
2.11,-0.0182887595253496
2.115,-0.01843710904793
2.12,-0.0185879929184088
2.125,-0.0187414701550308
2.13,-0.0188976017139839
2.135,-0.0190564505710215
2.14,-0.0192180818070762
2.145,-0.0193825626980923
2.15,-0.0195499628092951
2.155,-0.0197203540942097
2.16,-0.0198938109986129
2.165,-0.020070410569801
2.17,-0.0202502325713874
2.175,-0.0204333596040493
2.18,-0.0206198772324871
2.185,-0.020809874119044
2.19,-0.0210034421643266
2.195,-0.0212006766552705
2.2,-0.0214016764211297
2.205,-0.0216065439978354
2.21,-0.0218153858012535
2.215,-0.0220283123099206
2.22,-0.0222454382578219
2.225,-0.0224668828378449
2.23,-0.0226927699166327
2.235,-0.0229232282615106
2.24,-0.0231583917803137
2.245,-0.0233983997749192
2.25,-0.0236433972094383
2.255,-0.0238935349939646
2.26,-0.0241489702850085
2.265,-0.0244098668036374
2.27,-0.0246763951726461
2.275,-0.0249487332739506
2.28,-0.0252270666276746
2.285,-0.0255115887944011
2.29,-0.0258025018022557
2.295,-0.0261000166005336
2.3,-0.0264043535418133
2.305,-0.0267157428945917
2.31,-0.0270344253886611
2.315,-0.027360652795634
2.32,-0.0276946885472421
2.325,-0.0280368083941919
2.33,-0.0283873011086772
2.335,-0.0287464692338603
2.34,-0.0291146298839422
2.345,-0.0294921155987027
2.35,-0.0298792752568766
2.355,-0.0302764750529094
2.36,-0.0306840995422476
2.365,-0.031102552760622
2.37,-0.0315322594234182
2.375,-0.0319736662116845
2.38,-0.0324272431519889
2.385,-0.0328934850980107
2.39,-0.0333729133225259
2.395,-0.0338660772291897
2.4,-0.0343735561945855
2.405,-0.0348959615518806
2.41,-0.0354339387286545
2.415,-0.0359881695527071
2.42,-0.03655937474104
2.425,-0.0371483165887659
2.43,-0.0377558018764775
2.435,-0.0383826850164847
2.44,-0.0390298714605707
2.445,-0.0396983213943134
2.45,-0.0403890537457298
2.455,-0.0411031505391073
2.46,-0.0418417616282624
2.465,-0.0426061098473706
2.47,-0.043397496621867
2.475,-0.0442173080867811
2.48,-0.045067021765492
2.485,-0.0459482138680969
2.49,-0.046862567275749
2.495,-0.0478118802853559
2.5,-0.0487980761982649
2.505,-0.0498232138469304
2.51,-0.0508894991655507
2.515,-0.0519992979242256
2.52,-0.0531551497618095
2.525,-0.0543597836704468
2.53,-0.0556161351053358
2.535,-0.0569273649168835
2.54,-0.0582968803295904
2.545,-0.0597283582235308
2.55,-0.0612257710106379
2.555,-0.0627934154403268
2.56,-0.064435944718077
2.565,-0.0661584043778368
2.57,-0.0679662724160352
2.575,-0.0698655042732653
2.58,-0.0718625833415422
2.585,-0.0739645777833074
2.59,-0.0761792045757811
2.595,-0.078514901845316
2.6,-0.0809809107352885
2.605,-0.0835873682641497
2.61,-0.0863454128842946
2.615,-0.0892673047565082
2.62,-0.0923665631199378
2.625,-0.0956581235772952
2.63,-0.0991585186465771
2.635,-0.102886085575374
2.64,-0.106861206198666
2.645,-0.111106584580072
2.65,-0.115647569352994
2.655,-0.120512529127132
2.66,-0.125733291118255
2.665,-0.131345655385775
2.67,-0.137389999841703
2.675,-0.143911994679173
2.68,-0.150963449259792
2.685,-0.158603320061072
2.69,-0.166898915367536
2.695,-0.175927341458471
2.7,-0.185777246726507
2.705,-0.196550935297716
2.71,-0.208366941462961
2.715,-0.221363182141015
2.72,-0.235700838842732
2.725,-0.251569166201453
2.73,-0.26919148529743
2.735,-0.288832702693836
2.74,-0.310808808817572
2.745,-0.335498964282583
2.75,-0.363360997711074
2.755,-0.394951439564044
2.76,-0.430951641929552
2.765,-0.472202141645591
2.77,-0.519748300354245
2.775,-0.574901532391434
2.78,-0.63932231338312
2.785,-0.715133965113378
2.79,-0.805080430365467
2.795,-0.912747664486106
2.8,-1.04287811202104
2.805,-1.20182296186544
2.81,-1.39820057092096
2.815,-1.6438664444049
2.82,-1.95535787000005
2.825,-2.35606567640577
2.83,-2.87952148140266
2.835,-3.57438514207128
2.84,-4.51194500959345
2.845,-5.79681360072551
2.85,-7.57777995728055
2.855,-10.0217751633188
2.86,-12.9438290521468
2.865,-14.1291974018401
2.87,-11.8357947345312
2.875,-9.03577408059539
2.88,-6.89154556223384
2.885,-5.3426503160598
2.89,-4.21939944818575
2.895,-3.39261536429599
2.9,-2.77371250808268
2.905,-2.30257398411906
2.91,-1.93809217409796
2.915,-1.65181029034636
2.92,-1.42375351684334
2.925,-1.23969672437364
2.93,-1.08936161277267
2.935,-0.965215477970005
2.94,-0.86166168645485
2.945,-0.774487384446382
2.95,-0.700481882500809
2.955,-0.6371695755522
2.96,-0.582620645407391
2.965,-0.535315230660483
2.97,-0.494044796877502
2.975,-0.457839698255458
2.98,-0.425915393975818
2.985,-0.397632100135837
2.99,-0.372464222427628
2.995,-0.349976982214835
3,-0.329808385042004
