"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0256638287867433
2.005,-0.0259461884242116
2.01,-0.0262301773707867
2.015,-0.0265158677155604
2.02,-0.0268033313277444
2.025,-0.0270926398716815
2.03,-0.0273838648220026
2.035,-0.0276770774789691
2.04,-0.0279723489839772
2.045,-0.0282697503352677
2.05,-0.028569352403826
2.055,-0.0288712259495059
2.06,-0.029175441637345
2.065,-0.0294820700541454
2.07,-0.02979118172526
2.075,-0.0301028471316662
2.08,-0.0304171367272481
2.085,-0.0307341209564204
2.09,-0.0310538702719688
2.095,-0.0313764551532374
2.1,-0.0317019461245874
2.105,-0.0320304137741896
2.11,-0.0323619287731629
2.115,-0.0326965618950251
2.12,-0.0330343840355207
2.125,-0.0333754662328207
2.13,-0.0337198796881036
2.135,-0.0340676957865189
2.14,-0.0344189861185853
2.145,-0.0347738225020047
2.15,-0.0351322770039105
2.155,-0.0354944219635825
2.16,-0.0358603300156394
2.165,-0.0362300741136987
2.17,-0.036603727554564
2.175,-0.036981364002918
2.18,-0.0373630575165684
2.185,-0.0377488825722307
2.19,-0.0381389140919234
2.195,-0.038533227469906
2.2,-0.0389318986002774
2.205,-0.0393350039051839
2.21,-0.0397426203636875
2.215,-0.0401548255413062
2.22,-0.0405716976202604
2.225,-0.0409933154304132
2.23,-0.0414197584809974
2.235,-0.0418511069930662
2.24,-0.0422874419327407
2.245,-0.0427288450453036
2.25,-0.0431753988900806
2.255,-0.0436271868762424
2.26,-0.0440842932994641
2.265,-0.0445468033795059
2.27,-0.0450148032987804
2.275,-0.0454883802418534
2.28,-0.0459676224359837
2.285,-0.0464526191926994
2.29,-0.0469434609504467
2.295,-0.047440239318341
2.3,-0.0479430471210708
2.305,-0.0484519784449731
2.31,-0.0489671286853192
2.315,-0.0494885945948604
2.32,-0.0500164743336549
2.325,-0.0505508675202348
2.33,-0.0510918752841391
2.335,-0.0516396003198538
2.34,-0.0521941469422211
2.345,-0.0527556211433573
2.35,-0.0533241306510941
2.355,-0.05389978498905
2.36,-0.0544826955383177
2.365,-0.0550729756008866
2.37,-0.0556707404647775
2.375,-0.0562761074710128
2.38,-0.0568891960824336
2.385,-0.0575101279544517
2.39,-0.0581390270077583
2.395,-0.0587760195031054
2.4,-0.0594212341181679
2.405,-0.0600748020265882
2.41,-0.0607368569792751
2.415,-0.0614075353879773
2.42,-0.062086976411284
2.425,-0.0627753220430557
2.43,-0.0634727172033999
2.435,-0.0641793098322625
2.44,-0.0648952509857276
2.445,-0.0656206949350814
2.45,-0.0663557992687776
2.455,-0.0671007249973412
2.46,-0.0678556366613589
2.465,-0.0686207024425825
2.47,-0.06939609427836
2.475,-0.0701819879793546
2.48,-0.0709785633507904
2.485,-0.0717860043172449
2.49,-0.0726044990511611
2.495,-0.0734342401051584
2.5,-0.074275424548307
2.505,-0.0751282541064333
2.51,-0.0759929353066739
2.515,-0.076869679626321
2.52,-0.0777587036461634
2.525,-0.0786602292084698
2.53,-0.079574483579703
2.535,-0.0805016996182132
2.54,-0.0814421159469922
2.545,-0.0823959771317026
2.55,-0.0833635338641324
2.555,-0.0843450431512781
2.56,-0.085340768510218
2.565,-0.0863509801689725
2.57,-0.0873759552735646
2.575,-0.0884159781014819
2.58,-0.0894713402817381
2.585,-0.0905423410217723
2.59,-0.091629287341415
2.595,-0.0927324943141417
2.6,-0.0938522853158895
2.605,-0.0949889922816466
2.61,-0.0961429559701241
2.615,-0.0973145262367629
2.62,-0.0985040623153431
2.625,-0.0997119331085268
2.63,-0.100938517487596
2.635,-0.102184204601732
2.64,-0.10344939419716
2.645,-0.10473449694645
2.65,-0.10603993478842
2.655,-0.107366141278893
2.66,-0.108713561952773
2.665,-0.110082654697773
2.67,-0.111473890140239
2.675,-0.112887752043463
2.68,-0.114324737718927
2.685,-0.11578535845092
2.69,-0.117270139935047
2.695,-0.118779622731018
2.7,-0.120314362730313
2.705,-0.121874931639181
2.71,-0.123461917477566
2.715,-0.125075925094467
2.72,-0.126717576700349
2.725,-0.128387512417195
2.73,-0.130086390846838
2.735,-0.131814889658192
2.74,-0.133573706194088
2.745,-0.135363558098399
2.75,-0.137185183964176
2.755,-0.139039344003534
2.76,-0.140926820740116
2.765,-0.142848419724866
2.77,-0.144804970276043
2.775,-0.146797326244252
2.78,-0.148826366803464
2.785,-0.150892997268942
2.79,-0.152998149943031
2.795,-0.155142784989832
2.8,-0.157327891339815
2.805,-0.159554487625443
2.81,-0.161823623148946
2.815,-0.164136378883386
2.82,-0.166493868508287
2.825,-0.168897239481003
2.83,-0.171347674145233
2.835,-0.173846390877909
2.84,-0.176394645276012
2.845,-0.17899373138463
2.85,-0.181644982967894
2.855,-0.184349774824255
2.86,-0.18710952414782
2.865,-0.18992569193737
2.87,-0.192799784454845
2.875,-0.195733354735097
2.88,-0.198728004148809
2.885,-0.201785384020511
2.89,-0.20490719730373
2.895,-0.208095200315381
2.9,-0.211351204531562
2.905,-0.214677078446987
2.91,-0.218074749500458
2.915,-0.221546206068714
2.92,-0.22509349953123
2.925,-0.228718746408538
2.93,-0.232424130576743
2.935,-0.236211905561068
2.94,-0.240084396911254
2.945,-0.244044004661856
2.95,-0.248093205880458
2.955,-0.252234557307099
2.96,-0.256470698088087
2.965,-0.260804352607743
2.97,-0.265238333421521
2.975,-0.269775544294197
2.98,-0.274418983346871
2.985,-0.279171746316701
2.99,-0.284037029933358
2.995,-0.289018135416369
3,-0.294118472097609
