"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0208568561738166
2.005,-0.0210211075926224
2.01,-0.0211863673407007
2.015,-0.0213526440937769
2.02,-0.0215199466383471
2.025,-0.0216882838729824
2.03,-0.0218576648096682
2.035,-0.0220280985751347
2.04,-0.0221995944122308
2.045,-0.022372161681293
2.05,-0.022545809861548
2.055,-0.0227205485525245
2.06,-0.0228963874754944
2.065,-0.0230733364749153
2.07,-0.023251405519904
2.075,-0.0234306047057266
2.08,-0.0236109442553052
2.085,-0.0237924345207532
2.09,-0.0239750859849135
2.095,-0.0241589092629286
2.1,-0.0243439151038291
2.105,-0.024530114392141
2.11,-0.0247175181495142
2.115,-0.0249061375363702
2.12,-0.025095983853577
2.125,-0.0252870685441276
2.13,-0.0254794031948686
2.135,-0.0256729995382275
2.14,-0.0258678694539696
2.145,-0.0260640249709732
2.15,-0.0262614782690414
2.155,-0.0264602416807161
2.16,-0.026660327693135
2.165,-0.0268617489498928
2.17,-0.0270645182529504
2.175,-0.0272686485645333
2.18,-0.0274741530090972
2.185,-0.0276810448752813
2.19,-0.0278893376179045
2.195,-0.0280990448599866
2.2,-0.0283101803947886
2.205,-0.0285227581878849
2.21,-0.0287367923792542
2.215,-0.0289522972854067
2.22,-0.0291692874015302
2.225,-0.0293877774036701
2.23,-0.0296077821509228
2.235,-0.0298293166876795
2.24,-0.0300523962458791
2.245,-0.0302770362472947
2.25,-0.0305032523058524
2.255,-0.0307310602299826
2.26,-0.0309604760249791
2.265,-0.0311915158954312
2.27,-0.0314241962476318
2.275,-0.0316585336920582
2.28,-0.0318945450458676
2.285,-0.0321322473354287
2.29,-0.0323716577988688
2.295,-0.032612793888691
2.3,-0.0328556732743703
2.305,-0.0331003138450369
2.31,-0.0333467337121489
2.315,-0.033594951212234
2.32,-0.0338449849096372
2.325,-0.0340968535993198
2.33,-0.0343505763096852
2.335,-0.0346061723054532
2.34,-0.0348636610905444
2.345,-0.0351230624110385
2.35,-0.0353843962581262
2.355,-0.0356476828711371
2.36,-0.0359129427405783
2.365,-0.0361801966112257
2.37,-0.036449465485252
2.375,-0.036720770625382
2.38,-0.0369941335581115
2.385,-0.0372695760769314
2.39,-0.0375471202456368
2.395,-0.0378267884016314
