"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0193602360564282
2.005,-0.0194557212479716
2.01,-0.019558050539449
2.015,-0.0196671171429962
2.02,-0.0197828156733526
2.025,-0.0199050421547596
2.03,-0.0200336940287241
2.035,-0.0201686701626171
2.04,-0.0203098708591612
2.045,-0.020457197866823
2.05,-0.0206105543910825
2.055,-0.0207698451066837
2.06,-0.0209349761707735
2.065,-0.0211058552370843
2.07,-0.0212823914710448
2.075,-0.0214644955659331
2.08,-0.0216520797600842
2.085,-0.0218450578551305
2.09,-0.022043345235347
2.095,-0.0222468588880999
2.1,-0.022455517425453
2.105,-0.0226692411069207
2.11,-0.0228879518634364
2.115,-0.023111573322531
2.12,-0.0233400308347988
2.125,-0.0235732515016212
2.13,-0.0238111642042459
2.135,-0.0240536996342007
2.14,-0.024300790325125
2.145,-0.0245523706860207
2.15,-0.0248083770359865
2.155,-0.02506874764045
2.16,-0.0253334227489716
2.165,-0.0256023446346392
2.17,-0.0258754576350985
2.175,-0.0261527081952759
2.18,-0.0264340449118387
2.185,-0.0267194185794417
2.19,-0.0270087822388096
2.195,-0.0273020912266949
2.2,-0.0275993032278048
2.205,-0.0279003783287061
2.21,-0.0282052790737991
2.215,-0.0285139705234076
2.22,-0.0288264203140493
2.225,-0.0291425987209591
2.23,-0.0294624787229108
2.235,-0.0297860360694369
2.24,-0.0301132493504861
2.245,-0.0304441000686176
2.25,-0.0307785727137898
2.255,-0.0311166548408367
2.26,-0.0314583371497012
2.265,-0.0318036135685133
2.27,-0.032152481339594
2.275,-0.0325049411085004
2.28,-0.0328609970161629
2.285,-0.033220656794236
2.29,-0.0335839318637521
2.295,-0.0339508374371962
2.3,-0.0343213926240651
2.305,-0.0346956205400721
2.31,-0.0350735484200682
2.315,-0.0354552077347972
2.32,-0.0358406343116327
2.325,-0.0362298684593876
2.33,-0.0366229550973165
2.335,-0.0370199438884815
2.34,-0.037420889377576
2.345,-0.037825851133338
2.35,-0.038234893895731
2.355,-0.0386480877280096
2.36,-0.0390655081738141
2.365,-0.0394872364194706
2.37,-0.0399133594616213
2.375,-0.0403439702804011
2.38,-0.0407791680182401
2.385,-0.0412190581645542
2.39,-0.0416637527464351
2.395,-0.0421133705255513
2.4,-0.0425680372014197
2.405,-0.0430278856212702
2.41,-0.0434930559966465
2.415,-0.0439636961269929
2.42,-0.0444399616303934
2.425,-0.0449220161816796
2.43,-0.0454100317581249
2.435,-0.0459041888929276
2.44,-0.0464046769367041
2.445,-0.0469116943272261
2.45,-0.0474254488676198
2.455,-0.0479461580132476
2.46,-0.0484740491675367
2.465,-0.0490093599869415
2.47,-0.0495523386953533
2.475,-0.0501032444081036
2.48,-0.050662347465904
2.485,-0.0512299297788967
2.49,-0.0518062851810844
2.495,-0.0523917197954197
2.5,-0.0529865524097335
2.505,-0.0535911148638209
2.51,-0.0542057524478637
2.515,-0.0548308243125003
2.52,-0.0554667038906932
2.525,-0.0561137793317301
2.53,-0.0567724539474775
2.535,-0.0574431466712036
2.54,-0.0581262925290918
2.545,-0.0588223431247223
2.55,-0.0595317671366242
2.555,-0.0602550508291579
2.56,-0.0609926985767743
2.565,-0.0617452334018811
2.57,-0.062513197526357
2.575,-0.0632971529368041
2.58,-0.0640976819636213
2.585,-0.0649153878738655
2.59,-0.0657508954779142
2.595,-0.0666048517498437
2.6,-0.0674779264614159
2.605,-0.0683708128294941
2.61,-0.0692842281766883
2.615,-0.0702189146048811
2.62,-0.07117563968131
2.625,-0.0721551971367527
2.63,-0.0731584075752161
2.635,-0.0741861191945756
2.64,-0.0752392085173018
2.645,-0.0763185811304984
2.65,-0.0774251724341498
2.655,-0.0785599483964892
2.66,-0.079723906315074
2.665,-0.0809180755821671
2.67,-0.0821435184526073
2.675,-0.0834013308123256
2.68,-0.0846926429453165
2.685,-0.0860186202966191
2.69,-0.0873804642286606
2.695,-0.0887794127678553
2.7,-0.090216741338173
2.705,-0.091693763477903
2.71,-0.0932118315354645
2.715,-0.0947723373396593
2.72,-0.0963767128393496
2.725,-0.0980264307068454
2.73,-0.0997230048989236
2.735,-0.101467991168556
2.74,-0.103262987519933
2.745,-0.105109634598427
2.75,-0.107009616006534
2.755,-0.108964658535744
2.76,-0.110976532303492
2.765,-0.113047050783208
2.77,-0.115178070714379
2.775,-0.117371491878307
2.78,-0.11962925672393
2.785,-0.12195334982659
2.79,-0.124345797161145
2.795,-0.12680866516904
2.8,-0.129344059597237
2.805,-0.13195412408481
2.81,-0.134641038471027
2.815,-0.137407016796332
2.82,-0.140254304965246
2.825,-0.143185178037517
2.83,-0.146201937111047
2.835,-0.149306905756993
2.84,-0.15250242596427
2.845,-0.155790853547055
2.85,-0.159174552965272
2.855,-0.162655891503945
2.86,-0.166237232753138
2.865,-0.169920929325641
2.87,-0.173709314744759
2.875,-0.177604694429618
2.88,-0.181609335699923
2.885,-0.185725456716615
2.89,-0.189955214269005
2.895,-0.194300690312791
2.9,-0.198763877157069
2.905,-0.203346661191969
2.91,-0.208050805041627
2.915,-0.212877928020608
2.92,-0.2178294847648
2.925,-0.222906741900925
2.93,-0.228110752612032
2.935,-0.233442328949606
2.94,-0.238902011736664
2.945,-0.244490037900322
2.95,-0.250206305067038
2.955,-0.256050333249474
2.96,-0.262021223450474
2.965,-0.268117613007878
2.97,-0.274337627503505
2.975,-0.280678829061621
2.98,-0.287138160866287
2.985,-0.293711887734417
2.99,-0.3003955325919
2.995,-0.307183808714953
3,-0.314070547618352
