"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0265783134707394
2.005,-0.0266941531079506
2.01,-0.0268137585339915
2.015,-0.0269371441898255
2.02,-0.0270643240764627
2.025,-0.0271953117685971
2.03,-0.0273301204282082
2.035,-0.0274687628180672
2.04,-0.0276112513151965
2.045,-0.0277575979242711
2.05,-0.0279078142909475
2.055,-0.0280619117151546
2.06,-0.0282199011643396
2.065,-0.0283817932866635
2.07,-0.0285475984241699
2.075,-0.0287173266259077
2.08,-0.0288909876610337
2.085,-0.029068591031882
2.09,-0.0292501459870389
2.095,-0.0294356615343548
2.1,-0.0296251464539922
2.105,-0.0298186093114437
2.11,-0.0300160584705393
2.115,-0.0302175021064831
2.12,-0.0304229482188656
2.125,-0.030632404644715
2.13,-0.0308458790715425
2.135,-0.0310633790504163
2.14,-0.031284912009056
2.145,-0.0315104852649731
2.15,-0.0317401060386196
2.155,-0.0319737814665863
2.16,-0.0322115186148565
2.165,-0.0324533244920893
2.17,-0.0326992060629622
2.175,-0.0329491702615692
2.18,-0.0332032240049013
2.185,-0.0334613742063553
2.19,-0.0337236277893462
2.195,-0.0339899917009958
2.2,-0.0342604729258821
2.205,-0.034535078499896
2.21,-0.034813815524183
2.215,-0.0350966911791884
2.22,-0.0353837127388021
2.225,-0.0356748875845962
2.23,-0.0359702232202233
2.235,-0.0362697272858688
2.24,-0.0365734075728849
2.245,-0.0368812720385296
2.25,-0.0371933288208442
2.255,-0.0375095862536708
2.26,-0.0378300528818325
2.265,-0.0381547374764449
2.27,-0.0384836490504182
2.275,-0.0388167968740899
2.28,-0.0391541904910595
2.285,-0.039495839734189
2.29,-0.0398417547417877
2.295,-0.0401919459740026
2.3,-0.0405464242293808
2.305,-0.040905200661672
2.31,-0.0412682867968103
2.315,-0.0416356945501347
2.32,-0.0420074362438425
2.325,-0.0423835246246395
2.33,-0.0427639728816844
2.335,-0.0431487946647273
2.34,-0.0435380041025568
2.345,-0.0439316158216612
2.35,-0.0443296449651942
2.355,-0.0447321072122088
2.36,-0.0451390187971801
2.365,-0.0455503965298182
2.37,-0.0459662578151985
2.375,-0.0463866206741933
2.38,-0.0468115037642257
2.385,-0.0472409264003552
2.39,-0.0476749085767114
2.395,-0.048113470988265
2.4,-0.048556635052961
2.405,-0.049004422934217
2.41,-0.0494568575638101
2.415,-0.0499139626651288
2.42,-0.0503757627768501
2.425,-0.0508422832770032
2.43,-0.0513135504074566
2.435,-0.0517895912988494
2.44,-0.0522704339959271
2.445,-0.052756107483372
2.45,-0.053246641712069
2.455,-0.0537420676258403
2.46,-0.0542424171887016
2.465,-0.0547477234125647
2.47,-0.0552580203854932
2.475,-0.0557733433004607
2.48,-0.0562937284846527
2.485,-0.0568192134293028
2.49,-0.0573498368201178
2.495,-0.0578856385682368
2.5,-0.0584266598418227
2.505,-0.0589729430982274
2.51,-0.0595245321167899
2.515,-0.0600814720322503
2.52,-0.0606438093688223
2.525,-0.0612115920749411
2.53,-0.0617848695586428
2.535,-0.0623636927236997
2.54,-0.0629481140063974
2.545,-0.0635381874131038
2.55,-0.0641339685585209
2.555,-0.0647355147047461
2.56,-0.06534288480106
2.565,-0.0659561395245592
2.57,-0.0665753413215635
2.575,-0.067200554449866
2.58,-0.0678318450218343
2.585,-0.0684692810483879
2.59,-0.0691129324838297
2.595,-0.069762871271632
2.6,-0.0704191713911126
2.605,-0.071081908905082
2.61,-0.0717511620084332
2.615,-0.0724270110777481
2.62,-0.0731095387219121
2.625,-0.0737988298337372
2.63,-0.074494971642668
2.635,-0.0751980537685582
2.64,-0.0759081682765402
2.645,-0.0766254097330375
2.65,-0.0773498752629074
2.655,-0.0780816646077749
2.66,-0.0788208801855459
2.665,-0.079567627151174
2.67,-0.0803220134586303
2.675,-0.0810841499242123
2.68,-0.0818541502910897
2.685,-0.0826321312952294
2.69,-0.0834182127326408
2.695,-0.084212517528044
2.7,-0.0850151718049057
2.705,-0.0858263049569517
2.71,-0.0866460497211339
2.715,-0.0874745422521052
2.72,-0.0883119221982058
2.725,-0.0891583327790348
2.73,-0.090013920864595
2.735,-0.090878837056065
2.74,-0.0917532357682209
2.745,-0.0926372753135525
2.75,-0.0935311179880839
2.755,-0.0944349301589433
2.76,-0.0953488823537485
2.765,-0.0962731493517518
2.77,-0.0972079102768842
2.775,-0.0981533486926683
2.78,-0.0991096526990322
2.785,-0.100077015031106
2.79,-0.101055633159983
2.795,-0.102045709395519
2.8,-0.10304745099118
2.805,-0.104061070250994
2.81,-0.105086784638626
2.815,-0.106124816888611
2.82,-0.107175395119814
2.825,-0.108238752951114
2.83,-0.109315129619346
2.835,-0.110404770099593
2.84,-0.111507925227785
2.845,-0.11262485182572
2.85,-0.113755812828468
2.855,-0.114901077414268
2.86,-0.116060921136874
2.865,-0.117235626060479
2.87,-0.118425480897162
2.875,-0.119630781146958
2.88,-0.120851829240536
2.885,-0.122088934684571
2.89,-0.123342414209798
2.895,-0.124612591921807
2.9,-0.125899799454597
2.905,-0.127204376126928
2.91,-0.128526669101522
2.915,-0.129867033547063
2.92,-0.131225832803158
2.925,-0.132603438548135
2.93,-0.134000230969842
2.935,-0.135416598939362
2.94,-0.136852940187714
2.945,-0.138309661485606
2.95,-0.139787178826154
2.955,-0.14128591761066
2.96,-0.142806312837467
2.965,-0.144348809293844
2.97,-0.145913861750995
2.975,-0.147501935162092
2.98,-0.149113504863448
2.985,-0.150749056778758
2.99,-0.152409087626423
2.995,-0.154094105129968
3,-0.155804628231506
