"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0404695309682167
2.005,-0.0412944185000727
2.01,-0.0421432027801429
2.015,-0.0430167246192633
2.02,-0.0439158636871748
2.025,-0.044841540654489
2.03,-0.0457947194725415
2.035,-0.0467764098012342
2.04,-0.0477876695959555
2.045,-0.0488296078655082
2.05,-0.0499033876140007
2.055,-0.0510102289807652
2.06,-0.0521514125936393
2.065,-0.0533282831522033
2.07,-0.0545422532590458
2.075,-0.0557948075188153
2.08,-0.0570875069264731
2.085,-0.058421993568188
2.09,-0.0597999956603981
2.095,-0.0612233329550279
2.1,-0.0626939225412862
2.105,-0.0642137850775073
2.11,-0.0657850514896272
2.115,-0.0674099701763233
2.12,-0.0690909147648848
2.125,-0.0708303924660818
2.13,-0.0726310530811525
2.135,-0.0744956987193385
2.14,-0.0764272942903097
2.145,-0.0784289788424238
2.15,-0.0805040778251067
2.155,-0.0826561163618377
2.16,-0.0848888336293292
2.165,-0.0872061984488577
2.17,-0.0896124262069692
2.175,-0.092111997235804
2.18,-0.0947096767976163
2.185,-0.0974105368342647
2.19,-0.100219979660727
2.195,-0.103143763802195
2.2,-0.106188032197502
2.205,-0.109359343017816
2.21,-0.112664703379152
2.215,-0.116111606260853
2.22,-0.119708070980216
2.225,-0.123462687616814
2.23,-0.127384665829184
2.235,-0.131483888562908
2.24,-0.135770971212981
2.245,-0.140257326876871
2.25,-0.144955238418582
2.255,-0.149877938160363
2.26,-0.155039696129549
2.265,-0.160455917915576
2.27,-0.166143253339264
2.275,-0.172119717306743
2.28,-0.178404824417162
2.285,-0.185019739122042
2.29,-0.191987443499699
2.295,-0.199332925017842
2.3,-0.207083387018782
2.305,-0.215268485084553
2.31,-0.223920592935048
2.315,-0.233075102094931
2.32,-0.242770760251433
2.325,-0.253050054035422
2.33,-0.263959642917285
2.335,-0.27555085204695
2.34,-0.287880233220811
2.345,-0.301010204772358
2.35,-0.31500978311291
2.355,-0.329955420962325
2.36,-0.345931970090609
2.365,-0.363033789743806
2.37,-0.381366025980488
2.375,-0.401046092059001
2.38,-0.422205385990901
2.385,-0.444991288663663
2.39,-0.469569494851133
2.395,-0.496126740370517
2.4,-0.524874002111509
2.405,-0.556050264292435
2.41,-0.589926964897565
2.415,-0.626813261848763
2.42,-0.66706229037864
2.425,-0.711078622988191
2.43,-0.759327193456924
2.435,-0.812344009423042
2.44,-0.870749057681671
2.445,-0.935261907253745
2.45,-1.00672064357753
2.455,-1.08610493088571
2.46,-1.17456420952569
2.465,-1.27345230471931
2.47,-1.38437007195069
2.475,-1.50921815765334
2.48,-1.6502625481633
2.485,-1.81021636659914
2.49,-1.992342432726
2.495,-2.20058254211075
2.5,-2.43972143504229
2.505,-2.7155963229032
2.51,-3.03536715081963
2.515,-3.40786943061142
2.52,-3.84408212580441
2.525,-4.35776061885713
2.53,-4.96631420696689
2.535,-5.69205654058795
2.54,-6.56403410105441
2.545,-7.62073128668789
2.55,-8.91392018007623
2.555,-10.5128984476406
2.56,-12.5013485007669
2.565,-14.9173665424551
2.57,-17.3855278156626
2.575,-18.219295650955
2.58,-16.4338900989746
2.585,-13.9139525251699
2.59,-11.7092537855753
2.595,-9.92866374214941
2.6,-8.49724325550454
2.605,-7.33544968722127
2.61,-6.38195731506251
2.615,-5.59146973800881
2.62,-4.93030662996488
2.625,-4.37299983286746
2.63,-3.89996034024379
2.635,-3.4958971475309
2.64,-3.14872695805121
2.645,-2.84880364850142
2.65,-2.5883603292654
2.655,-2.36109665658375
2.66,-2.16186814596379
2.665,-1.98644890132307
2.67,-1.83134829669277
2.675,-1.69366798747314
2.68,-1.57098948464316
2.685,-1.46128514902852
2.69,-1.36284729630965
2.695,-1.27423141454413
2.7,-1.19421045135795
2.705,-1.12173783487338
2.71,-1.05591742199515
2.715,-0.995978968354291
2.72,-0.941258019882641
2.725,-0.891179360812628
2.73,-0.845243334376619
2.735,-0.803014493486554
2.74,-0.764112148768346
2.745,-0.728202467672288
2.75,-0.694991846393191
2.755,-0.664221330123496
2.76,-0.635661899871647
2.765,-0.609110478119126
2.77,-0.58438653282286
2.775,-0.561329181136444
2.78,-0.539794711843973
2.785,-0.519654459748358
2.79,-0.500792976817047
2.795,-0.483106454299994
2.8,-0.46650135772255
2.805,-0.450893242955566
2.81,-0.436205726743514
2.815,-0.422369589341413
2.82,-0.409321990442935
2.825,-0.397005782511499
2.83,-0.385368908063255
2.835,-0.37436386948393
2.84,-0.363947261662419
2.845,-0.354079359150678
2.85,-0.344723750759418
2.855,-0.33584701551086
2.86,-0.327418434725114
2.865,-0.319409735741468
2.87,-0.311794863391553
2.875,-0.30454977586548
2.88,-0.29765226205937
2.885,-0.291081777875258
2.89,-0.284819299272254
2.895,-0.27884719014953
2.9,-0.273149083384102
2.905,-0.267709773555521
2.91,-0.262515120070253
2.915,-0.257551959555001
2.92,-0.252808026523995
2.925,-0.248271881443177
2.93,-0.243932845416972
2.935,-0.239780940812936
2.94,-0.235806837217758
2.945,-0.232001802186732
2.95,-0.228357656308735
2.955,-0.224866732161549
2.96,-0.221521836778766
2.965,-0.218316217290233
2.97,-0.215243529434188
2.975,-0.21229780867091
2.98,-0.209473443655976
2.985,-0.206765151856099
2.99,-0.204167957112672
2.995,-0.201677168977821
3,-0.199288363665169
