"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.021049314738981
2.005,-0.0211979909231567
2.01,-0.0213465266702969
2.015,-0.0214949518037591
2.02,-0.0216432960071214
2.025,-0.0217915888411038
2.03,-0.0219398597618839
2.035,-0.022088138140957
2.04,-0.0222364532867128
2.045,-0.0223848344680032
2.05,-0.0225333109398957
2.055,-0.0226819119719308
2.06,-0.0228306668791966
2.065,-0.0229796050565976
2.07,-0.0231287560167472
2.075,-0.023278149431971
2.08,-0.0234278151810163
2.085,-0.0235777834010651
2.09,-0.0237280845459036
2.095,-0.0238787494510415
2.1,-0.0240298094068597
2.105,-0.0241812962409961
2.11,-0.0243332424113427
2.115,-0.0244856811112973
2.12,-0.0246386463892643
2.125,-0.0247921732846164
2.13,-0.0249462979828738
2.135,-0.0251010579932811
2.14,-0.0252564923526024
2.145,-0.0254126418597276
2.15,-0.0255695493464993
2.155,-0.0257272599913848
2.16,-0.0258858216839132
2.165,-0.0260452854494776
2.17,-0.0262057059462431
2.175,-0.0263671420484424
2.18,-0.0265296575336256
2.185,-0.0266933218955036
2.19,-0.0268582113092431
2.195,-0.0270244097825839
2.2,-0.0271920105346355
2.205,-0.027361117655028
2.21,-0.0275318481100798
2.215,-0.0277043341809878
2.22,-0.0278787264430556
2.225,-0.0280551974266947
2.23,-0.0282339461433149
2.235,-0.0284152037161476
2.24,-0.0285992404331981
2.245,-0.0287863746452103
2.25,-0.0289769840775864
2.255,-0.0291715203293375
2.26,-0.0293705276204968
2.265,-0.0295746672620508
2.27,-0.0297847499200012
2.275,-0.0300017786236073
2.28,-0.0302270067774673
2.285,-0.0304620174228868
2.29,-0.0307088330569894
2.295,-0.0309700701347856
2.3,-0.0312491601126993
2.305,-0.0315506715934329
2.31,-0.0318807895211195
2.315,-0.0322480443981966
2.32,-0.032664450554883
2.325,-0.033147334407433
2.33,-0.0337223671725018
2.335,-0.0344287828423084
2.34,-0.0353287372371933
2.345,-0.03652490745696
2.35,-0.0381953998851216
2.355,-0.0406671498422055
2.36,-0.0445794463158293
2.365,-0.0512613363180667
2.37,-0.0635309483940417
2.375,-0.0861427060038128
2.38,-0.115463111675686
2.385,-0.115288625979177
2.39,-0.087435218704009
2.395,-0.0662780889845986
2.4,-0.0546771037966134
2.405,-0.0483303511780259
2.41,-0.0446605211431576
2.415,-0.042420907289915
2.42,-0.0409966493267018
2.425,-0.0400661187608687
2.43,-0.0394505043321981
