"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0209345955047784
2.005,-0.0212701418370592
2.01,-0.0216185559896042
2.015,-0.0219806037608152
2.02,-0.0223571063931966
2.025,-0.0227489455397756
2.03,-0.0231570687530834
2.035,-0.0235824955602288
2.04,-0.0240263241964906
2.045,-0.0244897390799647
2.05,-0.0249740191216505
2.055,-0.0254805469790457
2.06,-0.0260108193772383
2.065,-0.0265664586401167
2.07,-0.0271492255960196
2.075,-0.027761034047626
2.08,-0.0284039670258174
2.085,-0.029080295082478
2.09,-0.029792496918818
2.095,-0.0305432826951381
2.1,-0.0313356204264645
2.105,-0.0321727659382858
2.11,-0.0330582969399433
2.115,-0.0339961518731564
2.12,-0.0349906743133593
2.125,-0.0360466638464933
2.13,-0.0371694345196386
2.135,-0.038364882177226
2.14,-0.039639562255237
2.145,-0.0410007799248017
2.15,-0.042456694869317
2.155,-0.0440164434641265
2.16,-0.0456902817298084
2.165,-0.0474897531805503
2.17,-0.0494278866293909
2.175,-0.0515194301963079
2.18,-0.0537811292642929
2.185,-0.0562320580374006
2.19,-0.0588940167991438
2.195,-0.0617920101194455
2.2,-0.0649548253431335
2.205,-0.0684157360265451
2.21,-0.0722133620026732
2.215,-0.0763927270484266
2.22,-0.081006567539026
2.225,-0.0861169621899753
2.23,-0.0917973756999551
2.235,-0.098135240261957
2.24,-0.105235242070676
2.245,-0.113223540387824
2.25,-0.12225323230765
2.255,-0.132511499027874
2.26,-0.144229047524587
2.265,-0.157692723695351
2.27,-0.173262564716549
2.275,-0.191395152926732
2.28,-0.212676051681154
2.285,-0.237865547855858
2.29,-0.267964243292574
2.295,-0.304308837892375
2.3,-0.348714826667777
2.305,-0.40369381776773
2.31,-0.472792620872374
2.315,-0.561136710371011
2.32,-0.676327444545498
2.325,-0.829972641513437
2.33,-1.0403937050907
2.335,-1.33760790397135
2.34,-1.77290785955477
2.345,-2.43820833759541
2.35,-3.50758276935808
2.355,-5.33576708127683
2.36,-8.74994402435399
2.365,-16.4197915649974
2.37,-17.0194499390528
2.375,-9.04548417286571
2.38,-5.54583819920376
2.385,-3.67838937265981
2.39,-2.58414522925099
2.395,-1.90058844482761
2.4,-1.45102404776845
2.405,-1.14232551671337
2.41,-0.92248773574258
2.415,-0.761014685985141
2.42,-0.63924188859881
2.425,-0.545307455593527
2.43,-0.471418027138051
2.435,-0.41230081672082
2.44,-0.364294521382771
2.445,-0.324797499804286
2.45,-0.29192268541428
2.455,-0.264275902190588
2.46,-0.240809950800961
2.465,-0.220726428980937
2.47,-0.203408335776387
2.475,-0.188372956873057
2.48,-0.175238375138248
2.485,-0.163699300276396
2.49,-0.153509378217193
2.495,-0.144468074858047
2.5,-0.136410834654225
2.505,-0.129201614359775
2.51,-0.122727160284015
2.515,-0.116892579835498
2.52,-0.111617883971556
2.525,-0.106835265120497
2.53,-0.102486937352981
2.535,-0.0985234100819183
2.54,-0.0949020987456281
2.545,-0.0915861994250325
2.55,-0.0885437716655765
2.555,-0.0857469866554642
2.56,-0.0831715075721255
2.565,-0.0807959762112537
2.57,-0.0786015855747855
2.575,-0.0765717223604483
2.58,-0.074691666590603
2.585,-0.072948338179152
2.59,-0.0713300822383303
2.595,-0.0698264865028021
2.6,-0.068428225494998
2.605,-0.0671269270468772
2.61,-0.0659150575856676
2.615,-0.0647858232276838
2.62,-0.0637330842379368
2.625,-0.062751280829672
2.63,-0.0618353686169913
2.635,-0.0609807623108477
2.64,-0.0601832864761877
2.645,-0.0594391323553799
2.65,-0.0587448199181525
2.655,-0.0580971644267316
2.66,-0.0574932469121226
2.665,-0.0569303880467978
2.67,-0.0564061249741618
2.675,-0.0559181907181488
2.68,-0.0554644958494633
2.685,-0.0550431121299367
2.69,-0.0546522578945635
2.695,-0.0542902849632181
2.7,-0.0539556669016332
2.705,-0.0536469884748566
2.71,-0.0533629361566202
2.715,-0.0531022895753723
2.72,-0.05286391379277
2.725,-0.0526467523232029
2.73,-0.0524498208141157
2.735,-0.0522722013166034
2.74,-0.0521130370839978
2.745,-0.0519715278436149
2.75,-0.0518469254930075
2.755,-0.0517385301777864
2.76,-0.0516456867127964
2.765,-0.0515677813127243
2.77,-0.0515042386019831
2.775,-0.0514545188768998
2.78,-0.0514181155962508
2.785,-0.0513945530786323
2.79,-0.0513833843874276
2.795,-0.0513841893861822
2.8,-0.0513965729488661
2.805,-0.051420163311171
2.81,-0.0514546105502803
2.815,-0.0514995851818946
2.82,-0.0515547768642776
2.825,-0.0516198932002085
2.83,-0.0516946586284868
2.835,-0.0517788133974966
2.84,-0.0518721126140016
2.845,-0.0519743253610155
2.85,-0.0520852338791161
2.855,-0.0522046328061084
2.86,-0.0523323284703923
2.865,-0.0524681382338333
2.87,-0.052611889880214
2.875,-0.0527634210458417
2.88,-0.052922578689023
2.885,-0.0530892185955
2.89,-0.0532632049171572
2.895,-0.053444409741547
2.9,-0.05363271268995
2.905,-0.0538280005419213
2.91,-0.0540301668844328
2.915,-0.0542391117838269
2.92,-0.0544547414790182
2.925,-0.0546769680944438
2.93,-0.0549057093714024
2.935,-0.0551408884165288
2.94,-0.0553824334662565
2.945,-0.0556302776661978
2.95,-0.0558843588644432
2.955,-0.0561446194178803
2.96,-0.0564110060107009
2.965,-0.0566834694843065
2.97,-0.0569619646778735
2.975,-0.0572464502789376
2.98,-0.0575368886833782
2.985,-0.0578332458641996
2.99,-0.0581354912486169
2.995,-0.0584435976029152
3,-0.0587575409246384
