"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0144484380035751
2.005,-0.0145162980062492
2.01,-0.0145850404808129
2.015,-0.0146546808207274
2.02,-0.0147252347526869
2.025,-0.0147967183493907
2.03,-0.0148691480428521
2.035,-0.014942540638282
2.04,-0.0150169133285794
2.045,-0.0150922837094677
2.05,-0.0151686697952696
2.055,-0.0152460900354173
2.06,-0.0153245633316686
2.065,-0.0154041090561367
2.07,-0.0154847470700944
2.075,-0.0155664977436787
2.08,-0.0156493819764684
2.085,-0.0157334212190424
2.09,-0.015818637495524
2.095,-0.0159050534271993
2.1,-0.0159926922572447
2.105,-0.0160815778766399
2.11,-0.0161717348513274
2.115,-0.0162631884506704
2.12,-0.016355964677316
2.125,-0.0164500902985201
2.13,-0.0165455928790118
2.135,-0.0166425008155023
2.14,-0.0167408433729309
2.145,-0.016840650722516
2.15,-0.0169419539817892
2.155,-0.0170447852566404
2.16,-0.0171491776855531
2.165,-0.0172551654861424
2.17,-0.0173627840041471
2.175,-0.01747206976498
2.18,-0.0175830605280542
2.185,-0.0176957953440096
2.19,-0.0178103146150435
2.195,-0.0179266601585239
2.2,-0.018044875274098
2.205,-0.0181650048145311
2.21,-0.0182870952604644
2.215,-0.0184111947994238
2.22,-0.0185373534092873
2.225,-0.0186656229465053
2.23,-0.0187960572394536
2.235,-0.0189287121871597
2.24,-0.019063645863865
2.245,-0.0192009186297191
2.25,-0.0193405932481024
2.255,-0.0194827350099926
2.26,-0.0196274118658459
2.265,-0.0197746945655799
2.27,-0.0199246568071566
2.275,-0.0200773753944071
2.28,-0.0202329304047926
2.285,-0.0203914053677402
2.29,-0.0205528874544022
2.295,-0.0207174676796459
2.3,-0.0208852411171534
2.305,-0.0210563071286769
2.31,-0.0212307696084591
2.315,-0.0214087372440123
2.32,-0.0215903237944888
2.325,-0.0217756483880471
2.33,-0.0219648358396497
2.335,-0.0221580169909697
2.34,-0.0223553290741322
2.345,-0.0225569161012355
2.35,-0.0227629292817522
2.355,-0.02297352747011
2.36,-0.0231888776459522
2.365,-0.0234091554298604
2.37,-0.0236345456375065
2.375,-0.0238652428755757
2.38,-0.0241014521830679
2.385,-0.0243433897219636
2.39,-0.0245912835216336
2.395,-0.0248453742818061
2.4,-0.0251059162394188
2.405,-0.0253731781051968
2.41,-0.0256474440764192
2.415,-0.0259290149330557
2.42,-0.0262182092251395
2.425,-0.0265153645601751
2.43,-0.0268208390002793
2.435,-0.02713501257986
2.44,-0.0274582889558276
2.445,-0.0277910972036941
2.45,-0.0281338937744455
2.455,-0.0284871646288195
2.46,-0.0288514275675087
2.465,-0.0292272347781454
2.47,-0.0296151756222662
2.475,-0.0300158796884431
2.48,-0.0304300201409215
2.485,-0.0308583173968447
2.49,-0.0313015431692852
2.495,-0.03176052491821
2.5,-0.0322361507569271
2.505,-0.0327293748679583
2.51,-0.0332412234894819
2.515,-0.0337728015419296
2.52,-0.0343252999739442
2.525,-0.0349000039180969
2.53,-0.0354983017597053
2.535,-0.0361216952371431
2.54,-0.0367718107095594
2.545,-0.037450411748326
2.55,-0.0381594132324552
2.555,-0.0389008971562524
2.56,-0.0396771303903481
2.565,-0.0404905846761539
2.57,-0.0413439591795395
2.575,-0.0422402059839384
2.58,-0.0431825589676533
2.585,-0.0441745665870411
2.59,-0.0452201291793671
2.595,-0.0463235415093541
2.6,-0.0474895414164055
2.605,-0.0487233655797186
2.61,-0.050030813612867
2.615,-0.051418321935832
2.62,-0.0528930491609395
2.625,-0.0544629750829378
2.63,-0.0561370157988271
2.635,-0.0579251580212458
2.64,-0.0598386163175875
2.645,-0.0618900178407505
2.65,-0.0640936201627709
2.655,-0.0664655691395944
2.66,-0.0690242054038349
2.665,-0.0717904302076092
2.67,-0.0747881440608004
2.675,-0.0780447751204968
2.68,-0.0815919188418195
2.685,-0.0854661163488646
2.69,-0.0897098068090501
2.695,-0.0943724994628289
2.7,-0.0995122248084907
2.705,-0.105197343088892
2.71,-0.111508813555549
2.715,-0.118543062706737
2.72,-0.126415637756392
2.725,-0.135265898799782
2.73,-0.145263098155641
2.735,-0.156614331239043
2.74,-0.169575040010425
2.745,-0.184463038477715
2.75,-0.201677458520761
2.755,-0.221724661069819
2.76,-0.245254148248159
2.765,-0.273109053875189
2.77,-0.306398230151057
2.775,-0.346600878924253
2.78,-0.395721119158166
2.785,-0.456520628131942
2.79,-0.532875700328174
2.795,-0.630336288397484
2.8,-0.757018337354748
2.805,-0.925051949572523
2.81,-1.1529539511581
2.815,-1.46948443994026
2.82,-1.91959301476397
2.825,-2.57190357646709
2.83,-3.51999916207477
2.835,-4.83727977960437
2.84,-6.34249899529474
2.845,-7.12052022025347
2.85,-6.33475273756393
2.855,-4.84678289585653
2.86,-3.54997162681143
2.865,-2.6150920965526
2.87,-1.96929530041992
2.875,-1.5214716834698
2.88,-1.20490156931821
2.885,-0.975792834274887
2.89,-0.806032536915788
2.895,-0.67745115490545
2.9,-0.578098802717053
2.905,-0.499948554338092
2.91,-0.43749022891428
2.915,-0.386861027085243
2.92,-0.345299058899329
2.925,-0.310793167588569
2.93,-0.281854048142403
2.935,-0.257361713184188
2.94,-0.236461935339362
2.945,-0.218494699525038
2.95,-0.202943954594388
2.955,-0.189401780602349
2.96,-0.177542470236903
2.965,-0.167103531822491
2.97,-0.157871593082346
2.975,-0.149671820813768
2.98,-0.142359894208937
2.985,-0.135815854416915
2.99,-0.129939347602075
2.995,-0.124645913493923
3,-0.119864065824723
