"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0172678865563368
2.005,-0.0173675417933827
2.01,-0.0174678044319204
2.015,-0.0175686780968655
2.02,-0.0176701664702355
2.025,-0.0177722732914841
2.03,-0.0178750023578345
2.035,-0.0179783575246175
2.04,-0.0180823427056298
2.045,-0.0181869618734703
2.05,-0.0182922190599124
2.055,-0.0183981183562461
2.06,-0.0185046639136653
2.065,-0.0186118599436337
2.07,-0.0187197107182489
2.075,-0.0188282205706458
2.08,-0.0189373938953713
2.085,-0.019047235148782
2.09,-0.0191577488494395
2.095,-0.0192689395785158
2.1,-0.0193808119802079
2.105,-0.019493370762143
2.11,-0.0196066206957983
2.115,-0.0197205666169317
2.12,-0.0198352134260097
2.125,-0.0199505660886416
2.13,-0.02006662963602
2.135,-0.0201834091653679
2.14,-0.0203009098403922
2.145,-0.0204191368917356
2.15,-0.0205380956174383
2.155,-0.0206577913834157
2.16,-0.0207782296239226
2.165,-0.0208994158420298
2.17,-0.0210213556101176
2.175,-0.0211440545703592
2.18,-0.0212675184352137
2.185,-0.0213917529879312
2.19,-0.0215167640830607
2.195,-0.0216425576469554
2.2,-0.0217691396782962
2.205,-0.0218965162486065
2.21,-0.0220246935027954
2.215,-0.0221536776596802
2.22,-0.0222834750125254
2.225,-0.0224140919296024
2.23,-0.0225455348547191
2.235,-0.0226778103078071
2.24,-0.0228109248854536
2.245,-0.0229448852614929
2.25,-0.0230796981875699
2.255,-0.0232153704937289
2.26,-0.0233519090889919
2.265,-0.0234893209619616
2.27,-0.0236276131814128
2.275,-0.0237667928968947
2.28,-0.0239068673393548
2.285,-0.0240478438217415
2.29,-0.0241897297396355
2.295,-0.024332532571882
2.3,-0.0244762598812114
2.305,-0.0246209193149017
2.31,-0.0247665186054079
2.315,-0.0249130655710329
2.32,-0.0250605681165752
2.325,-0.0252090342339966
2.33,-0.0253584720031108
2.335,-0.0255088895922469
2.34,-0.0256602952589369
2.345,-0.025812697350621
2.35,-0.025966104305336
2.355,-0.026120524652425
2.36,-0.0262759670132514
2.365,-0.0264324401019162
