"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0140005107419467
2.005,-0.0140586627141315
2.01,-0.0141174691011779
2.015,-0.0141769364349572
2.02,-0.0142370713474405
2.025,-0.0142978805727355
2.03,-0.0143593709492062
2.035,-0.014421549421639
2.04,-0.0144844230434871
2.045,-0.0145479989791671
2.05,-0.0146122845064369
2.055,-0.0146772870188287
2.06,-0.0147430140281673
2.065,-0.0148094731671697
2.07,-0.0148766721921044
2.075,-0.0149446189855446
2.08,-0.015013321559204
2.085,-0.0150827880568575
2.09,-0.0151530267573534
2.095,-0.0152240460777148
2.1,-0.0152958545763392
2.105,-0.0153684609563154
2.11,-0.0154418740688044
2.115,-0.0155161029165654
2.12,-0.0155911566575784
2.125,-0.0156670446087802
2.13,-0.0157437762499203
2.135,-0.0158213612275502
2.14,-0.0158998093591217
2.145,-0.0159791306372495
2.15,-0.0160593352340791
2.155,-0.0161404335058167
2.16,-0.0162224359974079
2.165,-0.0163053534473691
2.17,-0.0163891967927696
2.175,-0.0164739771744046
2.18,-0.0165597059421131
2.185,-0.0166463946602973
2.19,-0.0167340551136219
2.195,-0.0168226993129064
2.2,-0.0169123395012171
2.205,-0.0170029881601824
2.21,-0.0170946580165108
2.215,-0.0171873620487487
2.22,-0.0172811134942647
2.225,-0.0173759258564911
2.23,-0.0174718129124092
2.235,-0.0175687887203108
2.24,-0.0176668676278417
2.245,-0.0177660642803186
2.25,-0.0178663936293575
2.255,-0.0179678709418172
2.26,-0.0180705118090733
2.265,-0.0181743321566145
2.27,-0.0182793482540126
2.275,-0.0183855767252666
2.28,-0.0184930345595093
2.285,-0.0186017391221436
2.29,-0.0187117081663814
2.295,-0.0188229598452322
2.3,-0.0189355127239422
2.305,-0.0190493857929178
2.31,-0.0191645984811418
2.315,-0.0192811706701299
2.32,-0.0193991227083987
2.325,-0.0195184754265331
2.33,-0.0196392501528487
2.335,-0.019761468729654
2.34,-0.0198851535301821
2.345,-0.0200103274762073
2.35,-0.0201370140563589
2.355,-0.0202652373451941
2.36,-0.0203950220230434
2.365,-0.020526393396688
2.37,-0.0206593774208717
2.375,-0.0207940007207384
2.38,-0.0209302906151777
2.385,-0.0210682751411914
2.39,-0.021207983079268
2.395,-0.0213494439798489
2.4,-0.0214926881909402
2.405,-0.0216377468869137
2.41,-0.0217846520985577
2.415,-0.0219334367444422
2.42,-0.0220841346636861
2.425,-0.0222367806501383
2.43,-0.0223914104881378
2.435,-0.0225480609898214
2.44,-0.0227067700341733
