"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.00243088496583225
2.005,-0.00243768049351335
2.01,-0.00244445483526395
2.015,-0.00245120848172343
2.02,-0.00245794192028116
2.025,-0.00246465563511122
2.03,-0.00247135010721099
2.035,-0.0024780258144493
2.04,-0.00248468323157993
2.045,-0.00249132283031109
2.05,-0.00249794507931689
2.055,-0.00250455044427597
2.06,-0.00251113938792064
2.065,-0.00251771237006196
2.07,-0.00252426984762345
2.075,-0.00253081227468164
2.08,-0.00253734010249299
2.085,-0.00254385377953058
2.09,-0.00255035375152267
2.095,-0.00255684046147388
2.1,-0.00256331434970473
2.105,-0.00256977585388926
2.11,-0.00257622540906464
2.115,-0.00258266344769291
2.12,-0.00258909039966094
2.125,-0.00259550669233639
2.13,-0.0026019127505802
2.135,-0.00260830899678519
2.14,-0.0026146958508992
2.145,-0.00262107373046268
2.15,-0.00262744305062313
2.155,-0.00263380422418239
2.16,-0.0026401576615995
2.165,-0.00264650377104473
2.17,-0.00265284295840723
2.175,-0.00265917562732789
2.18,-0.00266550217922917
2.185,-0.00267182301333537
2.19,-0.00267813852670254
2.195,-0.00268444911424351
2.2,-0.00269075516875204
2.205,-0.00269705708092206
2.21,-0.00270335523938243
2.215,-0.00270965003071618
2.22,-0.00271594183948272
2.225,-0.00272223104824387
2.23,-0.00272851803758215
2.235,-0.00273480318613748
2.24,-0.00274108687061486
2.245,-0.00274736946580459
2.25,-0.0027536513446267
2.255,-0.0027599328781251
2.26,-0.00276621443551488
2.265,-0.00277249638418035
2.27,-0.00277877908971071
2.275,-0.00278506291592035
2.28,-0.0027913482248594
2.285,-0.00279763537684562
2.29,-0.0028039247304788
2.295,-0.00281021664265911
2.3,-0.00281651146861122
2.305,-0.00282280956190261
2.31,-0.0028291112744542
2.315,-0.00283541695657889
2.32,-0.00284172695697386
2.325,-0.00284804162276109
2.33,-0.00285436129949603
2.335,-0.002860686331184
2.34,-0.00286701706030718
2.345,-0.00287335382782462
2.35,-0.00287969697321082
2.355,-0.00288604683445574
2.36,-0.00289240374809466
2.365,-0.0028987680492121
2.37,-0.00290514007146683
2.375,-0.00291152014711219
2.38,-0.00291790860699506
2.385,-0.00292430578059451
2.39,-0.002930711996014
2.395,-0.00293712758001717
2.4,-0.00294355285803161
2.405,-0.00294998815416626
2.41,-0.00295643379122878
