"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0151271908422187
2.005,-0.0151908210744775
2.01,-0.0152549066679437
2.015,-0.015319451213522
2.02,-0.015384458322685
2.025,-0.0154499316276708
2.03,-0.0155158747816682
2.035,-0.015582291459027
2.04,-0.0156491853554549
2.045,-0.015716560188213
2.05,-0.015784419696324
2.055,-0.0158527676407597
2.06,-0.015921607804652
2.065,-0.0159909439934938
2.07,-0.0160607800353307
2.075,-0.0161311197809773
2.08,-0.0162019671042032
2.085,-0.0162733259019541
2.09,-0.0163452000945413
2.095,-0.0164175936258545
2.1,-0.0164905104635577
2.105,-0.0165639545993077
2.11,-0.016637930048946
2.115,-0.016712440852712
2.12,-0.0167874910754563
2.125,-0.0168630848068411
2.13,-0.0169392261615459
2.135,-0.0170159192794884
2.14,-0.0170931683260218
2.145,-0.0171709774921556
2.15,-0.0172493509947676
2.155,-0.0173282930768072
2.16,-0.0174078080075182
2.165,-0.0174879000826486
2.17,-0.0175685736246649
2.175,-0.0176498329829693
2.18,-0.0177316825341206
2.185,-0.0178141266820462
2.19,-0.0178971698582676
2.195,-0.0179808165221064
2.2,-0.0180650711609205
2.205,-0.0181499382903162
2.21,-0.0182354224543779
2.215,-0.0183215282258844
2.22,-0.0184082602065371
2.225,-0.0184956230271843
2.23,-0.0185836213480479
2.235,-0.0186722598589593
2.24,-0.0187615432795726
2.245,-0.0188514763596049
2.25,-0.0189420638790671
2.255,-0.0190333106484956
2.26,-0.0191252215091824
2.265,-0.0192178013334107
2.27,-0.0193110550246965
2.275,-0.0194049875180172
2.28,-0.019499603780054
2.285,-0.0195949088094291
2.29,-0.0196909076369506
2.295,-0.0197876053258517
2.3,-0.0198850069720319
2.305,-0.0199831177043067
2.31,-0.0200819426846449
2.315,-0.0201814871084243
2.32,-0.0202817562046801
2.325,-0.0203827552363432
2.33,-0.0204844895005069
2.335,-0.0205869643286662
2.34,-0.0206901850869845
2.345,-0.0207941571765374
2.35,-0.020898886033574
2.355,-0.0210043771297753
2.36,-0.0211106359725195
2.365,-0.0212176681051301
2.37,-0.0213254791071491
2.375,-0.021434074594597
2.38,-0.0215434602202469
2.385,-0.0216536416738789
2.39,-0.0217646246825495
2.395,-0.0218764150108746
2.4,-0.0219890184612954
2.405,-0.0221024408743428
2.41,-0.0222166881289267
2.415,-0.0223317661426062
2.42,-0.022447680871859
2.425,-0.0225644383123879
2.43,-0.0226820444993655
2.435,-0.0228005055077577
2.44,-0.0229198274525723
2.445,-0.0230400164891654
2.45,-0.0231610788135403
2.455,-0.023283020662611
2.46,-0.023405848314504
2.465,-0.0235295680888733
2.47,-0.023654186347167
2.475,-0.0237797094929382
2.48,-0.0239061439721425
2.485,-0.0240334962734446
2.49,-0.0241617729285126
2.495,-0.024290980512328
2.5,-0.0244211256434902
2.505,-0.0245522149845258
2.51,-0.0246842552422061
2.515,-0.0248172531678425
2.52,-0.0249512155576232
2.525,-0.0250861492529138
2.53,-0.0252220611405792
2.535,-0.025358958153307
2.54,-0.0254968472699345
2.545,-0.025635735515753
2.55,-0.0257756299628684
2.555,-0.0259165377304895
2.56,-0.0260584659852943
2.565,-0.0262014219417431
2.57,-0.0263454128624221
2.575,-0.0264904460583717
2.58,-0.0266365288894313
2.585,-0.0267836687645868
2.59,-0.0269318731423029
2.595,-0.0270811495308719
2.6,-0.0272315054887717
2.605,-0.0273829486249975
2.61,-0.0275354865994298
2.615,-0.0276891271231926
2.62,-0.0278438779589844
2.625,-0.0279997469214702
2.63,-0.0281567418776207
2.635,-0.0283148707470851
2.64,-0.0284741415025566
2.645,-0.0286345621701426
2.65,-0.0287961408297271
2.655,-0.0289588856153594
2.66,-0.0291228047156094
2.665,-0.029287906373973
2.67,-0.0294541988892232
2.675,-0.0296216906158161
2.68,-0.029790389964266
2.685,-0.0299603054015344
2.69,-0.0301314454514265
2.695,-0.0303038186949743
2.7,-0.0304774337708422
2.705,-0.030652299375717
2.71,-0.0308284242647187
2.715,-0.0310058172517955
2.72,-0.0311844872101362
2.725,-0.0313644430725737
2.73,-0.0315456938319939
2.735,-0.031728248541764
2.74,-0.0319121163161382
2.745,-0.0320973063306736
2.75,-0.0322838278226629
2.755,-0.0324716900915556
2.76,-0.0326609024993828
2.765,-0.0328514744711913
2.77,-0.0330434154954758
2.775,-0.0332367351246178
2.78,-0.033431442975316
2.785,-0.0336275487290443
2.79,-0.0338250621324805
2.795,-0.0340239929979585
2.8,-0.0342243512039298
2.805,-0.0344261466954019
2.81,-0.0346293894844061
2.815,-0.0348340896504486
2.82,-0.0350402573409793
2.825,-0.0352479027718558
2.83,-0.035457036227809
2.835,-0.0356676680629238
2.84,-0.035879808701099
2.845,-0.0360934686365414
2.85,-0.036308658434237
2.855,-0.036525388730432
2.86,-0.0367436702331294
2.865,-0.0369635137225814
2.87,-0.0371849300517691
2.875,-0.0374079301469103
2.88,-0.0376325250079546
2.885,-0.037858725709094
2.89,-0.0380865433992588
2.895,-0.0383159893026395
2.9,-0.0385470747191897
2.905,-0.0387798110251439
2.91,-0.039014209673549
2.915,-0.0392502821947739
2.92,-0.0394880401970406
2.925,-0.039727495366957
2.93,-0.0399686594700492
2.935,-0.0402115443512956
2.94,-0.0404561619356721
2.945,-0.0407025242286927
2.95,-0.0409506433169593
2.955,-0.0412005313687107
2.96,-0.0414522006343796
2.965,-0.0417056634471465
2.97,-0.0419609322235081
2.975,-0.04221801946384
2.98,-0.0424769377529574
2.985,-0.0427376997607066
2.99,-0.0430003182425211
2.995,-0.0432648060400186
3,-0.0435311760815702
