"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0450301665673588
2.005,-0.0460299505399795
2.01,-0.0470666284476861
2.015,-0.0481415951189091
2.02,-0.0492563235075153
2.025,-0.0504123696350736
2.03,-0.0516113779031278
2.035,-0.0528550868071618
2.04,-0.0541453350870751
2.045,-0.0554840683523379
2.05,-0.056873346223835
2.055,-0.0583153500385347
2.06,-0.059812391167866
2.065,-0.0613669200058264
2.07,-0.0629815356886366
2.075,-0.0646589966142717
2.08,-0.0664022318373097
2.085,-0.068214353422745
2.09,-0.0700986698512404
2.095,-0.0720587005786382
2.1,-0.074098191863703
2.105,-0.076221133990925
2.11,-0.0784317800295526
2.115,-0.0807346662861237
2.12,-0.0831346346260776
2.125,-0.0856368568605377
2.13,-0.0882468614176917
2.135,-0.0909705625445803
2.14,-0.0938142923149685
2.145,-0.0967848357530692
2.15,-0.0998894694214812
2.155,-0.103136003865823
2.16,-0.106532830358906
2.165,-0.11008897244474
2.17,-0.113814142848626
2.175,-0.117718806395119
2.18,-0.121814249662573
2.185,-0.126112658202917
2.19,-0.13062720227065
2.195,-0.135372132138461
2.2,-0.140362884230904
2.205,-0.145616199486878
2.21,-0.15115025556946
2.215,-0.156984814784119
2.22,-0.163141389849148
2.225,-0.169643429992948
2.23,-0.17651653024075
2.235,-0.183788667208941
2.24,-0.191490465261907
2.245,-0.199655497519623
2.25,-0.208320626953865
2.255,-0.217526393699853
2.26,-0.227317455767381
2.265,-0.237743091595785
2.27,-0.248857774403701
2.275,-0.260721830089887
2.28,-0.273402192611336
2.285,-0.286973273379354
2.29,-0.301517964373991
2.295,-0.317128798506151
2.3,-0.333909295410197
2.305,-0.35197552652181
2.31,-0.371457940229376
2.315,-0.392503496387325
2.32,-0.415278169931302
2.325,-0.439969896222562
2.33,-0.466792046685016
2.335,-0.495987543059261
2.34,-0.527833743164741
2.345,-0.562648261680182
2.35,-0.60079592769923
2.355,-0.642697128689008
2.36,-0.688837850489343
2.365,-0.739781798301702
2.37,-0.796185078169531
2.375,-0.858814037108307
2.38,-0.92856700870473
2.385,-1.00650089665337
2.39,-1.0938637592691
2.395,-1.1921348418957
2.4,-1.30307384896012
2.405,-1.42878165752709
2.41,-1.57177514551649
2.415,-1.73507931793016
2.42,-1.92234040396984
2.425,-2.13796393325161
2.43,-2.38728169941449
2.435,-2.67675040384634
2.44,-3.01418143197306
2.445,-3.40899306347185
2.45,-3.87245771277192
2.455,-4.41787424685085
2.46,-5.06049710991756
2.465,-5.81682128034647
2.47,-6.70226153235169
2.475,-7.72492849799978
2.48,-8.87029892706639
2.485,-10.067342572982
2.49,-11.1324319693922
2.495,-11.7493188391959
2.5,-11.6465556793979
2.505,-10.8854689529366
2.51,-9.78559353219547
2.515,-8.62556757513396
2.52,-7.54530283800562
2.525,-6.59188198097294
2.53,-5.76988930731685
2.535,-5.06800399689096
2.54,-4.47045417454672
2.545,-3.96150523742544
2.55,-3.52703182156895
2.555,-3.15491184255426
2.56,-2.83496391663498
2.565,-2.55872639867463
2.57,-2.31920060254396
2.575,-2.11060673717991
2.58,-1.92816948452691
2.585,-1.76793670401204
2.59,-1.62662927316909
2.595,-1.50151813977605
2.6,-1.39032428736859
2.605,-1.29113759669307
2.61,-1.20235110174846
2.615,-1.122607699789
2.62,-1.0507568979165
2.625,-0.985819634494357
2.63,-0.926959595684645
2.635,-0.873459760777327
2.64,-0.824703163507658
2.645,-0.78015705993539
2.65,-0.739359855771326
2.655,-0.701910275206232
2.66,-0.667458355961495
2.665,-0.635697936873228
2.67,-0.606360369214165
2.675,-0.579209234641267
2.68,-0.554035893895871
2.685,-0.530655723361429
2.69,-0.508904923020663
2.695,-0.488637800603818
2.7,-0.469724453847447
2.705,-0.452048786629037
2.71,-0.435506805968307
2.715,-0.42000515601431
2.72,-0.405459852583045
2.725,-0.3917951879013
2.73,-0.378942780210207
2.735,-0.366840746995269
2.74,-0.355432984004479
2.745,-0.344668535026406
2.75,-0.334501039733057
2.755,-0.324888248834511
2.76,-0.31579159741339
2.765,-0.307175828664366
2.77,-0.299008661402749
2.775,-0.291260495664409
2.78,-0.283904151527756
2.785,-0.276914636972052
2.79,-0.270268941165878
2.795,-0.263945850071979
2.8,-0.257925781674238
2.805,-0.252190638490394
2.81,-0.246723675340636
2.815,-0.241509380604702
2.82,-0.23653336942584
2.825,-0.231782287514292
2.83,-0.227243724370603
2.835,-0.222906134893874
2.84,-0.218758768465779
2.845,-0.214791604709839
2.85,-0.210995295220358
2.855,-0.207361110637694
2.86,-0.203880892518629
2.865,-0.200547009513405
2.87,-0.197352317416013
2.875,-0.194290122702674
2.88,-0.191354149215778
2.885,-0.188538507687832
2.89,-0.185837667832861
2.895,-0.183246432761675
2.9,-0.180759915503007
2.905,-0.17837351743525
2.91,-0.176082908453533
2.915,-0.173884008714764
2.92,-0.171772971819091
2.925,-0.169746169300269
2.93,-0.167800176310084
2.935,-0.165931758393102
2.94,-0.164137859257984
2.945,-0.162415589460703
2.95,-0.160762215922834
2.955,-0.15917515221536
2.96,-0.157651949544886
2.965,-0.15619028838489
2.97,-0.154787970699885
2.975,-0.153442912715032
2.98,-0.152153138187989
2.985,-0.150916772143561
2.99,-0.149732035035181
2.995,-0.148597237300377
3,-0.14751077428015
