"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0318064223514858
2.005,-0.0322772105112628
2.01,-0.0327576109201355
2.015,-0.0332478311274422
2.02,-0.0337480862132336
2.025,-0.0342585990722314
2.03,-0.0347796007115358
2.035,-0.0353113305628694
2.04,-0.0358540368101939
2.045,-0.0364079767335889
2.05,-0.0369734170703862
2.055,-0.037550634394548
2.06,-0.0381399155154571
2.065,-0.0387415578972753
2.07,-0.03935587010019
2.075,-0.0399831722449407
2.08,-0.0406237965021274
2.085,-0.0412780876079722
2.09,-0.041946403408268
2.095,-0.042629115432505
2.1,-0.0433266095002462
2.105,-0.0440392863620579
2.11,-0.0447675623775714
2.115,-0.04551187023336
2.12,-0.0462726597037595
2.125,-0.0470503984579429
2.13,-0.047845572916966
2.135,-0.0486586891649279
2.14,-0.0494902739188087
2.145,-0.050340875562076
2.15,-0.0512110652478272
2.155,-0.0521014380778302
2.16,-0.0530126143647844
2.165,-0.0539452409859089
2.17,-0.0548999928372455
2.175,-0.0558775743992443
2.18,-0.0568787214258279
2.185,-0.0579042027709297
2.19,-0.0589548223686467
2.195,-0.0600314213858674
2.2,-0.0611348805691978
2.205,-0.0622661228119678
2.21,-0.0634261159715542
2.215,-0.0646158759729387
2.22,-0.0658364702412121
2.225,-0.0670890215142382
2.23,-0.0683747120971124
2.235,-0.0696947886330988
2.24,-0.071050567482022
2.245,-0.0724434408176489
2.25,-0.0738748835816155
2.255,-0.0753464614645625
2.26,-0.0768598401277174
2.265,-0.0784167959330087
2.27,-0.0800192285209441
2.275,-0.0816691756688189
2.28,-0.0833688309842916
2.285,-0.0851205651521728
2.29,-0.0869269516693855
2.295,-0.0887907982955203
2.3,-0.090715185842892
2.305,-0.092703516471812
2.31,-0.0947595744031557
2.315,-0.0968876029964182
2.32,-0.0990924035904733
2.325,-0.101379463545971
2.33,-0.103755123823162
2.335,-0.106226800555237
2.34,-0.108803280976115
2.345,-0.111495122490373
2.35,-0.114315195635502
2.355,-0.117279428366295
2.36,-0.120407831450975
2.365,-0.123725912205437
2.37,-0.127266610226192
2.375,-0.131072892081073
2.38,-0.135201056546518
2.385,-0.139724451642241
2.39,-0.144736249152476
2.395,-0.150347167257865
2.4,-0.156667758230918
2.405,-0.163753609562624
2.41,-0.171482727273743
2.415,-0.179368088829648
2.42,-0.186463961347159
2.425,-0.191710554526519
2.43,-0.194712154583429
2.435,-0.196095666025484
2.44,-0.196949835480826
2.445,-0.198119138414586
2.45,-0.200003273378654
2.455,-0.202694474089458
2.46,-0.20614652514776
2.465,-0.210274462615927
2.47,-0.214997080394662
2.475,-0.220250130817862
2.48,-0.225987656876158
2.485,-0.232179522853775
2.49,-0.23880829993078
2.495,-0.245866542753759
2.5,-0.253354681383157
2.505,-0.261279482312546
2.51,-0.269652966063289
2.515,-0.278491671983278
2.52,-0.287816182494548
2.525,-0.29765084167583
2.53,-0.308023621791976
2.535,-0.318966105616423
2.54,-0.330513562855286
2.545,-0.342705106604972
2.55,-0.355583921372516
2.555,-0.36919755838554
2.56,-0.383598297178006
2.565,-0.398843575090706
2.57,-0.414996488613583
2.575,-0.432126372598888
2.58,-0.450309465427847
2.585,-0.469629670330909
2.59,-0.490179425340845
2.595,-0.512060696891211
2.6,-0.535386114953924
2.605,-0.560280270938744
2.61,-0.586881203467967
2.615,-0.615342101721642
2.62,-0.645833261476897
2.625,-0.678544335424104
2.63,-0.713686927056204
2.635,-0.751497586666556
2.64,-0.792241279087207
2.645,-0.836215406158748
2.65,-0.883754483045157
2.655,-0.935235587006851
2.66,-0.991084720885401
2.665,-1.05178426227916
2.67,-1.11788170438212
2.675,-1.18999993719968
2.68,-1.26884937021855
2.685,-1.35524226198449
2.69,-1.45010970151679
2.695,-1.5545217851081
2.7,-1.66971165521599
2.705,-1.79710422319859
2.71,-1.93835059482937
2.715,-2.09536947150571
2.72,-2.27039713234667
2.725,-2.46604804526671
2.73,-2.68538875818191
2.735,-2.93202856208289
2.74,-3.21023161782023
2.745,-3.52505699166826
2.75,-3.88253565729929
2.755,-4.28989747122894
2.76,-4.7558671335575
2.765,-5.29105719879496
2.77,-5.90849937029397
2.775,-6.62437257533304
2.78,-7.45900177687845
2.785,-8.43818499941426
2.79,-9.59473254148357
2.795,-10.9692690130035
2.8,-12.6057993243306
2.805,-14.5228869519891
2.81,-16.588110611424
2.815,-18.1588330639403
2.82,-18.0911396045384
2.825,-16.4654684716831
2.83,-14.4311450543977
2.835,-12.568127555533
2.84,-10.9848460965446
2.845,-9.65744852657972
2.85,-8.54144958535462
2.855,-7.59675888393731
2.86,-6.79123950083208
2.865,-6.09972861405564
2.87,-5.50247614521864
2.875,-4.98382358786955
2.88,-4.53121186060871
2.885,-4.13445701879985
2.89,-3.78522089054402
2.895,-3.47661943682285
2.9,-3.20292836790052
2.905,-2.95935823837326
2.91,-2.74188000775632
2.915,-2.54708792479282
2.92,-2.37209050612246
2.925,-2.21442300584527
2.93,-2.07197655976845
2.935,-1.94294042636276
2.94,-1.82575462119771
2.945,-1.71907087188532
2.95,-1.62172028332897
2.955,-1.53268644880402
2.96,-1.45108300470362
2.965,-1.37613482847842
2.97,-1.30716223617038
2.975,-1.24356765913626
2.98,-1.18482437709692
2.985,-1.13046696241193
2.99,-1.08008315284225
2.995,-1.03330692033066
3,-0.989812544029085
