"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0272285886825763
2.005,-0.0275796171852216
2.01,-0.027933128965813
2.015,-0.0282892057675367
2.02,-0.0286479304167877
2.025,-0.0290093868550983
2.03,-0.0293736601718617
2.035,-0.0297408366378532
2.04,-0.0301110037396163
2.045,-0.0304842502147257
2.05,-0.030860666087941
2.055,-0.0312403427083233
2.06,-0.0316233727873028
2.065,-0.0320098504377849
2.07,-0.0323998712142774
2.075,-0.0327935321541133
2.08,-0.0331909318197874
2.085,-0.0335921703424717
2.09,-0.0339973494667242
2.095,-0.0344065725964404
2.1,-0.0348199448421194
2.105,-0.0352375730694472
2.11,-0.0356595659492958
2.115,-0.0360860340091419
2.12,-0.0365170896859806
2.125,-0.0369528473808064
2.13,-0.0373934235146872
2.135,-0.0378389365864932
2.14,-0.0382895072323755
2.145,-0.038745258287012
2.15,-0.0392063148467421
2.155,-0.0396728043345779
2.16,-0.0401448565672862
2.165,-0.0406226038244585
2.17,-0.0411061809198243
2.175,-0.041595725274729
2.18,-0.0420913769939688
2.185,-0.0425932789440207
2.19,-0.0431015768337717
2.195,-0.043616419297865
2.2,-0.0441379579827108
2.205,-0.0446663476353225
2.21,-0.0452017461950693
2.215,-0.0457443148884209
2.22,-0.0462942183268752
2.225,-0.0468516246081285
2.23,-0.0474167054206509
2.235,-0.047989636151792
2.24,-0.0485705959995634
2.245,-0.0491597680882251
2.25,-0.0497573395878752
2.255,-0.0503635018381501
2.26,-0.0509784504762341
2.265,-0.0516023855693409
2.27,-0.0522355117518804
2.275,-0.0528780383674456
2.28,-0.0535301796158769
2.285,-0.0541921547055817
2.29,-0.0548641880113453
2.295,-0.0555465092378472
2.3,-0.0562393535891349
2.305,-0.05694296194431
2.31,-0.0576575810396735
2.315,-0.0583834636576459
2.32,-0.0591208688226848
2.325,-0.0598700620045725
2.33,-0.0606313153293657
2.335,-0.061404907798324
2.34,-0.0621911255151915
2.345,-0.0629902619221807
2.35,-0.0638026180450792
2.355,-0.0646285027478306
2.36,-0.065468232997054
2.365,-0.0663221341369423
2.37,-0.0671905401750006
2.375,-0.0680737940791119
2.38,-0.0689722480864632
2.385,-0.0698862640248725
2.39,-0.0708162136470614
2.395,-0.0717624789785458
2.4,-0.0727254526796663
2.405,-0.0737055384225418
2.41,-0.0747031512835681
2.415,-0.0757187181522317
2.42,-0.0767526781569996
2.425,-0.0778054831091409
2.43,-0.0788775979652809
2.435,-0.079969501309661
2.44,-0.0810816858570265
2.445,-0.0822146589771536
2.45,-0.0833689432421087
2.455,-0.0845450769973446
2.46,-0.0857436149578087
2.465,-0.0869651288303697
2.47,-0.0882102079638309
2.475,-0.089479460027967
2.48,-0.0907735117230566
2.485,-0.0920930095214573
2.49,-0.0934386204429227
2.495,-0.0948110328653619
2.5,-0.0962109573729271
2.505,-0.0976391276433839
2.51,-0.0990963013768477
2.515,-0.100583261268057
2.52,-0.102100816024578
2.525,-0.103649801433336
2.53,-0.105231081478165
2.535,-0.106845549511104
2.54,-0.108494129480448
2.545,-0.110177777218595
2.55,-0.111897481793156
2.555,-0.113654266924703
2.56,-0.115449192475041
2.565,-0.117283356009939
2.57,-0.119157894440552
2.575,-0.121073985748116
2.58,-0.123032850796651
2.585,-0.125035755238862
2.59,-0.127084011520638
2.595,-0.129178980990003
2.6,-0.131322076116698
2.605,-0.133514762829001
2.61,-0.135758562974855
2.615,-0.138055056914823
2.62,-0.1404058862549
2.625,-0.1428127567278
2.63,-0.145277441231851
2.635,-0.147801783037378
2.64,-0.15038769917101
2.645,-0.153037183989198
2.65,-0.155752312952955
2.655,-0.158535246616709
2.66,-0.16138823484511
2.665,-0.16431362127256
2.67,-0.167313848021411
2.675,-0.170391460695854
2.68,-0.173549113669825
2.685,-0.17678957568863
2.69,-0.180115735805391
2.695,-0.183530609675145
2.7,-0.187037346230992
2.705,-0.190639234768711
2.71,-0.194339712468222
2.715,-0.19814237238246
2.72,-0.202050971926704
2.725,-0.206069441903951
2.73,-0.210201896104729
2.735,-0.214452641522936
2.74,-0.218826189232503
2.745,-0.223327265973452
2.75,-0.227960826499837
2.755,-0.232732066746405
2.76,-0.237646437875559
2.765,-0.2427096612714
2.77,-0.247927744553249
2.775,-0.253306998687215
2.78,-0.258854056281178
2.785,-0.264575891155968
2.79,-0.27047983929355
2.795,-0.276573621272015
2.8,-0.282865366306862
2.805,-0.289363638028802
2.81,-0.296077462140064
2.815,-0.303016356104111
2.82,-0.310190361037923
2.825,-0.317610075991615
2.83,-0.325286694817508
2.835,-0.33323204584969
2.84,-0.341458634636185
2.845,-0.349979689988955
2.85,-0.358809213642645
2.855,-0.367962033841226
2.86,-0.377453863203105
2.865,-0.387301361249927
2.87,-0.397522202022818
2.875,-0.408135147252435
2.88,-0.419160125596611
2.885,-0.430618318511963
2.89,-0.44253225338437
2.895,-0.454925904608312
2.9,-0.467824803377486
2.905,-0.481256157029986
2.91,-0.495248978881316
2.915,-0.509834229579064
2.92,-0.525044971125367
2.925,-0.540916534838786
2.93,-0.557486704667604
2.935,-0.574795917423793
2.94,-0.592887481682957
2.945,-0.611807817293001
2.95,-0.631606717655891
2.955,-0.652337637195568
2.96,-0.674058006704702
2.965,-0.696829579577242
2.97,-0.720718812287658
2.975,-0.745797282875982
2.98,-0.772142151646885
2.985,-0.799836668797405
2.99,-0.828970734259366
2.995,-0.859641515688048
3,-0.891954131258273
