"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.424511320190753
2.005,-0.466198880881818
2.01,-0.514208133417843
2.015,-0.569816136827118
2.02,-0.634625626368574
2.025,-0.710665182019383
2.03,-0.800525158487249
2.035,-0.907543606948879
2.04,-1.03606237248856
2.045,-1.19178180439487
2.05,-1.38225345982249
2.055,-1.61756332961441
2.06,-1.91127006711289
2.065,-2.28166152760878
2.07,-2.7533425939889
2.075,-3.3589624429729
2.08,-4.14021488072405
2.085,-5.14510883987473
2.09,-6.41170677841949
2.095,-7.90830132512147
2.1,-9.36649541713967
2.105,-10.0945165761749
2.11,-9.53753820269937
2.115,-8.16423071727902
2.12,-6.69432333194078
2.125,-5.43172616275541
2.13,-4.42224299450253
2.135,-3.63253142572729
2.14,-3.01647407307719
2.145,-2.53338982407962
2.15,-2.1512726501385
2.155,-1.84593971637372
2.16,-1.59937021131152
2.165,-1.39816214807269
2.17,-1.2323099384853
2.175,-1.09429178546434
2.18,-0.978404893020663
2.185,-0.880285523135388
2.19,-0.796562839468284
2.195,-0.724608384998566
2.2,-0.6623536920606
2.205,-0.608156514852372
2.21,-0.560701922871613
2.215,-0.518928548440572
2.22,-0.481973118445386
2.225,-0.449128381988326
2.23,-0.419810932640751
2.235,-0.393536399078926
2.24,-0.369900167405603
2.245,-0.348562289308827
2.25,-0.329235582144402
2.255,-0.311676181242985
2.26,-0.295675989755212
2.265,-0.281056607008512
2.27,-0.267664416560181
2.275,-0.255366589694262
2.28,-0.244047815982246
2.285,-0.233607614682978
2.29,-0.223958112775482
2.295,-0.215022199893698
2.3,-0.206731989258491
2.305,-0.199027528270123
2.31,-0.19185571376235
2.315,-0.185169375792941
2.32,-0.17892650082731
2.325,-0.173089570694337
2.33,-0.167624998082661
2.335,-0.16250264285165
2.34,-0.157695396244026
2.345,-0.153178822354357
2.35,-0.148930848042638
2.355,-0.144931493973714
2.36,-0.141162640680549
2.365,-0.137607824546266
2.37,-0.134252059419928
2.375,-0.131081680257489
2.38,-0.12808420573961
2.385,-0.125248217283572
2.39,-0.122563252254568
2.395,-0.120019709506053
2.4,-0.117608765651115
2.405,-0.115322300695655
2.41,-0.113152831857405
2.415,-0.111093454558142
2.42,-0.109137789715163
2.425,-0.107279936575782
2.43,-0.105514430439319
2.435,-0.103836204696789
2.44,-0.102240556692171
2.445,-0.100723116972277
2.45,-0.0992798215467007
2.455,-0.0979068868261442
2.46,-0.0966007869480211
2.465,-0.095358233233366
2.47,-0.0941761555494852
2.475,-0.0930516853794119
2.48,-0.0919821404221209
2.485,-0.0909650105678801
2.49,-0.0899979451104867
2.495,-0.0890787410736988
2.5,-0.0882053325427469
2.505,-0.0873757809036229
2.51,-0.0865882659033895
2.515,-0.0858410774539858
2.52,-0.0851326081101752
2.525,-0.0844613461594519
2.53,-0.0838258692682144
2.535,-0.0832248386340865
2.54,-0.0826569935993975
2.545,-0.0821211466852385
2.55,-0.0816161790095957
2.555,-0.0811410360565251
2.56,-0.0806947237666437
2.565,-0.0802763049219119
2.57,-0.0798848958003949
2.575,-0.0795196630788282
2.58,-0.0791798209630198
2.585,-0.078864628527802
2.59,-0.0785733872500957
2.595,-0.0783054387199874
2.6,-0.0780601625161925
2.605,-0.0778369742334311
2.61,-0.0776353236504151
2.615,-0.0774546930280967
2.62,-0.0772945955287986
2.625,-0.0771545737476269
2.63,-0.0770341983484034
2.635,-0.0769330667969821
2.64,-0.0768508021854768
2.645,-0.076787052141577
2.65,-0.0767414878175791
2.655,-0.0767138029543213
2.66,-0.0767037130157262
2.665,-0.0767109543899819
2.67,-0.0767352836539419
2.675,-0.0767764768976438
2.68,-0.0768343291062593
2.685,-0.0769086535971423
2.69,-0.0769992815100244
2.695,-0.0771060613487481
2.7,-0.0772288585732957
2.705,-0.0773675552411618
2.71,-0.0775220496975759
2.715,-0.0776922563143203
2.72,-0.0778781052772798
2.725,-0.0780795424232091
2.73,-0.0782965291264484
2.735,-0.0785290422366802
2.74,-0.078777074068872
2.745,-0.0790406324467634
2.75,-0.0793197408009468
2.755,-0.0796144383221964
2.76,-0.0799247801695989
2.765,-0.0802508377311736
2.77,-0.0805926989313955
2.775,-0.0809504685747918
2.78,-0.0813242687062328
2.785,-0.0817142389549518
2.79,-0.0821205368078887
2.795,-0.0825433377240042
2.8,-0.0829828349474308
2.805,-0.0834392387917617
2.81,-0.0839127750309352
2.815,-0.0844036818110436
2.82,-0.0849122041372805
2.825,-0.0854385843970456
2.83,-0.0859830463909781
2.835,-0.0865457686735936
2.84,-0.0871268401468899
2.845,-0.0877261858952066
2.85,-0.0883434425573226
2.855,-0.0889777471526734
2.86,-0.0896273760211536
2.865,-0.0902891228208742
2.87,-0.0909572245610623
2.875,-0.0916215263484588
2.88,-0.0922644653829181
2.885,-0.0928566331404893
2.89,-0.0933522030094862
2.895,-0.0936911594815238
2.9,-0.0938273088939034
2.905,-0.0938011681472165
2.91,-0.0938027773066254
2.915,-0.0940757991056036
2.92,-0.0947153096898738
2.925,-0.0956401770212707
2.93,-0.0967222724802936
2.935,-0.0978706941759106
2.94,-0.0990393580843587
2.945,-0.100210136014877
2.95,-0.101378564686212
2.955,-0.102545921729646
2.96,-0.103715494452647
2.965,-0.104890984773225
2.97,-0.106075894559068
2.975,-0.107273334402729
2.98,-0.108486004290098
2.985,-0.109716236717325
2.99,-0.110966056397499
2.995,-0.112237238541062
3,-0.113531359616163
