"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0231781116224299
2.005,-0.0234326917120885
2.01,-0.023684982729179
2.015,-0.0239350948586377
2.02,-0.0241831367088014
2.025,-0.0244292153287895
2.03,-0.0246734362257175
2.035,-0.0249159033817536
2.04,-0.0251567192710139
2.045,-0.0253959848762961
2.05,-0.0256337997056695
2.055,-0.0258702618089253
2.06,-0.026105467793877
2.065,-0.026339512842527
2.07,-0.026572490727111
2.075,-0.0268044938260007
2.08,-0.0270356131394905
2.085,-0.0272659383054833
2.09,-0.0274955576150255
2.095,-0.0277245580277791
2.1,-0.0279530251873405
2.105,-0.0281810434364998
2.11,-0.0284086958323856
2.115,-0.0286360641615076
2.12,-0.0288632289547311
2.125,-0.0290902695021618
2.13,-0.0293172638679355
2.135,-0.0295442889049535
2.14,-0.0297714202695356
2.145,-0.0299987324360034
2.15,-0.0302262987111932
2.155,-0.030454191248943
2.16,-0.0306824810644681
2.165,-0.0309112380487342
2.17,-0.0311405309827581
2.175,-0.031370427551862
2.18,-0.0316009943599136
2.185,-0.0318322969434741
2.19,-0.0320643997859906
2.195,-0.0322973663318874
2.2,-0.0325312590006716
2.205,-0.0327661392010173
2.21,-0.0330020673448126
2.215,-0.0332391028612045
2.22,-0.0334773042106396
2.225,-0.0337167288988861
2.23,-0.0339574334910676
2.235,-0.0341994736256817
2.24,-0.0344429040286362
2.245,-0.0346877785272992
2.25,-0.0349341500645431
2.255,-0.0351820707128286
2.26,-0.0354315916882926
2.265,-0.0356827633648689
2.27,-0.0359356352884303
2.275,-0.0361902561909843
2.28,-0.0364466740048772
2.285,-0.0367049358770526
2.29,-0.0369650881833652
2.295,-0.037227176542928
2.3,-0.0374912458325033
2.305,-0.037757340200992
2.31,-0.0380255030839331
2.315,-0.0382957772181074
2.32,-0.0385682046561829
2.325,-0.0388428267814639
2.33,-0.0391196843226811
2.335,-0.0393988173689031
2.34,-0.0396802653845039
2.345,-0.0399640672242409
2.35,-0.0402502611484154
2.355,-0.0405388848381464
2.36,-0.0408299754107376
2.365,-0.0411235694351612
2.37,-0.0414197029476563
2.375,-0.0417184114674366
2.38,-0.0420197300125388
2.385,-0.0423236931157756
2.39,-0.0426303348408504
2.395,-0.0429396887985953
2.4,-0.0432517881633427
2.405,-0.043566665689471
2.41,-0.0438843537280808
2.415,-0.0442048842438493
2.42,-0.0445282888320295
2.425,-0.0448545987356416
2.43,-0.0451838448628218
2.435,-0.0455160578043681
2.44,-0.04585126785146
2.445,-0.0461895050135729
2.45,-0.0465307990366004
2.455,-0.0468751794211847
2.46,-0.0472226754412285
2.465,-0.0475733161626696
2.47,-0.0479271304624414
2.475,-0.0482841470476745
2.48,-0.0486443944751557
2.485,-0.0490079011709931
2.49,-0.0493746954505667
2.495,-0.0497448055387099
2.5,-0.0501182595901725
2.505,-0.0504950857103549
2.51,-0.0508753119762962
2.515,-0.0512589664579901
2.52,-0.051646077239963
2.525,-0.0520366724431526
2.53,-0.0524307802471292
2.535,-0.0528284289125971
2.54,-0.0532296468042319
2.545,-0.05363446241388
2.55,-0.0540429043840554
2.555,-0.0544550015318191
2.56,-0.054870782873021
2.565,-0.0552902776468821
2.57,-0.0557135153409903
2.575,-0.056140525716663
2.58,-0.0565713388347108
2.585,-0.0570059850816225
2.59,-0.0574444951961403
2.595,-0.0578869002962954
2.6,-0.058333231906857
2.605,-0.0587835219872484
2.61,-0.0592378029599053
2.615,-0.0596961077391234
2.62,-0.0601584697603726
2.625,-0.0606249230101196
2.63,-0.0610955020561474
2.635,-0.0615702420783974
2.64,-0.0620491789003313
2.645,-0.0625323490208605
2.65,-0.0630197896467997
2.655,-0.063511538725918
2.66,-0.0640076349805563
2.665,-0.0645081179418439
2.67,-0.0650130279845254
2.675,-0.0655224063624252
2.68,-0.0660362952445226
2.685,-0.0665547377517146
2.69,-0.0670777779942235
2.695,-0.0676054611097018
2.7,-0.0681378333020344
2.705,-0.0686749418808583
2.71,-0.0692168353018214
2.715,-0.0697635632075812
2.72,-0.0703151764695847
2.725,-0.0708717272306359
2.73,-0.0714332689482386
2.735,-0.0719998564388096
2.74,-0.072571545922689
2.745,-0.0731483950700552
2.75,-0.0737304630476671
2.755,-0.0743178105665658
2.76,-0.0749104999306502
2.765,-0.0755085950862334
2.77,-0.0761121616725295
2.775,-0.0767212670731574
2.78,-0.0773359804686367
2.785,-0.0779563728899176
2.79,-0.0785825172729658
2.795,-0.0792144885144472
2.8,-0.0798523635284754
2.805,-0.0804962213045285
2.81,-0.0811461429665154
2.815,-0.0818022118329876
2.82,-0.0824645134786123
2.825,-0.0831331357968364
2.83,-0.083808169063849
2.835,-0.0844897060037966
2.84,-0.0851778418553665
2.845,-0.0858726744396817
2.85,-0.0865743042296002
2.855,-0.0872828344204065
2.86,-0.0879983710019795
2.865,-0.088721022832402
2.87,-0.0894509017131068
2.875,-0.0901881224655477
2.88,-0.0909328030094644
2.885,-0.0916850644427486
2.89,-0.0924450311229739
2.895,-0.0932128307505901
2.9,-0.0939885944538792
2.905,-0.094772456875628
2.91,-0.0955645562616391
2.915,-0.0963650345510656
2.92,-0.0971740374686407
2.925,-0.0979917146188233
2.93,-0.0988182195819121
2.935,-0.099653710012173
2.94,-0.100498347738027
2.945,-0.101352298864325
2.95,-0.102215733876789
2.955,-0.103088827748622
2.96,-0.103971760049396
2.965,-0.104864715056192
2.97,-0.105767881867115
2.975,-0.106681454517174
2.98,-0.10760563209664
2.985,-0.108540618871869
2.99,-0.109486624408696
2.995,-0.110443863698443
3,-0.111412557286561
