"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0230455330975011
2.005,-0.023190570542398
2.01,-0.0233452616235499
2.015,-0.0235094897813592
2.02,-0.0236831408312366
2.025,-0.0238661029812496
2.03,-0.0240582668510279
2.035,-0.0242595254918971
2.04,-0.0244697744082743
2.045,-0.0246889115803956
2.05,-0.0249168374883361
2.055,-0.0251534551374169
2.06,-0.0253986700849828
2.065,-0.0256523904686238
2.07,-0.0259145270358478
2.075,-0.0261849931752203
2.08,-0.0264637049490877
2.085,-0.0267505811278312
2.09,-0.0270455432257401
2.095,-0.0273485155385407
2.1,-0.0276594251826218
2.105,-0.0279782021360041
2.11,-0.0283047792810971
2.115,-0.0286390924492804
2.12,-0.0289810804674045
2.125,-0.0293306852062177
2.13,-0.0296878516307805
2.135,-0.0300525278529717
2.14,-0.0304246651860779
2.145,-0.0308042182015842
2.15,-0.0311911447882079
2.155,-0.0315854062132341
2.16,-0.0319869671862649
2.165,-0.0323957959253932
2.17,-0.0328118642259378
2.175,-0.0332351475317909
2.18,-0.0336656250094606
2.185,-0.034103279624888
2.19,-0.0345480982231757
2.195,-0.0350000716112597
2.2,-0.0354591946436529
2.205,-0.0359254663113828
2.21,-0.036398889834175
2.215,-0.0368794727560664
2.22,-0.0373672270444893
2.225,-0.0378621691930108
2.23,-0.0383643203278069
2.235,-0.0388737063180325
2.24,-0.0393903578902169
2.245,-0.0399143107468213
2.25,-0.0404456056891008
2.255,-0.0409842887444722
2.26,-0.0415304112984756
2.265,-0.0420840302315742
2.27,-0.0426452080609312
2.275,-0.043214013087341
2.28,-0.0437905195475404
2.285,-0.044374807772081
2.29,-0.0449669643489877
2.295,-0.0455670822934095
2.3,-0.0461752612235102
2.305,-0.0467916075428337
2.31,-0.0474162346294041
2.315,-0.0480492630318222
2.32,-0.0486908206726345
2.325,-0.0493410430592715
2.33,-0.0500000735028826
2.335,-0.050668063345322
2.34,-0.0513451721947033
2.345,-0.0520315681698337
2.35,-0.0527274281538809
2.355,-0.0534329380577021
2.36,-0.0541482930932203
2.365,-0.0548736980572591
2.37,-0.0556093676263272
2.375,-0.0563555266627736
2.38,-0.0571124105328683
2.385,-0.0578802654372556
2.39,-0.0586593487543959
2.395,-0.0594499293975404
2.4,-0.0602522881858434
2.405,-0.0610667182302462
2.41,-0.0618935253348411
2.415,-0.0627330284143669
2.42,-0.0635855599286282
2.425,-0.0644514663346017
2.43,-0.0653311085570636
2.435,-0.066224862478614
2.44,-0.0671331194500237
2.445,-0.0680562868218666
2.45,-0.0689947884984833
2.455,-0.0699490655153443
2.46,-0.0709195766409889
2.465,-0.0719067990047144
2.47,-0.0729112287513535
2.475,-0.0739333817244397
2.48,-0.0749737941792663
2.485,-0.0760330235273074
2.49,-0.0771116491136561
2.495,-0.0782102730291703
2.5,-0.0793295209591647
2.505,-0.0804700430705638
2.51,-0.0816325149395519
2.515,-0.0828176385219455
2.52,-0.0840261431685292
2.525,-0.0852587866878688
2.53,-0.0865163564591831
2.535,-0.0877996705980769
2.54,-0.0891095791780867
2.545,-0.0904469655111727
2.55,-0.0918127474905746
2.555,-0.0932078789995386
2.56,-0.0946333513898272
2.565,-0.096090195034007
2.57,-0.0975794809559606
2.575,-0.0991023225441983
2.58,-0.10065987735302
2.585,-0.102253348996832
2.59,-0.10388398914332
2.595,-0.105553099611573
2.6,-0.107262034581768
2.605,-0.109012202923381
2.61,-0.110805070649479
2.615,-0.112642163505198
2.62,-0.114525069699073
2.625,-0.116455442786608
2.63,-0.118435004716103
2.635,-0.120465549047544
2.64,-0.122548944356306
2.645,-0.124687137834085
2.65,-0.126882159100763
2.655,-0.129136124241716
2.66,-0.131451240086428
2.665,-0.133829808745464
2.67,-0.136274232424277
2.675,-0.138787018533829
2.68,-0.141370785119719
2.685,-0.14402826663325
2.69,-0.146762320069948
2.695,-0.149575931503166
2.7,-0.152472223042838
2.705,-0.155454460252076
2.71,-0.158526060057175
2.715,-0.16169059918979
2.72,-0.164951823203512
2.725,-0.168313656111013
2.73,-0.171780210692046
2.735,-0.175355799527412
2.74,-0.179044946819089
2.745,-0.182852401062517
2.75,-0.186783148643354
2.755,-0.190842428438057
2.76,-0.195035747505454
2.765,-0.199368897965139
2.77,-0.203847975168155
2.775,-0.208479397276208
2.78,-0.213269926377532
2.785,-0.21822669128096
2.79,-0.223357212144576
2.795,-0.228669427112083
2.8,-0.234171721148612
2.805,-0.239872957288649
2.81,-0.245782510532296
2.815,-0.251910304652421
2.82,-0.258266852205057
2.825,-0.264863298068831
2.83,-0.271711466877116
2.835,-0.278823914749326
2.84,-0.286213985776086
2.845,-0.293895873768013
2.85,-0.301884689840029
2.855,-0.310196536473995
2.86,-0.318848588783172
2.865,-0.327859183793975
2.87,-0.337247918665767
2.875,-0.347035758889759
2.88,-0.357245157646183
2.885,-0.367900187657461
2.89,-0.379026687057649
2.895,-0.390652421008811
2.9,-0.402807261038079
2.905,-0.415523384350503
2.91,-0.428835495699107
2.915,-0.442781074772766
2.92,-0.457400652504138
2.925,-0.47273812021538
2.93,-0.488841076122236
2.935,-0.505761214423975
2.94,-0.523554763037267
2.945,-0.542282977010472
2.95,-0.56201269581011
2.955,-0.582816974038935
2.96,-0.604775796768174
2.965,-0.627976892597949
2.97,-0.652516659864822
2.975,-0.678501224173101
2.98,-0.706047648736221
2.985,-0.735285322997695
2.99,-0.766357559810174
2.995,-0.799423437275037
3,-0.834659928421033
