"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0360295643304517
2.005,-0.0364428217275155
2.01,-0.0368593529700754
2.015,-0.0372791737656283
2.02,-0.0377023006422676
2.025,-0.03812875095614
2.03,-0.0385585428991284
2.035,-0.0389916955066948
2.04,-0.0394282286659564
2.045,-0.0398681631239353
2.05,-0.0403115204960106
2.055,-0.0407583232745793
2.06,-0.0412085948379085
2.065,-0.0416623594592166
2.07,-0.042119642315931
2.075,-0.0425804694991744
2.08,-0.0430448680234681
2.085,-0.0435128658366204
2.09,-0.0439844918298655
2.095,-0.0444597758482016
2.1,-0.0449387487009424
2.105,-0.0454214421725105
2.11,-0.0459078890334532
2.115,-0.0463981230516618
2.12,-0.0468921790038718
2.125,-0.0473900926873257
2.13,-0.0478919009317412
2.135,-0.0483976416114787
2.14,-0.0489073536579657
2.145,-0.0494210770723527
2.15,-0.049938852938432
2.155,-0.0504607234358047
2.16,-0.0509867318532994
2.165,-0.0515169226026381
2.17,-0.0520513412323893
2.175,-0.0525900344421624
2.18,-0.0531330500970782
2.185,-0.0536804372425154
2.19,-0.0542322461191313
2.195,-0.0547885281781533
2.2,-0.055349336096968
2.205,-0.055914723794993
2.21,-0.0564847464498253
2.215,-0.0570594605137102
2.22,-0.0576389237302962
2.225,-0.0582231951516995
2.23,-0.058812335155862
2.235,-0.0594064054642611
2.24,-0.0600054691598846
2.245,-0.0606095907055846
2.25,-0.0612188359627103
2.255,-0.061833272210114
2.26,-0.0624529681634695
2.265,-0.0630779939949432
2.27,-0.0637084213532249
2.275,-0.0643443233838959
2.28,-0.0649857747501614
2.285,-0.0656328516539708
2.29,-0.0662856318574761
2.295,-0.066944194704907
2.3,-0.0676086211447914
2.305,-0.0682789937526032
2.31,-0.0689553967537907
2.315,-0.0696379160472097
2.32,-0.0703266392289762
2.325,-0.0710216556167236
2.33,-0.0717230562743227
2.335,-0.0724309340369867
2.34,-0.0731453835368533
2.345,-0.0738665012290066
2.35,-0.0745943854179548
2.355,-0.0753291362845837
2.36,-0.0760708559135638
2.365,-0.0768196483212784
2.37,-0.077575619484204
2.375,-0.0783388773678247
2.38,-0.0791095319560353
2.385,-0.0798876952810944
2.39,-0.0806734814540778
2.395,-0.0814670066958974
2.4,-0.0822683893688741
2.405,-0.08307775000885
2.41,-0.0838952113579148
2.415,-0.0847208983976915
2.42,-0.0855549383832259
2.425,-0.0863974608775092
2.43,-0.0872485977866017
2.435,-0.0881084833954047
2.44,-0.0889772544040894
2.445,-0.0898550499651998
2.45,-0.090742011721404
2.455,-0.0916382838439887
2.46,-0.0925440130720355
2.465,-0.0934593487523311
2.47,-0.0943844428800287
2.475,-0.0953194501400839
2.48,-0.0962645279494383
2.485,-0.0972198365000373
2.49,-0.0981855388026543
2.495,-0.0991618007315479
2.5,-0.100148791069987
2.505,-0.101146681556665
2.51,-0.102155646932992
2.515,-0.103175864991357
2.52,-0.104207516624288
2.525,-0.105250785874651
2.53,-0.10630585998679
2.535,-0.107372929458743
2.54,-0.1084521880955
2.545,-0.109543833063343
2.55,-0.110648064945318
2.555,-0.111765087797846
2.56,-0.112895109208529
2.565,-0.114038340355169
2.57,-0.115194996066043
2.575,-0.116365294881468
2.58,-0.117549459116711
2.585,-0.118747714926263
2.59,-0.119960292369529
2.595,-0.121187425477991
2.6,-0.122429352323875
2.605,-0.123686315090384
2.61,-0.124958560143535
2.615,-0.126246338105661
2.62,-0.127549903930656
2.625,-0.128869516980988
2.63,-0.130205441106548
2.635,-0.131557944725443
2.64,-0.132927300906739
2.645,-0.134313787455276
2.65,-0.135717686998625
2.655,-0.137139287076208
2.66,-0.138578880230792
2.665,-0.14003676410228
2.67,-0.141513241524056
2.675,-0.143008620621864
2.68,-0.144523214915369
2.685,-0.146057343422552
2.69,-0.147611330766934
2.695,-0.149185507287908
2.7,-0.150780209154173
2.705,-0.152395778480486
2.71,-0.154032563447838
2.715,-0.155690918427224
2.72,-0.157371204107149
2.725,-0.159073787625058
2.73,-0.160799042702855
2.735,-0.162547349786716
2.74,-0.164319096191355
2.745,-0.166114676249027
2.75,-0.167934491463407
2.755,-0.169778950668654
2.76,-0.171648470193878
2.765,-0.173543474033264
2.77,-0.175464394022173
2.775,-0.177411670019487
2.78,-0.179385750096529
2.785,-0.181387090732922
2.79,-0.183416157019659
2.795,-0.185473422869896
2.8,-0.187559371237758
2.805,-0.189674494345632
2.81,-0.191819293920429
2.815,-0.193994281439241
2.82,-0.196199978384981
2.825,-0.198436916512484
2.83,-0.200705638125722
2.835,-0.203006696366691
2.84,-0.205340655516688
2.845,-0.207708091310655
2.85,-0.210109591265358
2.855,-0.212545755022181
2.86,-0.215017194705414
2.865,-0.217524535296944
2.87,-0.220068415028322
2.875,-0.222649485791207
2.88,-0.225268413567375
2.885,-0.227925878879405
2.89,-0.23062257726332
2.895,-0.233359219764569
2.9,-0.236136533458755
2.905,-0.23895526199865
2.91,-0.241816166189177
2.915,-0.244720024592087
2.92,-0.247667634162221
2.925,-0.250659810917404
2.93,-0.253697390644074
2.935,-0.256781229640996
2.94,-0.259912205503516
2.945,-0.263091217951023
2.95,-0.266319189700397
2.955,-0.269597067388552
2.96,-0.272925822547258
2.965,-0.276306452633811
2.97,-0.279739982121182
2.975,-0.28322746365176
2.98,-0.286769979258909
2.985,-0.29036864166101
2.99,-0.294024595632854
2.995,-0.297739019459806
3,-0.301513126480322
