"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0336878037984071
2.005,-0.0343031740803967
2.01,-0.0349304324969473
2.015,-0.0355700305384202
2.02,-0.0362224346141154
2.025,-0.0368881267556991
2.03,-0.0375676053576894
2.035,-0.0382613859572981
2.04,-0.0389700020559904
2.045,-0.0396940059854074
2.05,-0.0404339698203454
2.055,-0.0411904863418395
2.06,-0.041964170053422
2.065,-0.04275565825402
2.07,-0.0435656121710989
2.075,-0.0443947181579497
2.08,-0.045243688959307
2.085,-0.0461132650497917
2.09,-0.0470042160499809
2.095,-0.0479173422253253
2.1,-0.0488534760734279
2.105,-0.04981348400573
2.11,-0.0507982681300389
2.115,-0.051808768140812
2.12,-0.052845963324736
2.125,-0.0539108746896401
2.13,-0.0550045672254769
2.135,-0.0561281523067502
2.14,-0.0572827902465753
2.145,-0.0584696930133399
2.15,-0.0596901271218576
2.155,-0.0609454167118595
2.16,-0.0622369468277889
2.165,-0.0635661669149404
2.17,-0.0649345945483854
2.175,-0.0663438194124211
2.18,-0.0677955075498562
2.185,-0.069291405902138
2.19,-0.0708333471631316
2.195,-0.0724232549714397
2.2,-0.074063149468289
2.205,-0.0757551532505762
2.21,-0.0775014977512124
2.215,-0.0793045300820296
2.22,-0.0811667203776202
2.225,-0.0830906696822614
2.23,-0.0850791184258726
2.235,-0.0871349555395658
2.24,-0.0892612282660684
2.245,-0.0914611527257808
2.25,-0.093738125305244
2.255,-0.0960957349413692
2.26,-0.0985377763823196
2.265,-0.101068264513984
2.27,-0.103691449850353
2.275,-0.106411835296141
2.28,-0.109234194301557
2.285,-0.112163590541775
2.29,-0.115205399267987
2.295,-0.118365330492829
2.3,-0.121649454190966
2.305,-0.125064227715633
2.31,-0.128616525654635
2.315,-0.132313672374683
2.32,-0.136163477531691
2.325,-0.140174274856924
2.33,-0.144354964565575
2.335,-0.148715059775681
2.34,-0.153264737372155
2.345,-0.158014893804037
2.35,-0.162977206363402
2.355,-0.168164200563413
2.36,-0.173589324311245
2.365,-0.179267029661429
2.37,-0.185212863037435
2.375,-0.191443564926757
2.38,-0.197977180189363
2.385,-0.204833180273987
2.39,-0.212032598814918
2.395,-0.219598182287196
2.4,-0.227554557635319
2.405,-0.235928419065144
2.41,-0.244748736506835
2.415,-0.254046988626526
2.42,-0.263857423694567
2.425,-0.274217352120128
2.43,-0.285167475048124
2.435,-0.296752254101093
2.44,-0.309020328154013
2.445,-0.322024983977122
2.45,-0.335824688697678
2.455,-0.350483693349116
2.46,-0.366072718335439
2.465,-0.382669733487975
2.47,-0.400360847589987
2.475,-0.419241324863923
2.48,-0.439416749043745
2.485,-0.461004359398437
2.49,-0.484134587564221
2.495,-0.508952829443473
2.5,-0.535621492937919
2.505,-0.564322370147334
2.51,-0.595259392186671
2.515,-0.628661836329773
2.52,-0.664788069242045
2.525,-0.703929927194793
2.53,-0.746417855077696
2.535,-0.792626951633977
2.54,-0.842984099743738
2.545,-0.897976399153969
2.55,-0.958161166514972
2.555,-1.02417782606998
2.56,-1.0967620865174
2.565,-1.17676288873829
2.57,-1.26516271938694
2.575,-1.3631020219433
2.58,-1.47190860619671
2.585,-1.59313316744242
2.59,-1.72859228834107
2.595,-1.88042062287296
2.6,-2.05113437081007
2.605,-2.24370866631529
2.61,-2.46167215777555
2.615,-2.70922289108452
2.62,-2.99137068089783
2.625,-3.31411252396017
2.63,-3.68464930071415
2.635,-4.11165387913586
2.64,-4.60560203128786
2.645,-5.17917567694681
2.65,-5.84773462037908
2.655,-6.6298030146435
2.66,-7.54735395493621
2.665,-8.62516499151116
2.67,-9.8869288738013
2.675,-11.3409489130382
2.68,-12.9350018781589
2.685,-14.4411128863279
2.69,-15.3201285354795
2.695,-15.0379726243518
2.7,-13.8013167984803
2.705,-12.2381031189957
2.71,-10.7289367422853
2.715,-9.39524921377776
2.72,-8.25028472901798
2.725,-7.27504379172054
2.73,-6.44442818071091
2.735,-5.73496565605813
2.74,-5.12659926245697
2.745,-4.60269098225037
2.75,-4.14956200029253
2.755,-3.75597751971233
2.76,-3.41269004476156
2.765,-3.1120620771856
2.77,-2.84776187304281
2.775,-2.61451982518761
2.78,-2.40793340973989
2.785,-2.22431060595305
2.79,-2.06054375283229
2.795,-1.91400754322459
2.8,-1.78247623175454
2.805,-1.66405619879285
2.81,-1.55713083483614
2.815,-1.46031534565396
2.82,-1.37241957304874
2.825,-1.29241731271036
2.83,-1.21942091452876
2.835,-1.15266019065913
2.84,-1.09146484681827
2.845,-1.03524980356106
2.85,-0.983502894972679
2.855,-0.935774528767966
2.86,-0.891668969244552
2.865,-0.850836966827265
2.87,-0.812969508162913
2.875,-0.777792501316316
2.88,-0.745062243508794
2.885,-0.714561545557747
2.89,-0.686096408933323
2.895,-0.659493169112228
2.9,-0.634596033448676
2.905,-0.6112649537146
2.91,-0.589373783278269
2.915,-0.568808676987856
2.92,-0.549466698522834
2.925,-0.531254605527703
2.93,-0.514087787456825
2.935,-0.497889334903927
2.94,-0.482589222401374
2.945,-0.468123589363523
2.95,-0.454434106105754
2.955,-0.441467413769821
2.96,-0.429174628588043
2.965,-0.41751090227256
2.97,-0.406435031463118
2.975,-0.395909110140692
2.98,-0.385898219743213
2.985,-0.376370152426445
2.99,-0.367295163517202
2.995,-0.358645749723439
3,-0.350396450109657
