"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0216794692467879
2.005,-0.0218448908400509
2.01,-0.0220112692818902
2.015,-0.0221786090615221
2.02,-0.0223469148015539
2.025,-0.0225161912589655
2.03,-0.0226864433261216
2.035,-0.0228576760318057
2.04,-0.0230298945422754
2.045,-0.023203104162354
2.05,-0.023377310336524
2.055,-0.023552518650069
2.06,-0.0237287348302292
2.065,-0.0239059647473785
2.07,-0.0240842144162388
2.075,-0.0242634899971168
2.08,-0.024443797797157
2.085,-0.0246251442716406
2.09,-0.0248075360252967
2.095,-0.0249909798136462
2.1,-0.0251754825443755
2.105,-0.0253610512787438
2.11,-0.0255476932330071
2.115,-0.0257354157798819
2.12,-0.0259242264500401
2.125,-0.0261141329336263
2.13,-0.0263051430818259
2.135,-0.0264972649084351
2.14,-0.0266905065914989
2.145,-0.0268848764749496
2.15,-0.027080383070316
2.155,-0.0272770350584243
2.16,-0.0274748412911862
2.165,-0.0276738107933696
2.17,-0.0278739527644632
2.175,-0.0280752765805277
2.18,-0.0282777917961289
2.185,-0.0284815081462859
2.19,-0.0286864355484724
2.195,-0.0288925841046549
2.2,-0.0290999641033897
2.205,-0.0293085860219531
2.21,-0.0295184605285099
2.215,-0.0297295984843615
2.22,-0.029942010946213
2.225,-0.0301557091685036
2.23,-0.0303707046058054
2.235,-0.0305870089152478
2.24,-0.030804633959025
2.245,-0.0310235918069442
2.25,-0.0312438947390602
2.255,-0.0314655552483322
2.26,-0.0316885860433978
2.265,-0.0319130000513702
2.27,-0.032138810420729
2.275,-0.032366030524282
2.28,-0.0325946739622115
2.285,-0.0328247545651637
2.29,-0.0330562863974852
2.295,-0.0332892837604699
2.3,-0.0335237611957706
2.305,-0.033759733488839
2.31,-0.0339972156725147
2.315,-0.034236223030682
2.32,-0.034476771102056
2.325,-0.0347188756840717
2.33,-0.0349625528368773
2.335,-0.0352078188874855
2.34,-0.0354546904340226
2.345,-0.0357031843501167
2.35,-0.0359533177894441
2.355,-0.0362051081904187
2.36,-0.0364585732810206
2.365,-0.0367137310838225
2.37,-0.0369705999211646
2.375,-0.0372291984205217
2.38,-0.0374895455200713
2.385,-0.0377516604744509
2.39,-0.0380155628607486
2.395,-0.0382812725847167
2.4,-0.0385488098872198
2.405,-0.0388181953509405
2.41,-0.0390894499073728
2.415,-0.0393625948440913
2.42,-0.0396376518123173
2.425,-0.0399146428348297
2.43,-0.0401935903142067
2.435,-0.0404745170414439
2.44,-0.0407574462049567
2.445,-0.0410424014000021
2.45,-0.0413294066385375
2.455,-0.041618486359585
2.46,-0.0419096654400542
2.465,-0.0422029692061357
2.47,-0.0424984234452805
2.475,-0.0427960544187674
2.48,-0.0430958888749766
2.485,-0.0433979540633304
2.49,-0.0437022777490288
2.495,-0.0440088882285994
2.5,-0.0443178143463233
2.505,-0.0446290855115981
2.51,-0.0449427317173504
2.515,-0.0452587835595215
2.52,-0.0455772722577508
2.525,-0.0458982296773336
2.53,-0.046221688352567
2.535,-0.0465476815115849
2.54,-0.0468762431028005
2.545,-0.0472074078231261
2.55,-0.0475412111480584
2.555,-0.0478776893638461
2.56,-0.0482168796018756
2.565,-0.0485588198755039
2.57,-0.0489035491195225
2.575,-0.0492511072324994
2.58,-0.0496015351222665
2.585,-0.0499548747548311
2.59,-0.0503111692070217
2.595,-0.0506704627232143
2.6,-0.0510328007765671
2.605,-0.0513982301351187
2.61,-0.0517667989332951
2.615,-0.0521385567492997
2.62,-0.0525135546890119
2.625,-0.0528918454770365
2.63,-0.0532734835555947
2.635,-0.0536585251921352
2.64,-0.0540470285965232
2.645,-0.0544390540488304
2.65,-0.0548346640388759
2.655,-0.055233923418797
2.66,-0.055636899570072
2.665,-0.0560436625865977
2.67,-0.0564542854756959
2.675,-0.0568688443790322
2.68,-0.0572874188158134
2.685,-0.0577100919509023
2.69,-0.0581369508907888
2.695,-0.0585680870108647
2.7,-0.059003596317818
2.705,-0.0594435798515781
2.71,-0.0598881441318328
2.715,-0.060337401654882
2.72,-0.0607914714474373
2.725,-0.0612504796849547
2.73,-0.0617145603832757
2.735,-0.0621838561736452
2.74,-0.06265851917283
2.745,-0.0631387119618676
2.75,-0.0636246086892179
2.755,-0.0641163963166853
2.76,-0.0646142760295357
2.765,-0.065118464835982
2.77,-0.0656291973855361
2.775,-0.0661467280409605
2.78,-0.066671333244968
2.785,-0.0672033142302479
2.79,-0.0677430001307033
2.795,-0.0682907515628305
2.8,-0.0688469647597859
2.805,-0.0694120763570999
2.81,-0.0699865689494981
2.815,-0.0705709775629999
2.82,-0.0711658972176636
2.825,-0.0717719917944539
2.83,-0.0723900044677845
2.835,-0.0730207700251773
2.84,-0.0736652294711713
2.845,-0.0743244474082861
2.85,-0.0749996328096801
2.855,-0.0756921639541773
2.86,-0.0764036184949211
2.865,-0.0771358098931168
2.87,-0.0778908317869332
2.875,-0.0786711123102064
2.88,-0.0794794809624325
2.885,-0.0803192514122911
2.89,-0.0811943246628648
2.895,-0.0821093184191167
2.9,-0.083069730420324
2.905,-0.0840821461376848
2.91,-0.0851545048876035
2.915,-0.0862964435065598
2.92,-0.0875197439095204
2.925,-0.0888389210499458
2.93,-0.0902720024125573
2.935,-0.0918415712875369
2.94,-0.0935761768177371
2.945,-0.0955122588260228
2.95,-0.0976968015429784
2.955,-0.100191027275996
2.96,-0.103075581650725
2.965,-0.106457860494419
2.97,-0.11048239126794
2.975,-0.115345477755315
2.98,-0.121315484774803
2.985,-0.128759632245912
2.99,-0.138175360809689
2.995,-0.150214823446648
3,-0.165664183717369
