"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.318805524927095
2.005,-0.352594723049327
2.01,-0.39163099989614
2.015,-0.436986146929603
2.02,-0.48999709774104
2.025,-0.552339289268047
2.03,-0.626119739640196
2.035,-0.713992469456319
2.04,-0.819295433631754
2.045,-0.946198835521938
2.05,-1.0998328999663
2.055,-1.28631596403831
2.06,-1.51250817751533
2.065,-1.78513869656563
2.07,-2.10867152688869
2.075,-2.48097215294489
2.08,-2.88600361692257
2.085,-3.28481810105066
2.09,-3.61188046530788
2.095,-3.79022043975232
2.1,-3.76985761641152
2.105,-3.56133641866715
2.11,-3.22725113469642
2.115,-2.84225779718499
2.12,-2.46218578728288
2.125,-2.11718165634778
2.13,-1.81821144358153
2.135,-1.56546237774048
2.14,-1.35430471003343
2.145,-1.1786176882691
2.15,-1.03236638065716
2.155,-0.910221916428362
2.16,-0.807718468852261
2.165,-0.721211032079146
2.17,-0.647762853409685
2.175,-0.58502041530642
2.18,-0.531099152511283
2.185,-0.48448710443723
2.19,-0.443966874423532
2.195,-0.408553721054576
2.2,-0.377446961090303
2.205,-0.349991993621059
2.21,-0.325650648905262
2.215,-0.303978002704782
2.22,-0.284604192548321
2.225,-0.267220101086085
2.23,-0.251566033417222
2.235,-0.237422718845812
2.24,-0.224604123862493
2.245,-0.212951682428212
2.25,-0.20232964039322
2.255,-0.192621279922361
2.26,-0.183725842390438
2.265,-0.175556008377918
2.27,-0.168035824175314
2.275,-0.161098987878426
2.28,-0.154687426441343
2.285,-0.148750109238239
2.29,-0.143242054736862
2.295,-0.138123495537033
2.3,-0.133359173828949
2.305,-0.128917744697494
2.31,-0.124771268959789
2.315,-0.120894780618282
2.32,-0.11726591672797
2.325,-0.113864599659018
2.33,-0.110672763496748
2.335,-0.107674117747344
2.34,-0.104853942677082
2.345,-0.102198911559502
2.35,-0.0996969358801665
2.355,-0.0973370301859722
2.36,-0.0951091937917842
2.365,-0.0930043069922469
2.37,-0.0910140397879611
2.375,-0.0891307714362007
2.38,-0.0873475193878123
2.385,-0.0856578763826892
2.39,-0.0840559546533444
2.395,-0.082536336335353
2.4,-0.0810940293096497
2.405,-0.0797244278085327
2.41,-0.0784232772080597
2.415,-0.077186642506847
2.42,-0.0760108800573772
2.425,-0.0748926121723499
2.43,-0.0738287042771637
2.435,-0.0728162443212132
2.44,-0.0718525241966313
2.445,-0.0709350229441203
2.45,-0.0700613915522106
2.455,-0.0692294391797282
2.46,-0.0684371206512311
2.465,-0.0676825250929105
2.47,-0.066963865591659
2.475,-0.0662794697734624
2.48,-0.0656277712089447
2.485,-0.0650073015641278
2.49,-0.0644166834235681
2.495,-0.0638546237208323
2.5,-0.0633199077183878
2.505,-0.062811393484981
2.51,-0.0623280068242038
2.515,-0.0618687366125572
2.52,-0.0614326305098042
2.525,-0.0610187910079521
2.53,-0.0606263717888087
2.535,-0.0602545743628419
2.54,-0.0599026449648968
2.545,-0.0595698716845826
2.55,-0.059255581811363
2.555,-0.0589591393762438
2.56,-0.0586799428736118
2.565,-0.0584174231484051
2.57,-0.0581710414350795
2.575,-0.0579402875360987
2.58,-0.0577246781288147
2.585,-0.0575237551905043
2.59,-0.0573370845323977
2.595,-0.0571642544341456
2.6,-0.0570048743710612
2.605,-0.0568585738270886
2.61,-0.0567250011870157
2.615,-0.0566038227020301
2.62,-0.0564947215232232
2.625,-0.0563973967980586
2.63,-0.0563115628252629
2.635,-0.056236948263932
2.64,-0.0561732953930342
2.645,-0.0561203594177445
2.65,-0.0560779078193775
2.655,-0.056045719745889
2.66,-0.056023585440206
2.665,-0.0560113057038126
2.67,-0.0560086913932464
2.675,-0.0560155629473213
2.68,-0.0560317499430724
2.685,-0.0560570906785449
2.69,-0.0560914317807355
2.695,-0.0561346278370555
2.7,-0.0561865410488595
2.705,-0.0562470409056624
2.71,-0.0563160038787781
2.715,-0.0563933131332041
2.72,-0.0564788582566331
2.725,-0.0565725350046059
2.73,-0.0566742450608581
2.735,-0.0567838958119336
2.74,-0.0569014001353289
2.745,-0.0570266762003355
2.75,-0.057159647280909
2.755,-0.0573002415799061
2.76,-0.057448392064059
2.765,-0.0576040363091253
2.77,-0.0577671163546952
2.775,-0.0579375785681316
2.78,-0.0581153735171946
2.785,-0.0583004558509389
2.79,-0.0584927841884493
2.795,-0.0586923210150544
2.8,-0.0588990325856848
2.805,-0.0591128888350211
2.81,-0.0593338632941657
2.815,-0.059561933013512
2.82,-0.0597970784915898
2.825,-0.0600392836096338
2.83,-0.0602885355716111
2.835,-0.0605448248495722
2.84,-0.0608081451340374
2.845,-0.0610784932893262
2.85,-0.0613558693135831
2.855,-0.0616402763034265
2.86,-0.0619317204229872
2.865,-0.0622302108772789
2.87,-0.062535759889751
2.875,-0.0628483826838903
2.88,-0.063168097468822
2.885,-0.0634949254287658
2.89,-0.0638288907162927
2.895,-0.0641700204493125
2.9,-0.064518344711673
2.905,-0.064873896557415
2.91,-0.0652367120184911
2.915,-0.0656068301160455
2.92,-0.0659842928750881
2.925,-0.0663691453426532
2.93,-0.0667614356092906
2.935,-0.0671612148339804
2.94,-0.0675685372723819
2.945,-0.0679834603084599
2.95,-0.0684060444894372
2.955,-0.0688363535641184
2.96,-0.0692744545245752
2.965,-0.0697204176512009
2.97,-0.0701743165611643
2.975,-0.0706362282602851
2.98,-0.0711062331983487
2.985,-0.0715844153279193
2.99,-0.0720708621666592
2.995,-0.0725656648632177
3,-0.073068918266744
