"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0266349015677566
2.005,-0.0269348432965222
2.01,-0.0272392708930894
2.015,-0.0275482560918664
2.02,-0.0278618724870046
2.025,-0.0281801955822712
2.03,-0.0285033028425574
2.035,-0.0288312737470961
2.04,-0.0291641898444025
2.045,-0.0295021348090552
2.05,-0.0298451945003537
2.055,-0.0301934570229096
2.06,-0.0305470127892928
2.065,-0.0309059545847494
2.07,-0.0312703776341175
2.075,-0.0316403796709837
2.08,-0.0320160610092132
2.085,-0.0323975246168718
2.09,-0.0327848761927211
2.095,-0.0331782242452976
2.1,-0.0335776801747423
2.105,-0.0339833583574446
2.11,-0.0343953762336311
2.115,-0.0348138543980035
2.12,-0.0352389166935494
2.125,-0.0356706903086691
2.13,-0.0361093058776855
2.135,-0.0365548975849747
2.14,-0.0370076032727506
2.145,-0.0374675645527345
2.15,-0.0379349269218329
2.155,-0.0384098398819678
2.16,-0.0388924570642666
2.165,-0.0393829363577558
2.17,-0.0398814400427721
2.175,-0.0403881349292575
2.18,-0.0409031925001479
2.185,-0.0414267890601078
2.19,-0.0419591058897487
2.195,-0.042500329405657
2.2,-0.0430506513263971
2.205,-0.0436102688447989
2.21,-0.0441793848067737
2.215,-0.0447582078969235
2.22,-0.0453469528312747
2.225,-0.0459458405573975
2.23,-0.0465550984622798
2.235,-0.0471749605882488
2.24,-0.0478056678573262
2.245,-0.0484474683043727
2.25,-0.0491006173194119
2.255,-0.049765377899547
2.26,-0.0504420209108979
2.265,-0.0511308253609978
2.27,-0.0518320786821522
2.275,-0.0525460770262099
2.28,-0.0532731255713096
2.285,-0.054013538841145
2.29,-0.054767641037276
2.295,-0.055535766385181
2.3,-0.0563182594945881
2.305,-0.0571154757348384
2.31,-0.0579277816259277
2.315,-0.0587555552460114
2.32,-0.059599186656103
2.325,-0.0604590783428638
2.33,-0.061335645680265
2.335,-0.062229317411079
2.34,-0.0631405361491857
2.345,-0.0640697589036343
2.35,-0.0650174576256027
2.355,-0.0659841197793227
2.36,-0.0669702489382004
2.365,-0.067976365407355
2.37,-0.0690030068739122
2.375,-0.070050729086443
2.38,-0.0711201065650206
2.385,-0.0722117333434566
2.39,-0.0733262237453399
2.395,-0.0744642131956399
2.4,-0.0756263590696929
2.405,-0.0768133415815148
2.41,-0.0780258647135002
2.415,-0.0792646571896384
2.42,-0.0805304734946166
2.425,-0.0818240949411566
2.43,-0.0831463307882106
2.435,-0.0844980194127246
2.44,-0.085880029537839
2.445,-0.0872932615206103
2.45,-0.088738648702459
2.455,-0.0902171588258099
2.46,-0.0917297955205301
2.465,-0.0932775998640537
2.47,-0.0948616520192723
2.475,-0.0964830729545341
2.48,-0.0981430262503853
2.485,-0.0998427199979115
2.49,-0.101583408793937
2.495,-0.103366395838541
2.5,-0.105193035140821
2.505,-0.1070647338391
2.51,-0.10898295464223
2.515,-0.110949218399067
2.52,-0.112965106803551
2.525,-0.115032265243467
2.53,-0.117152405801305
2.535,-0.119327310416308
2.54,-0.121558834217312
2.545,-0.123848909036628
2.55,-0.126199547115916
2.555,-0.128612845015639
2.56,-0.131090987740551
2.565,-0.133636253094342
2.57,-0.136251016277666
2.575,-0.138937754744392
2.58,-0.141699053332256
2.585,-0.144537609684863
2.59,-0.147456239983347
2.595,-0.150457885007055
2.6,-0.153545616544032
2.605,-0.156722644173379
2.61,-0.159992322443129
2.615,-0.163358158468794
2.62,-0.166823819979468
2.625,-0.170393143840117
2.63,-0.174070145080721
2.635,-0.177859026464818
2.64,-0.181764188632311
2.645,-0.185790240853648
2.65,-0.189942012434951
2.655,-0.194224564816296
2.66,-0.198643204408121
2.665,-0.203203496213599
2.67,-0.207911278288027
2.675,-0.212772677089436
2.68,-0.217794123778102
2.685,-0.222982371526263
2.69,-0.228344513903065
2.695,-0.233888004403718
2.7,-0.23962067719592
2.705,-0.245550769160774
2.71,-0.251686943309807
2.715,-0.258038313663986
2.72,-0.264614471685211
2.725,-0.271425514355027
2.73,-0.278482073999723
2.735,-0.285795349965232
2.74,-0.293377142248983
2.745,-0.301239887199644
2.75,-0.309396695398423
2.755,-0.317861391838059
2.76,-0.326648558516783
2.765,-0.335773579564562
2.77,-0.345252689017444
2.775,-0.355103021352038
2.78,-0.365342664886204
2.785,-0.375990718142586
2.79,-0.387067349258576
2.795,-0.398593858508377
2.8,-0.410592743979141
2.805,-0.42308777041252
2.81,-0.436104041183748
2.815,-0.44966807334095
2.82,-0.463807875565671
2.825,-0.478553028838968
2.83,-0.493934769503386
2.835,-0.50998607429573
2.84,-0.526741746785412
2.845,-0.544238504483051
2.85,-0.562515065679064
2.855,-0.58161223482547
2.86,-0.601572984979227
2.865,-0.622442535473445
2.87,-0.644268422564764
2.875,-0.667100560309931
2.88,-0.690991288340674
2.885,-0.715995402519849
2.89,-0.742170163659402
2.895,-0.769575278546463
2.9,-0.798272846442265
2.905,-0.82832726297345
2.91,-0.85980507191193
2.915,-0.892774753725266
2.92,-0.927306437965963
2.925,-0.963471524553847
2.93,-1.00134219679936
2.935,-1.04099080664149
2.94,-1.08248911007726
2.945,-1.12590732821471
2.95,-1.17131300690156
2.955,-1.2187696456319
2.96,-1.26833506464151
2.965,-1.32005947808136
2.97,-1.37398324131512
2.975,-1.4301342422469
2.98,-1.48852491080435
2.985,-1.54914882807424
2.99,-1.61197692804399
2.995,-1.67695330148336
3,-1.74399063430863
