"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0293695928437189
2.005,-0.0297579315729029
2.01,-0.0301533989633196
2.015,-0.0305561394869419
2.02,-0.03096630197265
2.025,-0.0313840397510571
2.03,-0.0318095108050546
2.035,-0.0322428779263536
2.04,-0.0326843088782707
2.045,-0.0331339765650548
2.05,-0.0335920592080351
2.055,-0.034058740528919
2.06,-0.0345342099405484
2.065,-0.0350186627454659
2.07,-0.0355123003426726
2.075,-0.0360153304429067
2.08,-0.0365279672928904
2.085,-0.0370504319089553
2.09,-0.0375829523204653
2.095,-0.0381257638235404
2.1,-0.0386791092455319
2.105,-0.039243239220813
2.11,-0.0398184124783816
2.115,-0.0404048961418913
2.12,-0.0410029660426952
2.125,-0.0416129070465531
2.13,-0.0422350133946531
2.135,-0.042869589059708
2.14,-0.0435169481178271
2.145,-0.0441774151369855
2.15,-0.0448513255829344
2.155,-0.0455390262434201
2.16,-0.0462408756716576
2.165,-0.0469572446500628
2.17,-0.0476885166752646
2.175,-0.0484350884655307
2.18,-0.0491973704917718
2.185,-0.0499757875333493
2.19,-0.0507707792600477
2.195,-0.0515828008415429
2.2,-0.0524123235859064
2.205,-0.0532598356086588
2.21,-0.0541258425340641
2.215,-0.0550108682304251
2.22,-0.0559154555812165
2.225,-0.0568401672940921
2.23,-0.0577855867498228
2.235,-0.0587523188934265
2.24,-0.059740991169862
2.245,-0.0607522545068308
2.25,-0.0617867843473203
2.255,-0.0628452817348329
2.26,-0.0639284744542493
2.265,-0.0650371182316326
2.27,-0.0661719979963859
2.275,-0.067333929209454
2.28,-0.068523759261463
2.285,-0.0697423689450017
2.29,-0.0709906740054485
2.295,-0.0722696267751679
2.3,-0.0735802178960455
2.305,-0.0749234781358646
2.31,-0.0763004803042701
2.315,-0.0777123412744672
2.32,-0.079160224117326
2.325,-0.0806453403548972
2.33,-0.0821689523409467
2.335,-0.0837323757765358
2.34,-0.0853369823694063
2.345,-0.0869842026463548
2.35,-0.088675528928613
2.355,-0.0904125184808583
2.36,-0.0921967968453374
2.365,-0.0940300613733308
2.37,-0.0959140849671999
2.375,-0.0978507200470967
2.38,-0.0998419027576508
2.385,-0.101889657430879
2.39,-0.103996101322987
2.395,-0.106163449643934
2.4,-0.108394020900171
2.405,-0.110690242572418
2.41,-0.113054657152202
2.415,-0.115489928562522
2.42,-0.117998848990175
2.425,-0.120584346159305
2.43,-0.123249491078186
2.435,-0.125997506293711
2.44,-0.128831774690863
2.445,-0.131755848877456
2.45,-0.134773461197661
2.455,-0.137888534421379
2.46,-0.141105193160421
2.465,-0.144427776066564
2.47,-0.147860848871161
2.475,-0.151409218330933
2.48,-0.155077947149913
2.485,-0.158872369953425
2.49,-0.162798110396326
2.495,-0.166861099494681
2.5,-0.171067595277595
2.505,-0.175424203864109
2.51,-0.179937902079083
2.515,-0.184616061731522
2.52,-0.189466475689605
2.525,-0.194497385897891
2.53,-0.19971751349483
2.535,-0.205136091202085
2.54,-0.210762898171916
2.545,-0.216608297494695
2.55,-0.2226832765858
2.555,-0.228999490689672
2.56,-0.23556930975887
2.565,-0.242405868987335
2.57,-0.249523123300326
2.575,-0.256935906128053
2.58,-0.264659992816364
2.585,-0.272712169055916
2.59,-0.281110304740483
2.595,-0.289873433696216
2.6,-0.299021839755626
2.605,-0.308577149683165
2.61,-0.318562433492871
2.615,-0.329002312731924
2.62,-0.339923077336497
2.625,-0.351352811696826
2.63,-0.363321530595409
2.635,-0.375861325704069
2.64,-0.389006523339424
2.645,-0.402793854179574
2.65,-0.417262635632799
2.655,-0.432454967517427
2.66,-0.448415941653719
2.665,-0.46519386587584
2.67,-0.482840502834464
2.675,-0.501411323765291
2.68,-0.520965777129975
2.685,-0.541567571673515
2.69,-0.563284972961385
2.695,-0.586191111830001
2.7,-0.610364302367674
2.705,-0.635888365993891
2.71,-0.662852956866085
2.715,-0.691353882146279
2.72,-0.721493408522708
2.725,-0.753380543704639
2.73,-0.787131278275028
2.735,-0.82286876915807
2.74,-0.860723440879227
2.745,-0.900832974585156
2.75,-0.943342147254237
2.755,-0.988402474458091
2.76,-1.03617159922606
2.765,-1.08681235683655
2.77,-1.140491430589
2.775,-1.19737749678628
2.78,-1.25763873845679
2.785,-1.32143958724805
2.79,-1.38893653236297
2.795,-1.4602728159873
2.8,-1.53557181890631
2.805,-1.6149289317352
2.81,-1.69840171184643
2.815,-1.78599815117564
2.82,-1.87766293550378
2.825,-1.97326167390405
2.83,-2.07256323225697
2.835,-2.1752205323853
2.84,-2.28075049199645
2.845,-2.38851418745738
2.85,-2.49769881527156
2.855,-2.60730357976418
2.86,-2.71613218047894
2.865,-2.82279500560118
2.87,-2.92572430253271
2.875,-3.02320530319045
2.88,-3.11342533931173
2.885,-3.19454126596399
2.89,-3.26476304433088
2.895,-3.32244837622263
2.9,-3.36620035912568
2.905,-3.39495797170072
2.91,-3.40806855141687
2.915,-3.40533277898128
2.92,-3.38701602406733
2.925,-3.35382462213217
2.93,-3.3068506808121
2.935,-3.247493190718
2.94,-3.17736566418213
2.945,-3.09820092255638
2.95,-3.01176224995136
2.955,-2.91976757213727
2.96,-2.82383036300842
2.965,-2.72541826554712
2.97,-2.62582833083214
2.975,-2.52617646168609
2.98,-2.42739803873474
2.985,-2.33025664306151
2.99,-2.23535807998291
2.995,-2.14316738202509
3,-2.05402699796305
