"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0149499697324254
2.005,-0.0150019426373028
2.01,-0.0150542917944557
2.015,-0.0151070201889914
2.02,-0.0151601308238546
2.025,-0.0152136267197539
2.03,-0.0152675109151205
2.035,-0.015321786466077
2.04,-0.0153764564463805
2.045,-0.0154315239473809
2.05,-0.015486992078003
2.055,-0.0155428639646917
2.06,-0.0155991427514005
2.065,-0.0156558315995403
2.07,-0.0157129336879728
2.075,-0.0157704522129797
2.08,-0.0158283903882408
2.085,-0.0158867514448146
2.09,-0.0159455386311173
2.095,-0.0160047552129245
2.1,-0.0160644044733385
2.105,-0.016124489712791
2.11,-0.0161850142490323
2.115,-0.016245981417127
2.12,-0.0163073945694428
2.125,-0.0163692570756585
2.13,-0.0164315723227626
2.135,-0.0164943437150461
2.14,-0.016557574674117
2.145,-0.0166212686389014
2.15,-0.0166854290656571
2.155,-0.0167500594279706
2.16,-0.0168151632167804
2.165,-0.0168807439403869
2.17,-0.0169468051244633
2.175,-0.0170133503120795
2.18,-0.0170803830637065
2.185,-0.0171479069572542
2.19,-0.0172159255880788
2.195,-0.0172844425690123
2.2,-0.0173534615303819
2.205,-0.0174229861200399
2.21,-0.0174930200033904
2.215,-0.0175635668634186
2.22,-0.0176346304007164
2.225,-0.0177062143335166
2.23,-0.0177783223977334
2.235,-0.0178509583469818
2.24,-0.0179241259526269
2.245,-0.0179978290038092
2.25,-0.0180720713074972
2.255,-0.0181468566885083
2.26,-0.0182221889895715
2.265,-0.0182980720713448
2.27,-0.018374509812485
2.275,-0.0184515061096646
2.28,-0.0185290648776417
2.285,-0.0186071900492924
2.29,-0.0186858855756557
2.295,-0.0187651554260035
2.3,-0.0188450035878633
2.305,-0.0189254340670866
2.31,-0.0190064508879017
2.315,-0.0190880580929527
2.32,-0.0191702597433712
2.325,-0.0192530599188182
2.33,-0.0193364627175527
2.335,-0.0194204722564752
2.34,-0.0195050926711977
2.345,-0.019590328116097
2.35,-0.019676182764376
2.355,-0.0197626608081266
